Zip;Municipality;CONTACT;EMAIL;TELNR
3000;Leuven;Dirk Crama;glasvezel.leuven@proximus.com;080032492
4020;Liege;;;
2800;Mechelen;Katty Mertens;glasvezel.mechelen@proximus.com;080090046
8300;Knokke-Heist;Renzo Scheldeman;glasvezel.knokke.heist@proximus.com;080017006
2000;Antwerpen;Aschwin van Beers;glasvezel.antwerpen-west@proximus.com;080093884
9100;Sint-Niklaas;;;
1140;Evere;Emmanuelle Massart;fibreoptique.evere@proximus.com;080016855
3500;Hasselt;nan;nan;nan
8301;Knokke-Heist;nan;nan;nan
8800;Roeselare;nan;nan;nan
