id;Zip;LAM_Street_Code;Street;Area_Name
9100-12129;9100;12129;Hemelaerstraat;W03-D-Sint-Niklaas-FH01
9100-12530;9100;12530;Hendrik Heymanplein;W03-D-Sint-Niklaas-FH01
9100-12772;9100;12772;Hofstraat;W03-D-Sint-Niklaas-FH01
9100-13444;9100;13444;Hoveniersstraat;W03-D-Sint-Niklaas-FH01
9100-139;9100;139;Paul Snoekstraat;W03-D-Sint-Niklaas-FH01
9100-14200;9100;14200;Sint-Jozefstraat;W03-D-Sint-Niklaas-FH01
9100-14345;9100;14345;Kalkstraat;W03-D-Sint-Niklaas-FH01
9100-14881;9100;14881;Kasteelstraat;W03-D-Sint-Niklaas-FH01
9100-16063;9100;16063;Kleine Laan;W03-D-Sint-Niklaas-FH01
9100-16518;9100;16518;Kokkelbeekstraat;W03-D-Sint-Niklaas-FH01
9100-16546;9100;16546;Collegestraat;W03-D-Sint-Niklaas-FH01
9100-16590;9100;16590;Kongostraat;W03-D-Sint-Niklaas-FH01
9100-19912;9100;19912;Grote Markt;W03-D-Sint-Niklaas-FH01
9100-20515;9100;20515;Houtbriel;W03-D-Sint-Niklaas-FH01
9100-22403;9100;22403;Nieuwstraat;W03-D-Sint-Niklaas-FH01
9100-22945;9100;22945;Onze-Lieve-Vrouwplein;W03-D-Sint-Niklaas-FH01
9100-22946;9100;22946;Onze-Lieve-Vrouwstraat;W03-D-Sint-Niklaas-FH01
9100-24000;9100;24000;Parkstraat;W03-D-Sint-Niklaas-FH01
9100-24333;9100;24333;Grote Peperstraat;W03-D-Sint-Niklaas-FH01
9100-24335;9100;24335;Kleine Peperstraat;W03-D-Sint-Niklaas-FH01
9100-24752;9100;24752;Plezantstraat;W03-D-Sint-Niklaas-FH01
9100-25716;9100;25716;Regentieplein;W03-D-Sint-Niklaas-FH01
9100-25717;9100;25717;Regentiestraat;W03-D-Sint-Niklaas-FH01
9100-27007;9100;27007;Sacramentsstraat;W03-D-Sint-Niklaas-FH01
9100-29373;9100;29373;Stationsplein;W03-D-Sint-Niklaas-FH01
9100-29377;9100;29377;Stationsstraat;W03-D-Sint-Niklaas-FH01
9100-29782;9100;29782;Mgr. Stillemansstraat;W03-D-Sint-Niklaas-FH01
9100-32045;9100;32045;Dokter Verdurmenstraat;W03-D-Sint-Niklaas-FH01
9100-3269;9100;3269;Boonhemstraat;W03-D-Sint-Niklaas-FH01
9100-34114;9100;34114;Westerstraat;W03-D-Sint-Niklaas-FH01
9100-35097;9100;35097;Zamanstraat;W03-D-Sint-Niklaas-FH01
9100-40037;9100;40037;Kroonmolenstraat;W03-D-Sint-Niklaas-FH01
9100-4175;9100;4175;Richard Van Britsomstraat;W03-D-Sint-Niklaas-FH01
9100-4343;9100;4343;Broodstraat;W03-D-Sint-Niklaas-FH01
9100-448;9100;448;Prins Albertstraat;W03-D-Sint-Niklaas-FH01
9100-4990;9100;4990;Casinostraat;W03-D-Sint-Niklaas-FH01
9100-5022;9100;5022;de Castrodreef;W03-D-Sint-Niklaas-FH01
9100-5771;9100;5771;Dalstraat;W03-D-Sint-Niklaas-FH01
9100-635;9100;635;Ankerstraat;W03-D-Sint-Niklaas-FH01
9100-724;9100;724;Apostelstraat;W03-D-Sint-Niklaas-FH01
9100-101;9100;101;Philippus Neridreef;W03-D-Sint-Niklaas-FH02
9100-1030;9100;1030;Azalealaan;W03-D-Sint-Niklaas-FH02
9100-10519;9100;10519;De Gravestraat;W03-D-Sint-Niklaas-FH02
9100-13336;9100;13336;Hospitaalstraat;W03-D-Sint-Niklaas-FH02
9100-16086;9100;16086;Klein-Hulststraat;W03-D-Sint-Niklaas-FH02
9100-16358;9100;16358;Knaptandstraat;W03-D-Sint-Niklaas-FH02
9100-17821;9100;17821;Lamstraat;W03-D-Sint-Niklaas-FH02
9100-19;9100;19;Zwijgershoek;W03-D-Sint-Niklaas-FH02
9100-19666;9100;19666;Magnolialaan;W03-D-Sint-Niklaas-FH02
9100-20504;9100;20504;Mercatorstraat;W03-D-Sint-Niklaas-FH02
9100-21025;9100;21025;Moerlandstraat;W03-D-Sint-Niklaas-FH02
9100-22602;9100;22602;August Nobelsstraat;W03-D-Sint-Niklaas-FH02
9100-23902;9100;23902;Papenakkerstraat;W03-D-Sint-Niklaas-FH02
9100-23992;9100;23992;Parklaan;W03-D-Sint-Niklaas-FH02
9100-24858;9100;24858;Polderstraat;W03-D-Sint-Niklaas-FH02
9100-30963;9100;30963;Truweelstraat;W03-D-Sint-Niklaas-FH02
9100-31779;9100;31779;Veldstraat;W03-D-Sint-Niklaas-FH02
9100-32180;9100;32180;Vermorgenstraat;W03-D-Sint-Niklaas-FH02
9100-32530;9100;32530;Sint-Vincentiusstraat;W03-D-Sint-Niklaas-FH02
9100-33529;9100;33529;Walburgstraat;W03-D-Sint-Niklaas-FH02
9100-35360;9100;35360;Zeildoekstraat;W03-D-Sint-Niklaas-FH02
9100-40038;9100;40038;Lodewijk De Meesterstraat;W03-D-Sint-Niklaas-FH02
9100-4446;9100;4446;Brugsken;W03-D-Sint-Niklaas-FH02
9100-708;9100;708;Antwerpse Steenweg;W03-D-Sint-Niklaas-FH02
9100-86;9100;86;Sint-Rochushof;W03-D-Sint-Niklaas-FH02
8800-10046;8800;10046;Gieterijstraat;W01-C-Roeselare-FH04
8800-11315;8800;11315;Hammestraat;W01-C-Roeselare-FH04
8800-117;8800;117;Elf-Novemberstraat;W01-C-Roeselare-FH04
8800-12285;8800;12285;Herentalslaan;W01-C-Roeselare-FH04
8800-12699;8800;12699;Germain Hoetstraat;W01-C-Roeselare-FH04
8800-14241;8800;14241;Kaaistraat;W01-C-Roeselare-FH04
8800-159;8800;159;Tramstraat;W01-C-Roeselare-FH04
8800-16727;8800;16727;Koornstraat;W01-C-Roeselare-FH04
8800-172;8800;172;Sint-Anne;W01-C-Roeselare-FH04
8800-173;8800;173;Jutestraat;W01-C-Roeselare-FH04
8800-17733;8800;17733;Jules Lagaelaan;W01-C-Roeselare-FH04
8800-17897;8800;17897;Langebrugstraat;W01-C-Roeselare-FH04
8800-181;8800;181;Overstatie;W01-C-Roeselare-FH04
8800-18570;8800;18570;Koning Leopold III-laan;W01-C-Roeselare-FH04
8800-19722;8800;19722;Mandeldreef;W01-C-Roeselare-FH04
8800-19723;8800;19723;Mandellaan;W01-C-Roeselare-FH04
8800-19850;8800;19850;Mariastraat;W01-C-Roeselare-FH04
8800-20662;8800;20662;Meulebekestraat;W01-C-Roeselare-FH04
8800-21820;8800;21820;Munitiestraat;W01-C-Roeselare-FH04
8800-22570;8800;22570;Nijverheidsstraat;W01-C-Roeselare-FH04
8800-22946;8800;22946;Onze-Lieve-Vrouwestraat;W01-C-Roeselare-FH04
8800-22988;8800;22988;Ommegangsstraat;W01-C-Roeselare-FH04
8800-2337;8800;2337;Beversesteenweg;W01-C-Roeselare-FH04
8800-28556;8800;28556;Spanjestraat;W01-C-Roeselare-FH04
8800-28740;8800;28740;Spinnersstraat;W01-C-Roeselare-FH04
8800-29012;8800;29012;Sint-Hubrechtsstraat;W01-C-Roeselare-FH04
8800-29053;8800;29053;Sint-Jorisstraat;W01-C-Roeselare-FH04
8800-29518;8800;29518;Steenhouwersstraat;W01-C-Roeselare-FH04
8800-30653;8800;30653;Toekomststraat;W01-C-Roeselare-FH04
8800-31280;8800;31280;Vaartstraat;W01-C-Roeselare-FH04
8800-32397;8800;32397;Vierwegstraat;W01-C-Roeselare-FH04
8800-36284;8800;36284;Oostrem;W01-C-Roeselare-FH04
8800-4380;8800;4380;Bruanestraat;W01-C-Roeselare-FH04
8800-44970;8800;44970;Onze-Lieve-Vrouwemarkt;W01-C-Roeselare-FH04
8800-766;8800;766;Ardooisesteenweg;W01-C-Roeselare-FH04
8800-8398;8800;8398;Eksaardestraat;W01-C-Roeselare-FH04
8800-8938;8800;8938;Fabrieksstraat;W01-C-Roeselare-FH04
8800-9169;8800;9169;Fortuinstraat;W01-C-Roeselare-FH04
1140-10789;1140;10789;Lindestraat - Rue du Tilleul;W04-C-Evere-FH03
1140-10996;1140;10996;Tuinbouw - Tuinbouw;W04-C-Evere-FH03
1140-14259;1140;14259;Avenue Henri Conscience;W04-C-Evere-FH03
1140-16085;1140;16085;Allees du Languedoc;W04-C-Evere-FH03
1140-16128;1140;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;W04-C-Evere-FH03
1140-16217;1140;16217;Avenue Notre-Dame;W04-C-Evere-FH03
1140-16291;1140;16291;Clos de l Oasis - Oasebinnenhof;W04-C-Evere-FH03
1140-16362;1140;16362;S. Hoedemaekerssquare - Square Servaas Hoedemaekers;W04-C-Evere-FH03
1140-16437;1140;16437;Henri Matisselaan - Avenue Henri Matisse;W04-C-Evere-FH03
1140-16464;1140;16464;F. Vande Maelestraat - Rue F. Vande Maele;W04-C-Evere-FH03
1140-16524;1140;16524;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;W04-C-Evere-FH03
1140-16589;1140;16589;Avenue Louis Pierard;W04-C-Evere-FH03
1140-16644;1140;16644;Provencewandelwegen - Allees de Provence;W04-C-Evere-FH03
1140-16704;1140;16704;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;W04-C-Evere-FH03
1140-17443;1140;17443;Onthaalsquare - Square de l Accueil;W04-C-Evere-FH03
1140-17497;1140;17497;J. B. Bauwensstraat - Rue J. B. Bauwens;W04-C-Evere-FH03
1140-17596;1140;17596;J. Brusselmanslaan - Avenue J. Brusselmans;W04-C-Evere-FH03
1140-17646;1140;17646;August De Boeckstraat - Rue Auguste De Boeck;W04-C-Evere-FH03
1140-17657;1140;17657;A. Vanden Bosschestraat - Rue A. Vanden Bossche;W04-C-Evere-FH03
1140-17663;1140;17663;Adolf De Brandtstraat - Rue Adolphe De Brandt;W04-C-Evere-FH03
1140-17857;1140;17857;Pater Damiaanstraat - Rue Pere Damien;W04-C-Evere-FH03
1140-17888;1140;17888;Edward Deknoopstraat - Rue Edouard Deknoop;W04-C-Evere-FH03
1140-18596;1140;18596;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;W04-C-Evere-FH03
1140-18834;1140;18834;J. Houtmeyersstraat - Rue J. Houtmeyers;W04-C-Evere-FH03
1140-22;1140;22;Kentstraat - Rue du Kent;W04-C-Evere-FH03
1140-23;1140;23;Andalusielaan - Avenue de l Andalousie;W04-C-Evere-FH03
1140-28;1140;28;Avenue du Frioul;W04-C-Evere-FH03
1140-30;1140;30;Chemin du Jutland - Jutlandweg;W04-C-Evere-FH03
1140-34;1140;34;Peloponnesosstraat - Rue du Peloponnese;W04-C-Evere-FH03
1140-35;1140;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;W04-C-Evere-FH03
1140-38;1140;38;Algarvegaarde - Clos de l Algarve;W04-C-Evere-FH03
1140-4329;1140;4329;Genevestraat - Rue de Geneve;W04-C-Evere-FH03
1140-4701;1140;4701;Chaussee de Haecht;W04-C-Evere-FH03
1140-5415;1140;5415;Impressionnismelaan - Avenue de l Impressionnisme;W04-C-Evere-FH03
1140-6364;1140;6364;Leekaertsstraat - Rue Leekaerts;W04-C-Evere-FH03
1140-8096;1140;8096;Avenue de l Optimisme;W04-C-Evere-FH03
1140-8171;1140;8171;Avenue de l Oud-Kapelleke;W04-C-Evere-FH03
1140-9182;1140;9182;Rue de la Resistance;W04-C-Evere-FH03
3500-136;3500;136;Jef Koningslaan;W03-D-Hasselt-FH08
3500-137;3500;137;Monseigneur Schruerslaan;W03-D-Hasselt-FH08
3500-14051;3500;14051;Jasmijnstraat;W03-D-Hasselt-FH08
3500-171;3500;171;Alan Turingstraat;W03-D-Hasselt-FH08
3500-17190;3500;17190;Sint-Kristoffelstraat;W03-D-Hasselt-FH08
3500-18097;3500;18097;Laurierstraat;W03-D-Hasselt-FH08
3500-207;3500;207;Acaciastraat;W03-D-Hasselt-FH08
3500-2268;3500;2268;Beukenstraat;W03-D-Hasselt-FH08
3500-22747;3500;22747;Normandiestraat;W03-D-Hasselt-FH08
3500-26882;3500;26882;Runkstersteenweg;W03-D-Hasselt-FH08
3500-28009;3500;28009;Sint-Servaasstraat;W03-D-Hasselt-FH08
3500-28777;3500;28777;Spoorwegstraat;W03-D-Hasselt-FH08
3500-2971;3500;2971;Boekstraat;W03-D-Hasselt-FH08
3500-30086;3500;30086;Djef Swennenstraat;W03-D-Hasselt-FH08
3500-31727;3500;31727;Hendrik van Veldekesingel;W03-D-Hasselt-FH08
3500-33227;3500;33227;Vredestraat;W03-D-Hasselt-FH08
3500-34489;3500;34489;Wilgenstraat;W03-D-Hasselt-FH08
3500-39027;3500;39027;Monseigneur Kerkhofsstraat;W03-D-Hasselt-FH08
3500-41537;3500;41537;Kapellekensbampdstraat;W03-D-Hasselt-FH08
3500-47;3500;47;Lucien Nolensstraat;W03-D-Hasselt-FH08
3500-621;3500;621;Anjelierenstraat;W03-D-Hasselt-FH08
3500-6424;3500;6424;Dichterstraat;W03-D-Hasselt-FH08
3500-671;3500;671;Djef Antenstraat;W03-D-Hasselt-FH08
3500-84;3500;84;Bertold-Brechtstraat;W03-D-Hasselt-FH08
3500-8731;3500;8731;Ertbeekstraat;W03-D-Hasselt-FH08
