Zoning_FID;Area;Zoning_ID;Lamkey;Lu_Key;E;Area;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;B1;B2_new
8105287;W03-C-Antwerpen-West-FH01;19074;108275;1717603;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108275;1717604;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108275;1717605;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108275;1717606;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108276;11136085;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108276;11136086;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108290;11077496;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108290;11077497;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108290;11077498;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108290;1625026;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108290;1625027;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108305;1748866;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108306;1615577;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108782;11077273;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108782;11184271;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108782;1715351;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108782;1715576;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108782;1715813;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108786;11076592;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108786;11076593;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108786;11076594;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108786;11076595;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108786;11076596;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108787;10364757;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108787;11077789;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
