Lamkey;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;Quadrant_PR;BG_Name;VCA_Status;VCA
1254302;Veldstraat;114;;;;;;OK
1254306;Veldstraat;86;;D - Facade Box;D;Veldstraat 84-86-88;;OK
1254312;Veldstraat;104;;D - Facade Box;D;;;OK
1254328;Rumbeeksesteenweg;47;;;;;;OK
1254366;Rumbeeksesteenweg;28;;D - Facade Box;D;;;OK
1254372;Grote Markt;28;;D - Facade Box;D;;;OK
1254375;Polenplein;6;;D - Facade Box;D;;;OK
1254379;Botermarkt;15;;D - Facade Box;D;;;OK
1254380;Botermarkt;16;;D - Facade Box;D;;;OK
1254382;Botermarkt;23;;D - Facade Box;D;Botermarkt 21-23;;OK
1254999;Wilgenstraat;11;;;;;;OK
1255000;Wilgenstraat;69;;D - Facade Box;D;Wilgenstraat 69_Westlaan 42;;OK
1255001;Wilgenstraat;7;;D - Facade Box;D;;;OK
1255007;Wilgenstraat;45;;;;;;OK
1255017;Westlaan;40;;D - Facade Box;D;;;OK
1255032;Hippoliet Spilleboutdreef;4;;D - Facade Box;D;Hippoliet Spilleboutdreef 2-4-6;;OK
1255039;Hippoliet Spilleboutdreef;14;;;;;;OK
1255042;Hippoliet Spilleboutdreef;22;;D - Facade Box;D;;;OK
1255055;Hof van t Henneken;123;;D - Facade Box;D;Hof van t Henneken 113-121-123;;OK
1255077;Meensesteenweg;141;;D - Facade Box;D;;;OK
1255078;Meensesteenweg;159;;;;;;OK
1255091;s Gravenstraat;42;;D - Facade Box;D;;;OK
1255095;Hof van t Henneken;97;;D - Facade Box;D;;;OK
1255096;Hof van t Henneken;100;;D - Facade Box;D;Hof van t Henneken 100-102;;OK
1255099;Rijselstraat;9;;;;;;OK
1336303;Hof van t Henneken;15;;D - Facade Box;D;Hof van t Henneken 15-17;;OK
1490210;Sint-Alfonsusstraat;11;;;;;;OK
3413489;Koning Albert I-laan;94;;D - Facade Box;D;Koning Albert 1 Laan 94 - 96;;OK
3414176;Bollenstraat;12;;;;;;OK
3414177;Bollenstraat;14;A;D - Facade Box;D;;;OK
3414179;Bollenstraat;21;B;;;;;OK
3414578;Delaerestraat;9;;D - Facade Box;D;;;OK
3414580;Delaerestraat;15;;D - Facade Box;D;;;OK
3414594;Delaerestraat;38;;D - Facade Box;D;;;OK
3414595;Delaerestraat;41;;;;;;OK
3414597;Dokter Delbekestraat;4;;D - Facade Box;D;;;OK
3414960;Gasstraat;17;;D - Facade Box;D;;;OK
3415472;Hof van t Henneken;2;;D - Facade Box;D;;;OK
3415502;Hof van t Henneken;111;;D - Facade Box;D;;;OK
3415881;Iepersestraat;7;;;;;;OK
3415885;Iepersestraat;13;;;;;;OK
3415889;Iepersestraat;27;;D - Facade Box;D;;;OK
3415899;Iepersestraat;57;;D - Facade Box;D;Iepersestraat 57-59;;OK
3415950;Iepersestraat;145;;D - Facade Box;D;;;OK
3415953;Iepersestraat;149;;D - Facade Box;D;;;OK
3415960;Iepersestraat;157;;D - Facade Box;D;;;OK
3416649;Rode-Kruisstraat;27;;D - Facade Box;D;;;OK
3416743;Leenstraat;5;;D - Facade Box;D;;;OK
3416744;Leenstraat;6;;D - Facade Box;D;Leenstraat 4A-6-8;;OK
3416747;Leenstraat;11;;D - Facade Box;D;;;OK
3416748;Leenstraat;14;;;;;;OK
3417226;Meensesteenweg;23;;D - Facade Box;D;;;OK
3417233;Meensesteenweg;49;;;;;;OK
3417234;Meensesteenweg;51;;;;;;OK
3417239;Meensesteenweg;59;;D - Facade Box;D;;;OK
3417241;Meensesteenweg;62;;D - Facade Box;D;;;OK
3417249;Meensesteenweg;80;;D - Facade Box;D;;;OK
3417251;Meensesteenweg;84;;D - Facade Box;D;;;OK
3417254;Meensesteenweg;89;;;;;;OK
3417736;Ooststraat;28;;D - Facade Box;D;;;OK
3417743;Ooststraat;38;;;;;;OK
3417745;Ooststraat;40;;;;;;OK
3417779;Ooststraat;98;;D - Facade Box;D;;;OK
3417790;Ooststraat;114;;D - Facade Box;D;;;OK
3417796;Ooststraat;130;;D - Facade Box;D;;;OK
3417801;Ooststraat;144;;;;;;OK
3417955;Polenplein;5;;D - Facade Box;D;;;OK
3417961;Polenplein;18;;D - Facade Box;D;Polenplein 17A-18-18A;;OK
3417962;Polenplein;19;;D - Facade Box;D;;;OK
3418061;Rijselstraat;9;B;;;;;OK
3418064;Rijselstraat;12;;;;;;OK
