LAM MK;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Version;Building FID;Building Version;BG Id;LAM City Code;LAM Street Code
3204519;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38151981;20200921190736;;46370000;14575
3208123;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38152103;20200921190736;38710112;46370000;20392
3208136;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152192;20200921190736;;46370000;20392
3208137;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38152214;20200921190736;38710113;46370000;20392
1218239;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38160754;20200921190736;;46370000;20392
3208614;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152293;20200921190736;;46370000;21559
1329051;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152352;20200921190736;;46370000;21559
3945654;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152365;20200921190736;;46370000;21559
3208617;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152451;20200921190736;;46370000;21559
3208619;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152462;20200921190736;;46370000;21559
3208626;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38152568;20200921190737;;46370000;21559
3209370;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38152853;20200921190739;38710115;46370000;23654
5148920;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38153446;20200921190739;38710117;46370000;8747
3201510;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38153649;20200921190737;38710118;46370000;8747
3201512;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38153711;20200921190737;;46370000;8747
3201552;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38153732;20200921190737;;46370000;8747
4050163;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38153799;20200921190737;;46370000;8747
6451609;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38153819;20200921190737;;46370000;8747
3201601;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38153853;20200921190737;38710119;46370000;8747
3201603;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38153859;20200921190736;;46370000;8747
4164552;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38153945;20200921190736;;46370000;8747
3201616;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38153960;20200921190736;38710120;46370000;8747
3201632;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154040;20200921190736;;46370000;8747
1286322;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154065;20200921190736;;46370000;8747
6733961;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38166532;20200921190736;;46370000;8747
3201648;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154095;20200921190744;;46370000;8747
3201650;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154235;20200921190744;;46370000;8747
6390528;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154442;20200921190744;;46370000;8747
3201680;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154494;20200921190744;;46370000;8747
3199320;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38154781;20200921190744;;46370000;4531
3216722;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38155371;20200921190744;;46370000;48016
5149457;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38155998;20200921190744;;46370000;8213
3201219;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38156024;20200921190744;;46370000;8213
1139723;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38156382;20200921190736;;46370000;49599
6525283;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38156532;20200921190736;;46370000;19939
3207971;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;20200921190736;38156812;20200921190744;38710101;46370000;19939
6459362;Zoning;35235803;20200813094927;W01-C-Namur-FH10;35235803;20200813094927;W01-C-Namur-FH10;34217;FTTH-Cu;;38156856;20200921190744;;46370000;19939
