LAM MK;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Version;Building FID;Building Version;BG Id;LAM City Code;LAM Street Code
50917;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;710666;20200331124353;;1630000;9218
50918;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;710667;20200330183934;;1630000;9218
50916;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;710665;20200330183934;;1630000;9218
50915;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;710664;20200331124307;;1630000;9218
1874000;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070344;20200331124313;;1630000;9218
1874010;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;642555;20200331124251;;1630000;9218
1874020;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;642556;20200331124245;;1630000;9218
50895;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;710649;20200331124213;;1630000;9218
5575542;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;712321;20200331124205;;1630000;9218
5575543;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;712322;20200331124153;;1630000;9218
50913;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070346;20200331124145;;1630000;9218
50896;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;710650;20200331124127;;1630000;9218
6458252;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070347;20200331124120;;1630000;9218
1874083;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;642557;20200330183923;;1630000;9218
6518756;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070349;20200331124105;;1630000;9218
1874110;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;642559;20200331123947;;1630000;9218
11946;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;614559;20200331123934;;1630000;29845
50888;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070096;20200330183929;;1630000;30111
2056045;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070097;20200331124340;;1630000;30111
4507596;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070098;20200331124347;;1630000;30111
1313434;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;616139;20200331124326;;1630000;30111
2056051;Survey Zone;14277601;20190912160019;W03-C-Antwerpen-West-FH09_BL0001;6809230;20191109094845;W03-C-Antwerpen-West-FH09;19086;FTTH-Cu;;33070107;20200331124258;;1630000;30111
