LAM MK;xPos;yPos;Street;Nr;Suffix
968887;151761,757;210862,662;Admiraal de Boisotstraat;2;
762227;151768,514;210838,689;Admiraal de Boisotstraat;3;
1752964;151757,226;210859,115;Admiraal de Boisotstraat;4;
1752966;151765,262;210834,466;Admiraal de Boisotstraat;5;
1752970;151753,443;210854,243;Admiraal de Boisotstraat;6;
1752971;151762,33;210830,185;Admiraal de Boisotstraat;7;
1752972;151750,524;210849,607;Admiraal de Boisotstraat;8;
1752973;151759,211;210826,282;Admiraal de Boisotstraat;9;
4515990;151746,607;210844,351;Admiraal de Boisotstraat;10;
1752976;151755,514;210822,53;Admiraal de Boisotstraat;11;
1752980;151740,466;210840,856;Admiraal de Boisotstraat;12;
1752987;151753,347;210817,931;Admiraal de Boisotstraat;13;
4515991;151737;210838;Admiraal de Boisotstraat;14;
1752992;151749,8;210813,688;Admiraal de Boisotstraat;15;
4515992;151734;210833;Admiraal de Boisotstraat;16;
1753004;151746,542;210809,009;Admiraal de Boisotstraat;17;
1753009;151731,822;210828,156;Admiraal de Boisotstraat;18;
1753016;151728,857;210823,794;Admiraal de Boisotstraat;20;
1753019;151736;210795;Admiraal de Boisotstraat;21;
1753023;151725,737;210819,364;Admiraal de Boisotstraat;22;
1753029;151733,172;210791,544;Admiraal de Boisotstraat;23;
1753034;151723,887;210813,898;Admiraal de Boisotstraat;24;
1753038;151729,511;210787,791;Admiraal de Boisotstraat;25;
968888;151719,977;210810,72;Admiraal de Boisotstraat;26;
1753056;151726,219;210782,931;Admiraal de Boisotstraat;27;
1753059;151717,262;210806,066;Admiraal de Boisotstraat;28;
1753064;151722,926;210778,619;Admiraal de Boisotstraat;29;
1753075;151713,941;210801,596;Admiraal de Boisotstraat;30;
1753078;151719,182;210774,169;Admiraal de Boisotstraat;31;
1753084;151710,809;210797,581;Admiraal de Boisotstraat;32;
1753086;151715,766;210769,438;Admiraal de Boisotstraat;33;
1753088;151707,028;210794,182;Admiraal de Boisotstraat;34;
762226;151712,744;210764,962;Admiraal de Boisotstraat;35;
1753095;151704,223;210789,415;Admiraal de Boisotstraat;36;
762224;151708,51;210761,116;Admiraal de Boisotstraat;37;
968886;151700,632;210786,03;Admiraal de Boisotstraat;38;
1753102;151705,863;210756,638;Admiraal de Boisotstraat;39;
1753106;151702,539;210752,114;Admiraal de Boisotstraat;41;
1753109;151699,633;210747,167;Admiraal de Boisotstraat;43;
1753113;151695,584;210743,397;Admiraal de Boisotstraat;45;
1753117;151691,847;210739,296;Admiraal de Boisotstraat;47;
4519679;151689,477;210734,794;Admiraal de Boisotstraat;49;
4519680;151685,859;210731,059;Admiraal de Boisotstraat;51;
