LAM MK;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Version;Building FID;Building Version;BG Id;LAM City Code;LAM Street Code
319836;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668099;20200506174437;;33860000;200
319827;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668090;20200506174437;;33860000;200
2757511;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;33593048;20200506174439;;33860000;200
2757512;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667819;20200506174428;;33860000;200
319829;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668092;20200506174437;;33860000;200
2757513;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667820;20200506174428;;33860000;200
319828;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668091;20200506174437;;33860000;200
2757514;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667821;20200506174428;;33860000;200
2757515;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667822;20200506174428;;33860000;200
2757516;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667823;20200506174428;;33860000;200
2757517;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667824;20200506174428;;33860000;200
2757518;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667825;20200506174429;;33860000;200
4348134;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668191;20200506174433;;33860000;200
2757519;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667826;20200506174429;;33860000;200
2757521;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667827;20200506174429;;33860000;200
2757522;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667828;20200506174429;;33860000;200
2757523;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667829;20200506174429;;33860000;200
2757524;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667830;20200506174429;;33860000;200
2757525;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667831;20200506174429;;33860000;200
2757527;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667832;20200506174429;;33860000;200
2757528;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667833;20200506174429;;33860000;200
319830;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668093;20200506174437;;33860000;200
319834;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668097;20200506174437;;33860000;200
319831;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668094;20200506174437;;33860000;200
319833;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668096;20200506174437;;33860000;200
2757529;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667834;20200506174429;;33860000;200
320258;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668144;20200506174437;;33860000;200
2757530;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667835;20200506174429;;33860000;200
2757531;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667836;20200506174429;;33860000;200
2757532;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667837;20200506174429;;33860000;200
2757534;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667838;20200506174429;;33860000;200
2757535;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667839;20200506174429;;33860000;200
2757536;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667840;20200506174429;;33860000;200
2757537;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667841;20200506174429;;33860000;200
2757538;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667842;20200506174429;;33860000;200
2757539;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667843;20200506174429;;33860000;200
2757541;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667844;20200506174429;;33860000;200
320260;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668145;20200506174437;;33860000;200
6598438;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;33593049;20200506174439;;33860000;200
2757542;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667845;20200506174429;;33860000;200
319835;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668098;20200506174437;;33860000;200
319832;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668095;20200506174437;;33860000;200
4346170;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668183;20200506174433;;33860000;200
2757543;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667846;20200506174429;;33860000;200
2757544;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667847;20200506174429;;33860000;200
2757545;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667848;20200506174429;;33860000;200
2757546;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667849;20200506174429;;33860000;200
2757547;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667850;20200506174429;;33860000;200
2757548;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667851;20200506174429;;33860000;200
2757549;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667852;20200506174429;;33860000;200
4040163;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31668159;20200506174428;;33860000;200
2757550;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667853;20200506174429;;33860000;200
2757551;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667854;20200506174429;;33860000;200
2757552;Zoning;8315392;20191109094845;W03-C-Knokke-Heist-FH08;8315392;20191109094845;W03-C-Knokke-Heist-FH08;21137;FTTH-Cu;;31667855;20200506174429;;33860000;200
