LAM MK;xPos;yPos;Street;Nr;Suffix
9867;72484,066;226514,074;Anemonenlaan;2;
2757843;72506,685;226502,455;Anemonenlaan;3;
295571;72524,32;226478,089;Anemonenlaan;5;
296985;72559,461;226386,052;Anemonenlaan;6;
296983;72560,559;226377,155;Anemonenlaan;7;
295472;72573,54;226313,403;Anemonenlaan;9;
295471;72573,717;226296,805;Anemonenlaan;10;
6344143;72575;226275;Anemonenlaan;11;
2757844;72568,687;226260,186;Anemonenlaan;12;
2757845;72567,67;226254,28;Anemonenlaan;13;
295469;72563,687;226236,201;Anemonenlaan;14;
294681;73205,78;226380,61;Arcadelaan;1;
2758059;72777,556;226668,156;Bergdreef;1;
2758060;72822,084;226680,622;Bergdreef;7;
293757;73009,859;226662,904;Bergdreef;8;
5579279;73021,556;226664,158;Bergdreef;10;
5579280;72846,39;226681,96;Bergdreef;11;
293759;73060,794;226651,208;Bergdreef;12;
293452;72925,03;226695,54;Bergdreef;19;
2758068;72924,86;226704,11;Bergdreef;21;
294229;72947,746;226701,845;Bergdreef;23;
2758072;73101,556;226676,159;Bergdreef;31;
2758073;73116,28;226649,15;Bergdreef;33;
293615;73043,09;226571,62;Bocheldreef;2;
6667849;73023;226542;Bocheldreef;3;
2758188;73021,684;226575,982;Bocheldreef;4;
293622;73006,557;226536,158;Bocheldreef;5;
2758189;73007,15;226563,95;Bocheldreef;8;
293614;72989,668;226555,951;Bocheldreef;10;
6667850;72989,924;226529,241;Bocheldreef;11;
293613;72971,89;226549,2;Bocheldreef;12;
2758190;72973,557;226522,158;Bocheldreef;13;
293620;72970,192;226573,585;Bocheldreef;14;
293612;72951,48;226535,93;Bocheldreef;15;
293618;72964,557;226588,158;Bocheldreef;16;
4335982;72959,873;226608,427;Bocheldreef;18;
4273817;72955,92;226626,33;Bocheldreef;20;
293617;72945,556;226650,157;Bocheldreef;22;
293624;72940,26;226587,12;Bocheldreef;23;
296481;72748,333;226710,583;Brieshelling;1;
5559100;72741,628;226686,124;Brieshelling;3;
2758419;72756,424;226688,539;Brieshelling;5;
296566;72748,107;226680,227;Brieshelling;7;
296480;72763,065;226681,109;Brieshelling;9;
293716;73063,2;226498,04;Dalgang;1;
293714;73044,006;226486,101;Dalgang;2;
293717;73070,23;226491,96;Dalgang;3;
4335913;73051,61;226472,43;Dalgang;4;
293720;73086,79;226474,133;Dalgang;5;
2758717;73063,45;226461,06;Dalgang;6;
293721;73089,56;226466,54;Dalgang;7;
293723;73077,2;226448,52;Dalgang;8;
2767486;73094,555;226737,158;De Wandelaar;1;
2767488;73056,394;226761,658;De Wandelaar;2;
4335776;73086,555;226734,158;De Wandelaar;3;
4335777;73072,555;226728,158;De Wandelaar;5;
2767490;73036,92;226713,68;De Wandelaar;7;
5830112;72349,529;226300,544;Dir.-Gen. Willemspark;1;
295465;72843,667;226284,894;Duinbergenlaan;57;
295467;72849,972;226292,29;Duinbergenlaan;59;
295464;72845,735;226314,315;Duinbergenlaan;61;
293809;72890,197;226262,854;Duinbergenlaan;62;
2759073;72848,751;226337,745;Duinbergenlaan;63;
2759074;72889,368;226269,173;Duinbergenlaan;64;
293811;72889,875;226275,03;Duinbergenlaan;66;
293801;72887,463;226323,934;Duinbergenlaan;68;
295468;72844,354;226377,426;Duinbergenlaan;69;
293803;72884,559;226364,157;Duinbergenlaan;70;
4336422;72841,26;226381,7;Duinbergenlaan;71;
2759077;72883,574;226382,442;Duinbergenlaan;72;
2759078;72851,558;226396,157;Duinbergenlaan;73;
2759080;72884,559;226389,804;Duinbergenlaan;74;
295466;72851,558;226402,157;Duinbergenlaan;75;
293805;72878,767;226402,88;Duinbergenlaan;76;
292942;72846,796;226434,584;Duinbergenlaan;77;
5579331;72877,514;226409,274;Duinbergenlaan;78;
2759084;72835,558;226472,157;Duinbergenlaan;79;
293807;72874,236;226447,996;Duinbergenlaan;80;
4023063;72874,41;226453,112;Duinbergenlaan;82;
292974;72810,814;226486,045;Duinbergenlaan;83;
292975;72780,948;226501,526;Duinbergenlaan;85;
2759092;72873,753;226459,575;Duinbergenlaan;86;
5579332;72761;226514;Duinbergenlaan;87;
2759095;72872,558;226465,679;Duinbergenlaan;88;
292976;72748,054;226542,708;Duinbergenlaan;89;
293520;72875,319;226471,07;Duinbergenlaan;90;
2759096;72742,639;226545,484;Duinbergenlaan;91;
292977;72732,718;226563,06;Duinbergenlaan;93;
9849;72711,78;226573,601;Duinbergenlaan;95;
2759100;72692,811;226552,565;Duinbergenlaan;97;
2759101;72689,557;226580,155;Duinbergenlaan;99;
292972;72664,068;226572,109;Duinbergenlaan;101;
4335087;72666,973;226598,715;Duinbergenlaan;105;
292995;72635,104;226627,213;Duinbergenlaan;111;
5579333;72641;226629;Duinbergenlaan;113;
2759106;72645,413;226640,629;Duinbergenlaan;115;
2759107;72634,598;226637,261;Duinbergenlaan;117;
5905446;72632,235;226643,254;Duinbergenlaan;121;A
4336643;72630,714;226650,966;Duinbergenlaan;123;
2759111;72624,371;226652,043;Duinbergenlaan;125;
5905445;72625,29;226661,572;Duinbergenlaan;127;
292984;72616,05;226460,137;Duinendreef;1;
296970;72556,636;226409,439;Duinendreef;2;
2759130;72640,05;226462,471;Duinendreef;3;
2759131;72629,972;226485,012;Duinendreef;5;
2759132;72580,494;226419,012;Duinendreef;6;
4336635;72649,196;226487,325;Duinendreef;7;
296972;72597,446;226422,78;Duinendreef;8;
2759133;72661,05;226464,964;Duinendreef;9;
295455;72624,351;226426,632;Duinendreef;10;
2759134;72669,506;226487,325;Duinendreef;11;
2759135;72681,289;226468,122;Duinendreef;13;
2759136;72651,558;226439,155;Duinendreef;14;
2759137;72697,177;226463,964;Duinendreef;15;
295454;72665,146;226436,552;Duinendreef;16;
292986;72711,73;226463,74;Duinendreef;17;
295453;72685,62;226433,261;Duinendreef;18;
292987;72754,558;226443,71;Duinendreef;19;
4336464;72709,558;226433,156;Duinendreef;20;
4336638;72771,05;226439,599;Duinendreef;21;
295452;72716,004;226429,14;Duinendreef;22;
1468793;72788,193;226435,615;Duinendreef;23;
295451;72753,025;226413,109;Duinendreef;24;
2759140;72828,679;226432,704;Duinendreef;25;
2759141;72773,42;226406,317;Duinendreef;26;
292988;72837,431;226433,823;Duinendreef;27;
2759142;72781,113;226404,451;Duinendreef;28;
293660;72885,623;226440,981;Duinendreef;29;
2759143;72797,818;226396,527;Duinendreef;30;
2759144;72901,052;226443,558;Duinendreef;31;
4336476;72797,818;226396,527;Duinendreef;32;
4018125;72908,542;226445,934;Duinendreef;33;
4336477;72797,818;226396,527;Duinendreef;34;
