LAM MK;xPos;yPos;Street;Nr;Suffix
;236040;148039;Rue Douffet;2;
680321.0;235968,548;147810,654;Rue du Fer;2;
3140425.0;235963,31;147805,451;Rue du Fer;4;
3140426.0;235955,054;147800,372;Rue du Fer;6;
3140427.0;235960,354;147778,84;Rue du Fer;7;
3140428.0;235949,776;147797,501;Rue du Fer;8;
3140429.0;235943,255;147794,745;Rue du Fer;10;
3140430.0;235950,947;147770,877;Rue du Fer;11;
3140431.0;235940,155;147789,897;Rue du Fer;12;
3140432.0;235948,022;147766,331;Rue du Fer;13;
3140433.0;235935,29;147786,28;Rue du Fer;14;
3140434.0;235930,207;147780,589;Rue du Fer;16;
5205500.0;235934,486;147758,12;Rue du Fer;17;
681415.0;235930,797;147752,232;Rue du Fer;21;
3140436.0;235926,452;147749,979;Rue du Fer;23;
3140437.0;235900,018;147761,379;Rue du Fer;24;
3140438.0;235921,377;147746,149;Rue du Fer;25;
3140439.0;235897,159;147755,633;Rue du Fer;26;
3140440.0;235917,276;147742,34;Rue du Fer;27;
3140441.0;235911,912;147739,114;Rue du Fer;29;
3140442.0;235885,524;147748,639;Rue du Fer;30;
3140443.0;235914,97;147718,617;Rue du Fer;31;
3140445.0;235879,868;147746,137;Rue du Fer;32;
3140446.0;235895,146;147725,862;Rue du Fer;33;
3140447.0;235877,01;147736,177;Rue du Fer;34;
3140448.0;235886,89;147721,62;Rue du Fer;35;
3140755.0;236066,449;147819,233;Rue Fisen;3;
5190351.0;236052,577;147811,26;Rue Fisen;4;
3140756.0;236071,159;147816,207;Rue Fisen;5;
3140757.0;236058,507;147809,619;Rue Fisen;6;
5190215.0;236075,914;147813,438;Rue Fisen;7;
3140758.0;236060,663;147804,037;Rue Fisen;8;
3140759.0;236081,709;147812,487;Rue Fisen;9;
3140760.0;236065,627;147803,496;Rue Fisen;10;
3140761.0;236086,078;147809,112;Rue Fisen;11;
3140762.0;236069,179;147799,169;Rue Fisen;12;
3140763.0;236090,232;147806,085;Rue Fisen;13;
5190360.0;236073,82;147797,006;Rue Fisen;14;
3140764.0;236094,625;147803,892;Rue Fisen;15;
5190361.0;236078,598;147794,762;Rue Fisen;16;
3140765.0;236103,026;147807,76;Rue Fisen;17;
3140766.0;236083,601;147792,437;Rue Fisen;18;
3140767.0;236108,154;147804,659;Rue Fisen;19;
3140768.0;236087,77;147791,786;Rue Fisen;20;
3140769.0;236114,841;147804,845;Rue Fisen;21;
3140770.0;236099,478;147759,095;Rue Fisen;22;
5190242.0;236118,971;147800,461;Rue Fisen;23;
4237600.0;236101,689;147764,006;Rue Fisen;24;
4084910.0;236124,437;147798,299;Rue Fisen;25;
5190364.0;236093,908;147793,128;Rue Fisen;26;
3140771.0;236129,795;147796,063;Rue Fisen;27;
5190365.0;236098,26;147791,148;Rue Fisen;28;
3140772.0;236135,085;147792,782;Rue Fisen;29;
3140773.0;236102,617;147787,165;Rue Fisen;30;
680373.0;236142,085;147787,73;Rue Fisen;31;
3140774.0;236106,347;147785,616;Rue Fisen;32;
3140775.0;236112,06;147783,877;Rue Fisen;34;
3140776.0;236115,251;147780,774;Rue Fisen;36;
3140777.0;236119,75;147777,794;Rue Fisen;38;
3140778.0;236125,211;147777,197;Rue Fisen;40;
3140779.0;236130,587;147777,258;Rue Fisen;42;
3140960.0;236212,491;147918,379;Impasse Foidart;1;
3140961.0;236191,707;147916,573;Impasse Foidart;3;
3140962.0;236187,174;147919,807;Impasse Foidart;4;
3140963.0;236183,777;147922,155;Impasse Foidart;5;
3140964.0;236179,994;147927,634;Impasse Foidart;6;
5197650.0;236169,217;147929,457;Impasse Foidart;7;
3140965.0;236205,739;147896,771;Impasse Foidart;8;
3140966.0;236202,402;147905,807;Impasse Foidart;9;
3143469.0;235653,607;147984,395;Rue Grétry;22;
3143470.0;235653,06;147976,283;Rue Grétry;24;
3143471.0;235658,15;147970,64;Rue Grétry;26;
680295.0;235677,605;148003,663;Rue Grétry;27;
3143472.0;235661,364;147964,596;Rue Grétry;28;
3143473.0;235680,152;147997,049;Rue Grétry;29;
3143474.0;235666,82;147958,075;Rue Grétry;30;
3143475.0;235682,64;147992,235;Rue Grétry;31;
3143476.0;235673,994;147952,657;Rue Grétry;32;
3143477.0;235696,112;147995,291;Rue Grétry;33;
3143478.0;235677,917;147948,222;Rue Grétry;34;
3143479.0;235692,536;147980,864;Rue Grétry;35;
3143480.0;235664,411;147941,993;Rue Grétry;36;
3143481.0;235696,009;147975,366;Rue Grétry;37;
3143482.0;235687,481;147938,259;Rue Grétry;38;
3143483.0;235714,277;147979,293;Rue Grétry;39;
681087.0;235691,81;147934,062;Rue Grétry;40;
3143488.0;235705,666;147964,176;Rue Grétry;41;
4027744.0;235707,984;147959,21;Rue Grétry;43;
3143498.0;235712,907;147955,523;Rue Grétry;47;
3143502.0;235714,494;147949,859;Rue Grétry;49;
3143505.0;235720,462;147946,929;Rue Grétry;51;
3143506.0;235723,73;147942,738;Rue Grétry;53;
5212004.0;235725,508;147936,202;Rue Grétry;55;
1364566.0;235729,525;147930,452;Rue Grétry;59;
3143520.0;235745,041;147913,192;Rue Grétry;65;
3143525.0;235746,969;147904,007;Rue Grétry;69;
1352843.0;235751,95;147896,857;Rue Grétry;71;
1486046.0;235758,893;147891,724;Rue Grétry;73;
3143533.0;235762,493;147886,475;Rue Grétry;75;
3143535.0;235766,66;147881,122;Rue Grétry;77;
3143537.0;235766,269;147872,78;Rue Grétry;79;
681089.0;235825,439;147734,071;Rue Grétry;80;
3143538.0;235775,94;147871,979;Rue Grétry;81;
3143541.0;235780,754;147866,873;Rue Grétry;83;
4011658.0;235829,821;147730,039;Rue Grétry;84;
3143542.0;235785,212;147861,904;Rue Grétry;85;
681088.0;235834,79;147728,153;Rue Grétry;86;
3143543.0;235789,438;147857,255;Rue Grétry;87;
3143544.0;235838,901;147724,469;Rue Grétry;88;
3143545.0;235788,632;147848,911;Rue Grétry;89;
3143546.0;235836,751;147717,304;Rue Grétry;90;
680294.0;235792,501;147839,581;Rue Grétry;91;
3143547.0;235843,381;147716,113;Rue Grétry;92;
3143548.0;235843,498;147707,761;Rue Grétry;94;
3143549.0;235805,931;147819,975;Rue Grétry;95;
3143550.0;235848,54;147700,591;Rue Grétry;96;
3143551.0;235814,8;147812,002;Rue Grétry;97;
3143552.0;235856,311;147698,425;Rue Grétry;98;
3143553.0;235822,938;147803,514;Rue Grétry;99;
3143554.0;235859,51;147693,547;Rue Grétry;100;
3143555.0;235827,199;147797,42;Rue Grétry;101;
3143556.0;235863,038;147689,62;Rue Grétry;102;
3143557.0;235850,084;147812,683;Rue Grétry;103;
3143558.0;235864,886;147683,662;Rue Grétry;104;
680292.0;235838,277;147783,939;Rue Grétry;105;
680570.0;235865,027;147676,922;Rue Grétry;106;
680291.0;235850,263;147764,54;Rue Grétry;107;
3143559.0;235868,267;147672,543;Rue Grétry;108;
3143560.0;235854,573;147757,681;Rue Grétry;109;
3143561.0;235871,351;147668,497;Rue Grétry;110;
3143562.0;235855,274;147748,957;Rue Grétry;111;
3143563.0;235874,926;147660,811;Rue Grétry;112;
5211702.0;235865,071;147738,971;Rue Grétry;113;
4263348.0;235879,632;147659,308;Rue Grétry;114;
3143566.0;235891,463;147655,129;Rue Grétry;116;
680288.0;235867,958;147730,884;Rue Grétry;117;
680567.0;235891,566;147646,324;Rue Grétry;118;
3143567.0;235879,362;147714,241;Rue Grétry;119;
3143568.0;235886,42;147709,244;Rue Grétry;121;
3143569.0;235890,302;147704,77;Rue Grétry;123;
680569.0;235915,889;147616,195;Rue Grétry;124;
3143571.0;235894,44;147700,499;Rue Grétry;125;
3143572.0;235899,974;147699,614;Rue Grétry;127;
3143574.0;235899,758;147690,618;Rue Grétry;129;
3143575.0;235918,007;147608,402;Rue Grétry;130;
3143576.0;235903,443;147684,765;Rue Grétry;131;
1453548.0;235920,634;147603,41;Rue Grétry;132;
3143577.0;235906,297;147679,077;Rue Grétry;133;
3143578.0;235925,741;147600,13;Rue Grétry;134;
3143579.0;235910,031;147673,476;Rue Grétry;135;
3143580.0;235928,262;147595,431;Rue Grétry;136;
680565.0;235913,07;147665,168;Rue Grétry;137;
3143581.0;235930,703;147590,569;Rue Grétry;138;
680564.0;235926,301;147647,207;Rue Grétry;139;
3143583.0;235919,666;147578,526;Rue Grétry;140;A
3143584.0;235940,966;147581,608;Rue Grétry;140;B
3143586.0;235939,461;147648,146;Rue Grétry;141;
1347840.0;235944,439;147575,431;Rue Grétry;142;
3143587.0;235951,958;147651,283;Rue Grétry;143;
1455340.0;235940,055;147562,004;Rue Grétry;144;
3143588.0;235942,186;147632,65;Rue Grétry;145;
3143589.0;235946,975;147627,672;Rue Grétry;147;
5205433.0;235954,196;147547,812;Rue Grétry;148;
3143590.0;235954,617;147621,64;Rue Grétry;149;
3143591.0;235939,91;147536,376;Rue Grétry;150;
3143592.0;235953,39;147613,384;Rue Grétry;151;
3143593.0;235957,008;147607,76;Rue Grétry;153;
3143594.0;235966,094;147524,262;Rue Grétry;154;
3143595.0;235959,608;147600,723;Rue Grétry;155;
3143596.0;235975,438;147515,294;Rue Grétry;156;
3143597.0;235968,364;147599,539;Rue Grétry;157;
1449325.0;235981,232;147508,241;Rue Grétry;158;
3143598.0;235969,626;147591,693;Rue Grétry;159;
680562.0;235970,091;147583,182;Rue Grétry;161;
3143599.0;235988,211;147494,905;Rue Grétry;162;
3143600.0;235976,553;147577,817;Rue Grétry;163;
3143602.0;235997,402;147491,521;Rue Grétry;166;
3941984.0;236009,993;147485,799;Rue Grétry;168;
681441.0;236031,2;147417,66;Rue Grétry;172;
3143605.0;236011,174;147545,078;Rue Grétry;173;
3143607.0;236010,784;147539,081;Rue Grétry;175;
3143608.0;236059,611;147357,915;Rue Grétry;176;
3143609.0;236021,102;147535,731;Rue Grétry;177;
3143611.0;236020,467;147523,89;Rue Grétry;181;
3143612.0;236019,371;147515,32;Rue Grétry;183;
3143613.0;236024,961;147512,19;Rue Grétry;185;
3143614.0;236028,114;147507,929;Rue Grétry;187;
1370428.0;236032,887;147501,21;Rue Grétry;189;
680561.0;236041,157;147485,625;Rue Grétry;191;
680560.0;236044,196;147480,125;Rue Grétry;193;
3143616.0;236066,152;147446,605;Rue Grétry;195;
681442.0;236106,15;147289,502;Rue Grétry;196;
3143617.0;236071,906;147440,544;Rue Grétry;197;
5207147.0;236082,898;147438,968;Rue Grétry;199;
3143619.0;236082,708;147427,975;Rue Grétry;203;
3143620.0;236092,895;147428,13;Rue Grétry;205;
3143622.0;236105,75;147435,929;Rue Grétry;207;
5207149.0;236109,884;147438,707;Rue Grétry;209;
3143623.0;236090,553;147418,448;Rue Grétry;213;
3143624.0;236135,225;147442,647;Rue Grétry;215;
3143625.0;236102,656;147408,531;Rue Grétry;217;
3143627.0;236102,404;147402,003;Rue Grétry;221;
5360304.0;236105,117;147397,328;Rue Grétry;223;A
3143630.0;236146,833;147372,104;Rue Grétry;227;
5207134.0;236217,652;147407,386;Rue Grétry;231;
3143632.0;236164,996;147337,73;Rue Grétry;237;
5207138.0;236155,929;147324,234;Rue Grétry;239;
3143633.0;236159,537;147319,009;Rue Grétry;241;
4256901.0;236163,226;147314,562;Rue Grétry;243;
3143636.0;236169,864;147319,146;Rue Grétry;245;
3143637.0;236168,404;147304,003;Rue Grétry;247;
680559.0;236172,614;147298,993;Rue Grétry;249;
3143516.0;235739,425;147920,937;Rue Grétry;63;
681075.0;235578,313;147869,285;Rue d'Harscamp;1;B
681076.0;235559,743;147842,291;Rue d'Harscamp;2;
1318902.0;235572,377;147836,026;Rue d'Harscamp;4;
3143923.0;235578,586;147834,176;Rue d'Harscamp;6;
681077.0;235583,088;147832,018;Rue d'Harscamp;8;
3143925.0;235564,372;147803,89;Rue d'Harscamp;12;
3143926.0;235588,603;147817,13;Rue d'Harscamp;14;
1509124.0;235592,909;147805,059;Rue d'Harscamp;16;
4081602.0;235819,313;147574,113;Rue d'Harscamp;17;
5200205.0;235594,737;147799,804;Rue d'Harscamp;18;
3143930.0;235596,802;147793,143;Rue d'Harscamp;20;
3143931.0;235606,378;147791,277;Rue d'Harscamp;22;
3143932.0;235602,975;147779,84;Rue d'Harscamp;24;
1501687.0;235614,524;147781,475;Rue d'Harscamp;26;
1482576.0;235617,675;147775,988;Rue d'Harscamp;28;
3143933.0;235620,77;147771,153;Rue d'Harscamp;30;
3143934.0;235624,377;147765,956;Rue d'Harscamp;32;
681093.0;235625,997;147758,948;Rue d'Harscamp;34;
681095.0;235659,49;147730,051;Rue d'Harscamp;44;
681096.0;235676,426;147699,907;Rue d'Harscamp;46;
3143935.0;235681,422;147689,135;Rue d'Harscamp;48;
3143936.0;235688,199;147679,834;Rue d'Harscamp;56;
3143937.0;235692,985;147666,129;Rue d'Harscamp;58;
681097.0;235668,918;147636,207;Rue d'Harscamp;60;
3144158.0;235834,486;147870,115;Cour Hénaux;1;
5331184.0;235840,3;147866,577;Cour Hénaux;2;
3144159.0;235848,036;147861,937;Cour Hénaux;3;
5324093.0;235855,317;147857,589;Cour Hénaux;4;
4150870.0;235860,655;147854,435;Cour Hénaux;5;
5329831.0;235865,511;147851,55;Cour Hénaux;6;
3144160.0;235869,813;147849,036;Cour Hénaux;7;
5324096.0;235874,098;147846,509;Cour Hénaux;8;
3144161.0;235878,999;147843,639;Cour Hénaux;9;
3150604.0;236200,027;148035,483;Rue Lairesse;2;B
3150607.0;236197,015;148032,432;Rue Lairesse;4;
3150609.0;236193,473;148029,114;Rue Lairesse;6;
670890.0;236201,07;148005,879;Rue Lairesse;7;
3150613.0;236190,043;148025,96;Rue Lairesse;8;
3942012.0;236196,89;148004,018;Rue Lairesse;9;
3150614.0;236176,092;148037,379;Rue Lairesse;10;
3150615.0;236194,473;147998,105;Rue Lairesse;11;
3150617.0;236159,513;148031,908;Rue Lairesse;12;
3150619.0;236179,67;148018,11;Rue Lairesse;14;
3150621.0;236169,516;147968,879;Rue Lairesse;15;
4027419.0;236173,035;148015,881;Rue Lairesse;16;
3150624.0;236160,472;147964,796;Rue Lairesse;17;
3150628.0;236170,626;148007,868;Rue Lairesse;18;
3150634.0;236152,849;147959,543;Rue Lairesse;21;
3150640.0;236150,981;147953,395;Rue Lairesse;23;
3150643.0;236148,073;147948,091;Rue Lairesse;25;
3150646.0;236142,834;147942,498;Rue Lairesse;27;
3150648.0;236153,855;147985,328;Rue Lairesse;28;
3150650.0;236138,772;147937,816;Rue Lairesse;29;
3150653.0;236149,984;147980,023;Rue Lairesse;30;
3150660.0;236133,268;147929,794;Rue Lairesse;31;
3150661.0;236138,169;147970,025;Rue Lairesse;32;
3150664.0;236126,557;147923,808;Rue Lairesse;33;
3150666.0;236132,349;147966,517;Rue Lairesse;34;
3150670.0;236122,168;147918,243;Rue Lairesse;35;
3150675.0;236128,151;147961,61;Rue Lairesse;36;
3150677.0;236116,995;147915,349;Rue Lairesse;37;
3150679.0;236124,809;147958,132;Rue Lairesse;38;
670889.0;236111,358;147910,237;Rue Lairesse;39;
3150683.0;236119,311;147955,693;Rue Lairesse;40;
3150684.0;236116,124;147948,298;Rue Lairesse;42;
3150686.0;236110,625;147941,636;Rue Lairesse;44;
3150689.0;236095,211;147886,914;Rue Lairesse;45;
3150690.0;236105,965;147938,024;Rue Lairesse;46;
3150692.0;236103,184;147932,693;Rue Lairesse;48;
3150694.0;236083,021;147876,621;Rue Lairesse;49;
3150696.0;236099,235;147928,289;Rue Lairesse;50;
3150697.0;236076,426;147868,632;Rue Lairesse;51;
3150700.0;236094,517;147923,717;Rue Lairesse;52;
3150701.0;236106,336;147832,045;Rue Lairesse;53;
3150703.0;236090,987;147919,125;Rue Lairesse;54;
4064437.0;236065,625;147861,237;Rue Lairesse;55;
3150704.0;236085,266;147915,659;Rue Lairesse;56;
3150707.0;236064,359;147854,756;Rue Lairesse;57;
3150708.0;236081,904;147910,142;Rue Lairesse;58;
3150710.0;236060,213;147849,146;Rue Lairesse;59;
3150713.0;236076,362;147906,51;Rue Lairesse;60;
3150716.0;236055,772;147845,25;Rue Lairesse;61;
3150721.0;236052,108;147840,508;Rue Lairesse;63;
3150724.0;236047,287;147837,171;Rue Lairesse;65;
3150725.0;236064,75;147890,648;Rue Lairesse;66;
680367.0;236044,158;147833,535;Rue Lairesse;67;
3150726.0;236060,573;147887,859;Rue Lairesse;68;
5211946.0;236056,617;147883,456;Rue Lairesse;70;
3150732.0;236031,076;147825,151;Rue Lairesse;71;
3150734.0;236054,275;147878,456;Rue Lairesse;72;
3150736.0;236034,007;147816,563;Rue Lairesse;73;
3150739.0;236049,234;147874,67;Rue Lairesse;74;
3150742.0;236025,351;147807,108;Rue Lairesse;75;
3150743.0;236046,496;147870,268;Rue Lairesse;76;
3150748.0;236020,577;147805,794;Rue Lairesse;77;
3150750.0;236042,596;147866,979;Rue Lairesse;78;
3150752.0;236014,044;147802,07;Rue Lairesse;79;
3150754.0;236040,042;147862,022;Rue Lairesse;80;
3150757.0;236031,918;147859,411;Rue Lairesse;82;
3150758.0;236029,066;147848,26;Rue Lairesse;84;
680322.0;236024,07;147843,236;Rue Lairesse;86;
3150761.0;236020,52;147838,77;Rue Lairesse;88;
3150765.0;235987,323;147758,213;Rue Lairesse;89;
3150771.0;235983,673;147749,916;Rue Lairesse;91;
5347284.0;236014,11;147830,495;Rue Lairesse;92;
3150774.0;235981,963;147743,474;Rue Lairesse;93;
5190389.0;235967,195;147727,336;Rue Lairesse;95;
681418.0;235982,084;147796,39;Rue Lairesse;96;
3150776.0;235976,537;147790,931;Rue Lairesse;98;
3150781.0;235972,746;147786,181;Rue Lairesse;100;
3150783.0;235968,518;147781,416;Rue Lairesse;102;
680364.0;235965,261;147699,01;Rue Lairesse;103;
3150784.0;235969,971;147773,678;Rue Lairesse;104;
3150786.0;235978,349;147686,897;Rue Lairesse;105;
3150790.0;235966,476;147768,921;Rue Lairesse;106;
3150794.0;235951,627;147688,881;Rue Lairesse;107;
3150796.0;235962,903;147764,82;Rue Lairesse;108;
3150799.0;235947,049;147682,931;Rue Lairesse;109;
3150801.0;235959,27;147760,35;Rue Lairesse;110;
3150803.0;235944,371;147678,172;Rue Lairesse;111;
3150805.0;235957,481;147755,481;Rue Lairesse;112;
3150808.0;235950,914;147670,122;Rue Lairesse;113;
3150809.0;235951,135;147752,344;Rue Lairesse;114;
3150810.0;235952,646;147662,615;Rue Lairesse;115;
3150812.0;235951,065;147745,798;Rue Lairesse;116;
3150814.0;235932,964;147663,976;Rue Lairesse;117;
3150818.0;235948,406;147740,119;Rue Lairesse;118;
3150823.0;235932,002;147655,291;Rue Lairesse;119;
3150828.0;235948,943;147733,578;Rue Lairesse;120;
3150834.0;235942,968;147729,482;Rue Lairesse;122;
3150837.0;235940,834;147724,805;Rue Lairesse;124;
3150838.0;235938,526;147720,43;Rue Lairesse;126;
3150839.0;235936,921;147714,878;Rue Lairesse;128;
3942013.0;235934,08;147709,355;Rue Lairesse;130;
3150842.0;235929,915;147705,051;Rue Lairesse;132;
3150843.0;235927,624;147698,491;Rue Lairesse;134;
3150844.0;235920,528;147697,782;Rue Lairesse;136;
3150846.0;235924,632;147687,368;Rue Lairesse;138;
