LAM MK;xPos;yPos;Street;Nr;Suffix
948264;152299,409;171029,041;Auguste Reyerslaan;135;
949280;151900,211;171217,109;Diamantlaan;108;
1681580;152284,258;171006,621;Diamantlaan;202;
948323;152287,549;171000,806;Diamantlaan;204;
948121;152170,013;171231,849;Emile Maxlaan - Avenue Emile Max;169;
1675489;152258,216;171108,253;Avenue Adolphe Lacomblé;6;
950433;152250;171095;Avenue Adolphe Lacomblé;10;
1675492;152267;171074;Avenue Adolphe Lacomblé;11;
5585176;152242;171089;Avenue Adolphe Lacomblé;12;
950442;152236;171082;Avenue Adolphe Lacomblé;16;
950432;152225;171068;Avenue Adolphe Lacomblé;20;
950431;152215;171056;Avenue Adolphe Lacomblé;24;
303958;151896,979;171391,347;Avenue de l'Emeraude;2;
4119320;151897,727;171365,45;Avenue de l'Emeraude;3;
5840110;151904,181;171365,293;Avenue de l'Emeraude;5;
1669227;151921;171360;Avenue de l'Emeraude;9;
1669230;151938;171404;Avenue de l'Emeraude;12;
1669243;152056;171351;Avenue de l'Emeraude;43;
1669254;152086;171382;Avenue de l'Emeraude;58;
5584974;152123;171347;Avenue de l'Emeraude;63;
951315;152133;171346;Avenue de l'Emeraude;65;
5584975;152142;171345;Avenue de l'Emeraude;67;
5584976;152171,763;171346,56;Avenue de l'Emeraude;71;
951331;152226;171191;Avenue de l'Opale;140;
5585128;151641,479;171428,263;Avenue de la Topaze;4;
1673582;151644,628;171428,735;Avenue de la Topaze;6;
4119549;151652,735;171402,445;Avenue de la Topaze;7;A
1673586;151653,916;171427,948;Avenue de la Topaze;10;
4114575;151743;171415;Avenue de la Topaze;42;
4119395;151756,32;171381,114;Avenue de la Topaze;43;
949488;151759;171412;Avenue de la Topaze;44;
1681462;151636;171400;Avenue du Diamant;4;
1681470;151655;171377;Avenue du Diamant;14;
947983;151702;171327;Avenue du Diamant;32;
947984;151714;171318;Avenue du Diamant;36;
4129254;151733;171304;Avenue du Diamant;40;
947985;151742;171294;Avenue du Diamant;60;
6525428;151818,739;171253,076;Avenue du Diamant;86;
1681518;151821,055;171251,738;Avenue du Diamant;88;
