Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
MECHELEN - FH01;929555;5;BL0010;929555;BL0010;BUILDING template;A.B.-straat;1;
MECHELEN - FH01;941664;5;BL0010;941664;BL0010;BUILDING template;A.B.-straat;3;
MECHELEN - FH01;3028797;5;BL0010;3028797;BL0010;BUILDING template;A.B.-straat;5;
MECHELEN - FH01;3028798;5;BL0010;3028798;BL0010;BUILDING template;A.B.-straat;7;
MECHELEN - FH01;941666;1;BL0011;941666;BL0011;BUILDING template;A.B.-straat;2;
MECHELEN - FH01;3028796;1;BL0011;3028796;BL0011;BUILDING template;A.B.-straat;4;
MECHELEN - FH01;6622322;5;BL0010;6622322;BL0010;BUILDING template;A.B.-straat;3;A
MECHELEN - FH01;930428;1;BL0011;930428;BL0011;BUILDING template;Arme-Clarenstraat;2;
MECHELEN - FH01;3029537;1;BL0011;3029537;BL0011;BUILDING template;Arme-Clarenstraat;4;
MECHELEN - FH01;4185057;1;BL0011;4185057;BL0011;BUILDING template;Arme-Clarenstraat;6;
MECHELEN - FH01;3029539;1;BL0011;3029539;BL0011;BUILDING template;Arme-Clarenstraat;8;
MECHELEN - FH01;3029541;1;BL0011;3029541;BL0011;BUILDING template;Arme-Clarenstraat;10;
MECHELEN - FH01;4038372;1;BL0011;4038372;BL0011;BUILDING template;Arme-Clarenstraat;12;
MECHELEN - FH01;4733024;1;BL0011;4733024;BL0011;BUILDING template;Arme-Clarenstraat;14;
MECHELEN - FH01;4733038;1;BL0011;4733038;BL0011;BUILDING template;Arme-Clarenstraat;28;
MECHELEN - FH01;905710;5;BL0012;905710;BL0012;BUILDING template;Arme-Clarenstraat;1;
MECHELEN - FH01;3029535;5;BL0012;3029535;BL0012;BUILDING template;Arme-Clarenstraat;3;
MECHELEN - FH01;4736802;5;BL0012;4736802;BL0012;BUILDING template;Arme-Clarenstraat;5;
MECHELEN - FH01;3029538;5;BL0012;3029538;BL0012;BUILDING template;Arme-Clarenstraat;7;
MECHELEN - FH01;3029540;5;BL0012;3029540;BL0012;BUILDING template;Arme-Clarenstraat;9;
MECHELEN - FH01;3029542;5;BL0012;3029542;BL0012;BUILDING template;Arme-Clarenstraat;11;
MECHELEN - FH01;3029543;5;BL0012;3029543;BL0012;BUILDING template;Arme-Clarenstraat;13;
