LAM MK;xPos;yPos;Street;Nr;Suffix
3124037;120539,513;127117,359;Cour de l'Ane Barré;3;
4586265;120518,598;127221,694;Cour du Noir Lévrier;3;
4586266;120531,445;127203,709;Cour du Noir Lévrier;9;
4051941;120556,471;127154,893;Esplanade du Dragon;252;
3162656;120557,706;127146,986;Esplanade du Dragon;311;
3156122;120453,392;127139,235;Grand-Place;7;
3156126;120463,691;127158,133;Grand-Place;10;
4591033;120491,711;126939,254;Marché aux Herbes;4;
3153438;120438,648;126939,064;Marché aux Herbes;14;
3153448;120432,491;126974,004;Marché aux Herbes;21;
3153455;120482,823;126967,924;Marché aux Herbes;30;
204691;120168,483;127057,744;Rampe Sainte Waudru;6;
4586203;120315,319;127160,133;Rue Cronque;4;
6056432;120292,499;127160,767;Rue Cronque;13;
246905;120373,945;127132,413;Rue d'Enghien;1;
209803;120343,12;127143,824;Rue d'Enghien;15;
3958328;120336,092;127145,912;Rue d'Enghien;17;
6449643;120339,084;127174,858;Rue d'Enghien;19;B
3145398;120337,762;127180,424;Rue d'Enghien;21;
4586200;120337,484;127183,834;Rue d'Enghien;25;
3945006;120294,343;127246,806;Rue d'Enghien;51;B
3145424;120276,252;127260,131;Rue d'Enghien;51;E
3945007;120267,484;127250,946;Rue d'Enghien;51;G
6040565;120456,574;127077,652;Rue d'Havré;2;A
247240;120452,329;127095,186;Rue d'Havré;3;
247243;120481,623;127073,755;Rue d'Havré;12;
3149447;120498,044;127071,389;Rue d'Havré;20;
3149452;120517,249;127086,628;Rue d'Havré;29;
246927;120553,101;127044,426;Rue d'Havré;36;
246933;120561,799;127061,474;Rue d'Havré;40;
6041639;120444,832;126903,105;Rue de Houdain;22;C
207065;120415,12;126899,069;Rue de Houdain;36;
249477;120389,201;127072,711;Rue de la Chaussée;2;
246910;120388,714;127024,63;Rue de la Chaussée;13;
4591262;120455,721;127066,31;Rue de la Clef;3;
3135276;120458,157;127062,691;Rue de la Clef;5;
247232;120444,484;127060,534;Rue de la Clef;6;
3135277;120459,583;127058,934;Rue de la Clef;7;
247238;120465,706;127038,686;Rue de la Clef;17;
3135298;120476,039;127016,906;Rue de la Clef;25;
4591263;120479,797;127012,488;Rue de la Clef;27;
206816;120509,265;126954,7;Rue de la Clef;43;
3135325;120505,994;126929,511;Rue de la Clef;46;
4010758;120420,617;127012,036;Rue de la Coupe;23;
247255;120417,277;126995,893;Rue de la Coupe;29;
4591041;120413,102;126935,565;Rue de la Coupe;43;
5729089;120408,231;126918,239;Rue de la Coupe;47;A
3136073;120408,51;126915,247;Rue de la Coupe;47;B
5847338;120413,311;126915,525;Rue de la Coupe;47;C
3136075;120418,251;126915,943;Rue de la Coupe;47;D
207045;120384,504;126963,607;Rue de la Couronne;5;
3136085;120364,116;126966,181;Rue de la Couronne;8;
207046;120369,683;126961,45;Rue de la Couronne;14;
5727265;120384,226;126952,752;Rue de la Couronne;20;
249261;120568,985;127161,304;Rue de la Peine Perdue;4;
3155750;120576,596;127102,322;Rue de la Peine Perdue;16;
3156456;120315,758;127046,597;Rue de la Poterie;10;
6626334;120531,019;127140,027;Rue de la Seuwe;6;
3125051;120525,128;127139,268;Rue de la Seuwe;7;
5324894;120519,821;127138,219;Rue de la Seuwe;8;
5605539;120513,989;127137,11;Rue de la Seuwe;9;
3125052;120506,816;127135,536;Rue de la Seuwe;10;
6118909;120498,301;127134,369;Rue de la Seuwe;11;
6493733;120493,752;127136,469;Rue de la Seuwe;12;
6491471;120489,378;127139,91;Rue de la Seuwe;13;
3125053;120485,179;127142,009;Rue de la Seuwe;14;
3125057;120474,039;127122,122;Rue de la Seuwe;16;
5605540;120473,515;127129,237;Rue de la Seuwe;17;
3125060;120482,496;127125,388;Rue de la Seuwe;18;
5605541;120491,886;127122,064;Rue de la Seuwe;19;
5494266;120496,901;127121,422;Rue de la Seuwe;20;
6217097;120501,975;127121,481;Rue de la Seuwe;21;
5605542;120507,865;127120,314;Rue de la Seuwe;22;
6626338;120512,181;127121,831;Rue de la Seuwe;23;
3125063;120514,864;127124,222;Rue de la Seuwe;32;
4179061;120527,753;127107,25;Rue de la Seuwe;201;
3125064;120525,245;127113,082;Rue de la Seuwe;211;
3125067;120525,187;127118,681;Rue de la Seuwe;231;
