LAM MK;xPos;yPos;Street;Nr;Suffix
1623732;152249,042;173576,276;A. Vanden Bosschestraat - Rue A. Vanden Bossche;4;
3916143;152269,08;173596,739;A. Vanden Bosschestraat - Rue A. Vanden Bossche;5;
1623733;152252,507;173571,68;A. Vanden Bosschestraat - Rue A. Vanden Bossche;6;
1623734;152269,252;173589,676;A. Vanden Bosschestraat - Rue A. Vanden Bossche;7;
1623735;152253,185;173565,594;A. Vanden Bosschestraat - Rue A. Vanden Bossche;8;
1623736;152273,282;173585,476;A. Vanden Bosschestraat - Rue A. Vanden Bossche;9;
4106725;152256,139;173560,69;A. Vanden Bosschestraat - Rue A. Vanden Bossche;10;
1623737;152276,927;173580,959;A. Vanden Bosschestraat - Rue A. Vanden Bossche;11;
1623738;152260,721;173556,602;A. Vanden Bosschestraat - Rue A. Vanden Bossche;12;
1623739;152279,748;173575,956;A. Vanden Bosschestraat - Rue A. Vanden Bossche;13;
1623740;152263,412;173551,114;A. Vanden Bosschestraat - Rue A. Vanden Bossche;14;
1623741;152282,737;173570,765;A. Vanden Bosschestraat - Rue A. Vanden Bossche;15;
1623742;152266,459;173546,248;A. Vanden Bosschestraat - Rue A. Vanden Bossche;16;
1623743;152288,256;173565,729;A. Vanden Bosschestraat - Rue A. Vanden Bossche;17;
1623744;152270,636;173542,82;A. Vanden Bosschestraat - Rue A. Vanden Bossche;18;
1623745;152269,751;173535,561;A. Vanden Bosschestraat - Rue A. Vanden Bossche;20;
1623746;152290,376;173558,384;A. Vanden Bosschestraat - Rue A. Vanden Bossche;21;
1623747;152275,399;173532,356;A. Vanden Bosschestraat - Rue A. Vanden Bossche;22;
1623748;152292,502;173552,312;A. Vanden Bosschestraat - Rue A. Vanden Bossche;23;
1623749;152277,87;173527,205;A. Vanden Bosschestraat - Rue A. Vanden Bossche;24;
1623750;152295,378;173546,987;A. Vanden Bosschestraat - Rue A. Vanden Bossche;25;
1623751;152282,467;173522,969;A. Vanden Bosschestraat - Rue A. Vanden Bossche;26;
1623752;152299,714;173542,401;A. Vanden Bosschestraat - Rue A. Vanden Bossche;27;
1623753;152284,909;173517,408;A. Vanden Bosschestraat - Rue A. Vanden Bossche;28;
1623755;152303,408;173537,852;A. Vanden Bosschestraat - Rue A. Vanden Bossche;29;
1623756;152288,015;173512,353;A. Vanden Bosschestraat - Rue A. Vanden Bossche;30;
1623757;152305,99;173532,59;A. Vanden Bosschestraat - Rue A. Vanden Bossche;31;
1623758;152291,566;173507,466;A. Vanden Bosschestraat - Rue A. Vanden Bossche;32;
1623759;152310,498;173528,502;A. Vanden Bosschestraat - Rue A. Vanden Bossche;33;
4004251;152295,488;173502,854;A. Vanden Bosschestraat - Rue A. Vanden Bossche;34;
1623760;152313,806;173523,129;A. Vanden Bosschestraat - Rue A. Vanden Bossche;35;
1623761;152297,453;173497,079;A. Vanden Bosschestraat - Rue A. Vanden Bossche;36;
1623762;152316,224;173517,109;A. Vanden Bosschestraat - Rue A. Vanden Bossche;37;
1623763;152300,303;173491,413;A. Vanden Bosschestraat - Rue A. Vanden Bossche;38;
1623764;152319,957;173512,353;A. Vanden Bosschestraat - Rue A. Vanden Bossche;39;
1623765;152305,117;173487,27;A. Vanden Bosschestraat - Rue A. Vanden Bossche;40;
1623766;152321,654;173506,096;A. Vanden Bosschestraat - Rue A. Vanden Bossche;41;
1623767;152309,3;173483,035;A. Vanden Bosschestraat - Rue A. Vanden Bossche;42;
828533;152332,371;173441,813;A. Vanden Bosschestraat - Rue A. Vanden Bossche;48;
828532;152338,085;173431,938;A. Vanden Bosschestraat - Rue A. Vanden Bossche;50;
1623769;152346,281;173426,261;A. Vanden Bosschestraat - Rue A. Vanden Bossche;52;
25034;152366,495;173394,011;A. Vanden Bosschestraat - Rue A. Vanden Bossche;58;
1623770;152368,745;173388,282;A. Vanden Bosschestraat - Rue A. Vanden Bossche;60;
