LAM MK;xPos;yPos;Street;Nr;Suffix
1306796;234648,166;151198,3492;Vis-Voie;120;
1312152;234495,7588;150812,0369;Rue Sainte Walburge;368;
1330812;234422,0386;151061,4447;Vis-Voie;40;
1336426;234437,5275;151113,0952;Vis-Voie;27;
1343983;234717,0145;150978,239;Rue Bontemps;98;
1358649;234691,5734;151452,6055;Rue de l'Arbre-Sainte-Barbe;50;
1363179;235118,6306;150200,7185;Rue des Tawes;27;
1459943;234338,0123;151385,5869;Rue du Village;317;
1475122;234241,468;151196,9574;Chausse de Tongres;44;
1476565;234238,265;151014,4361;Rue des Quatorze-Verges;375;
1489651;234533,1869;151386,6887;Rue Victor-Croisier;100;
1491070;234691,3006;151397,8612;Rue de l'Arbre-Sainte-Barbe;36;
1501767;234585,6265;150706,5802;Rue Sainte Walburge;320;
1508490;234750,2109;150125,1356;Rue de Campine;361;
24685;234764,5125;150239,7032;Avenue Victor Hugo;25;
26205;235024,0299;150073,6652;Rue de Campine;468;
2747116;234271,949;150795,8267;Rue du Sergent Merx;95;
2747123;234272,431;150810,817;Rue du Sergent Merx;99;
2774778;234521,3225;150152,9428;Rue Jean Riga;10;
2796793;235064,9843;150132,7927;Rue Sainte Walburge;51;
2796839;235003,5742;150168,985;Rue Sainte Walburge;73;
2796847;235014,048;150184,5903;Rue Sainte Walburge;77;
2796875;234973,858;150206,4143;Rue Sainte Walburge;99;
2796912;234962,369;150283,0918;Rue Sainte Walburge;120;
2796944;234906,0851;150309,6378;Rue Sainte Walburge;145;
2796955;234934,1649;150322,7745;Rue Sainte Walburge;150;
2796966;234844,4523;150381,9593;Rue Sainte Walburge;155;
2796971;234913,8892;150341,3583;Rue Sainte Walburge;160;
2796989;234885,5381;150380,2049;Rue Sainte Walburge;172;
2797016;234835,162;150427,8662;Rue Sainte Walburge;192;
2797037;234715,484;150495,2706;Rue Sainte Walburge;209;
2797044;234718,6453;150515,6273;Rue Sainte Walburge;213;
2797053;234757,593;150515,994;Rue Sainte Walburge;228;
2797079;234675,4967;150602,8396;Rue Sainte Walburge;252;
2797123;234642,2282;150642,93;Rue Sainte Walburge;270;
2797235;234551,0635;150799,3667;Rue Sainte Walburge;352;
2797257;234422,8735;150876,3591;Rue Sainte Walburge;365;
2797269;234479,9571;150829,9453;Rue Sainte Walburge;374;
2797272;234468,8165;150843,4319;Rue Sainte Walburge;394;
2797277;234464,547;150857,1958;Rue Sainte Walburge;398;
2797347;234392,6435;151014,1486;Rue Sainte Walburge;478;
2797349;234379,4685;151016,6587;Rue Sainte Walburge;480;
2798450;235107,6745;150161,1346;Rue des Tawes;11;
2798496;235109,959;150219,3064;Rue des Tawes;35;
2798592;235182,5711;150392,7041;Rue des Tawes;107;
2798610;235190,5361;150411,5216;Rue des Tawes;115;
2798613;235189,7655;150421,1503;Rue des Tawes;119;
2798630;235193,7509;150490,9744;Rue des Tawes;145;
2800926;234215,1294;150865,6211;Rue de la Tombe;1;
2800932;234209,8718;150868,7884;Rue de la Tombe;3;
2800977;234323,0985;151087,1296;Chausse de Tongres;8;
2801031;234217,6199;151173,8881;Chausse de Tongres;41;
2801055;234204,8291;151245,8435;Chausse de Tongres;56;
2801078;234142,89;151253,9946;Chausse de Tongres;73;
2807477;234338,0123;151385,5869;Rue du Village;319;
2807488;234338,0123;151385,5869;Rue du Village;321;
2807502;234214,056;151392,3137;Rue du Village;327;
2807517;234181,9004;151347,6127;Rue du Village;343;
2807519;234181,036;151340,6414;Rue du Village;345;
2809488;234384,903;151042,7766;Vis-Voie;4;
2809498;234405,6243;151088,8653;Vis-Voie;15;
2809513;234444,387;151115,7309;Vis-Voie;29;
2809516;234468,843;151133,0751;Vis-Voie;35;
2809549;234555,5435;151180,8701;Vis-Voie;59;
2809567;234543,5689;151139,077;Vis-Voie;80;A
2809572;234568,467;151152,8956;Vis-Voie;86;
2809579;234622,3125;151181,9865;Vis-Voie;106;
2809584;234643,6112;151195,5603;Vis-Voie;118;
2810098;234999,2316;150323,6076;Vieille Voie de Tongres;22;
2810101;235000,0025;150336,1828;Vieille Voie de Tongres;26;
2810102;234971,829;150376,9433;Vieille Voie de Tongres;27;
2810105;234954,5365;150402,0286;Vieille Voie de Tongres;31;
2810115;234999,3548;150362,4334;Vieille Voie de Tongres;36;
2810155;234956,8831;150443,0429;Vieille Voie de Tongres;70;
