LAM MK;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Version;Building FID;Building Version;BG Id;LAM City Code;LAM Street Code
317465;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1111603;20000101000000;;9400000;27985
317464;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1111602;20000101000000;;9400000;27985
1912791;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1110278;20000101000000;;9400000;27985
4274462;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1112096;20000101000000;;9400000;27985
1912792;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1110279;20000101000000;;9400000;27985
4534860;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1112728;20000101000000;;9400000;27985
318640;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1111625;20000101000000;;9400000;27985
448231;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1112630;20000101000000;;9400000;2291
3930941;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1111706;20000101000000;;9400000;6941
1273842;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1105306;20000101000000;;9400000;6941
1909120;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1107190;20000101000000;;9400000;6941
1273840;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1105305;20000101000000;;9400000;6941
315947;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1111565;20000101000000;;9400000;6941
315946;Zoning;33458428;20200813094927;W05-C-Boussu-FH01;33458428;20200813094927;W05-C-Boussu-FH01;33695;FTTH-Cu;;1111564;20000101000000;;9400000;6941
