LAM MK;xPos;yPos;Street;Nr;Suffix
304592;111390,608;125370,583;Avenue de l'Espoir;2;
1910280;111376,78;125365,171;Avenue de l'Espoir;12;
1910281;111359,655;125353,48;Avenue de l'Espoir;16;
1910282;111344,053;125357,15;Avenue de l'Espoir;22;
1335763;111332,639;125354,395;Avenue de l'Espoir;24;
304587;111240,795;125354,59;Avenue de l'Espoir;36;
304586;111167,303;125315,593;Avenue de l'Espoir;38;
304619;111078,891;125235,415;Avenue de l'Espoir;40;
445800;109845,627;124065,271;Avenue Jules Ducobu;2;
5351503;109851,192;124088,755;Avenue Jules Ducobu;2;A
1910162;109840,52;124057,053;Avenue Jules Ducobu;4;
1910163;109831,894;124048,639;Avenue Jules Ducobu;6;
1373213;109831,038;124040,067;Avenue Jules Ducobu;8;
1910164;109829,184;124033,477;Avenue Jules Ducobu;10;
1910165;109828,998;124020,072;Avenue Jules Ducobu;12;
1910166;109827,661;124013,877;Avenue Jules Ducobu;14;
1910167;109826,348;124007,702;Avenue Jules Ducobu;16;
1910168;109825,117;124001,952;Avenue Jules Ducobu;18;
1910169;109823,853;123996,005;Avenue Jules Ducobu;20;
7719;109822,543;123989,838;Avenue Jules Ducobu;22;
445850;109814,284;123963,406;Avenue Jules Ducobu;26;
1910170;109812,815;123957,014;Avenue Jules Ducobu;28;
1910171;109811,385;123950,921;Avenue Jules Ducobu;30;
1910172;109809,986;123944,816;Avenue Jules Ducobu;32;
1362068;109807,093;123932,189;Avenue Jules Ducobu;34;
1910174;109805,704;123926,174;Avenue Jules Ducobu;36;
1910175;109804,34;123920,275;Avenue Jules Ducobu;38;
1910176;109802,933;123914,135;Avenue Jules Ducobu;40;
4536128;109801,537;123908,106;Avenue Jules Ducobu;42;
445849;109800,101;123901,918;Avenue Jules Ducobu;44;
445848;109790,243;123878,944;Avenue Jules Ducobu;46;
1910177;109788,767;123872,533;Avenue Jules Ducobu;48;
1443083;109787,335;123866,355;Avenue Jules Ducobu;50;
1318986;109785,976;123860,424;Avenue Jules Ducobu;52;
4536129;109784,63;123854,596;Avenue Jules Ducobu;54;
1910178;109783,265;123848,544;Avenue Jules Ducobu;56;
1910181;109771,103;123794,653;Avenue Jules Ducobu;58;
1910182;109769,745;123788,669;Avenue Jules Ducobu;60;
1502153;109768,381;123782,652;Avenue Jules Ducobu;62;
4231297;109766,949;123776,409;Avenue Jules Ducobu;64;
1910183;109765,529;123770,106;Avenue Jules Ducobu;66;
1910184;109764,07;123763,686;Avenue Jules Ducobu;68;
4126652;109762,636;123738,624;Avenue Jules Ducobu;70;
1910185;109761,265;123732,664;Avenue Jules Ducobu;72;
1910186;109759,902;123726,747;Avenue Jules Ducobu;74;
1910187;109758,48;123720,529;Avenue Jules Ducobu;76;
1910188;109755,836;123708,507;Avenue Jules Ducobu;78;
1460953;109754,527;123702,774;Avenue Jules Ducobu;80;
1910189;109753,073;123696,352;Avenue Jules Ducobu;82;
1910190;109751,591;123689,863;Avenue Jules Ducobu;84;
4536134;109748,872;123677,581;Avenue Jules Ducobu;86;
1910191;109747,492;123671,609;Avenue Jules Ducobu;88;
1910192;109746,139;123665,675;Avenue Jules Ducobu;90;
4536139;109744,706;123659,335;Avenue Jules Ducobu;92;
1910193;109743,256;123653,037;Avenue Jules Ducobu;94;
445797;109742,016;123647,534;Avenue Jules Ducobu;96;
445798;109732,17;123596,469;Avenue Jules Ducobu;98;
1910194;109684,226;123544,723;Avenue Jules Ducobu;98;A
5350832;109681,513;123537,744;Avenue Jules Ducobu;98;B
1910195;109669,808;123526,962;Avenue Jules Ducobu;98;C
1910196;109666,836;123519,17;Avenue Jules Ducobu;98;D
1910197;109663,926;123511,864;Avenue Jules Ducobu;98;E
1910198;109661,057;123504,71;Avenue Jules Ducobu;98;F
445862;109629,642;123471,527;Avenue Jules Ducobu;100;
445858;109770,319;123534,584;Avenue Jules Ducobu;151;
1910200;109734,36;123545,931;Avenue Jules Ducobu;153;
1910201;109730,08;123541,573;Avenue Jules Ducobu;155;
1910202;109725,808;123537,147;Avenue Jules Ducobu;157;
1910203;109721,29;123532,352;Avenue Jules Ducobu;159;
1910204;109712,254;123522,896;Avenue Jules Ducobu;161;
1910205;109707,647;123518,142;Avenue Jules Ducobu;163;
4269285;109703,043;123513,423;Avenue Jules Ducobu;165;
445856;109698,744;123508,978;Avenue Jules Ducobu;167;
445860;109684,026;123463,459;Avenue Jules Ducobu;169;
446846;110832,683;124201,246;Chemin Creuset;41;
446805;111158,725;124760,756;Cité Cornet;1;
446808;111193,859;124776,558;Cité Cornet;2;
4249651;111162,568;124754,684;Cité Cornet;3;
4546631;111196,592;124770,156;Cité Cornet;4;
1913753;111162,795;124748,364;Cité Cornet;5;
1913754;111196,696;124763,818;Cité Cornet;6;
1913755;111163,861;124740,513;Cité Cornet;7;
1913757;111193,575;124757,313;Cité Cornet;8;
1490954;111169,876;124723,448;Cité Cornet;9;
1913758;111197,026;124751,143;Cité Cornet;10;
1913759;111167,021;124716,936;Cité Cornet;11;
1913760;111209,698;124730,777;Cité Cornet;12;
1446327;111177,183;124708,968;Cité Cornet;13;
1349119;111209,322;124736,997;Cité Cornet;14;
1913762;111181,775;124701,46;Cité Cornet;15;
1913763;111197,46;124718,09;Cité Cornet;16;
1913764;111191,919;124689,631;Cité Cornet;17;
1913765;111227,279;124721,821;Cité Cornet;18;
1913766;111192,317;124683,251;Cité Cornet;19;
1913767;111223,87;124713,75;Cité Cornet;20;
1913768;111189,365;124676,782;Cité Cornet;21;
1336708;111226,001;124700,747;Cité Cornet;22;
446806;111194,023;124669,337;Cité Cornet;23;
1913769;111229,694;124694,692;Cité Cornet;24;
1464506;111226,711;124688,212;Cité Cornet;26;
446807;111230,387;124681,975;Cité Cornet;28;
1909576;111214,327;124798,067;Cité de Moustier;1;
446801;111245,248;124821,004;Cité de Moustier;2;
1909577;111220,106;124801,11;Cité de Moustier;3;
4546622;111240,202;124816,644;Cité de Moustier;4;
446800;111228,144;124787,89;Cité de Moustier;5;
1909579;111249,416;124802,321;Cité de Moustier;6;
1909580;111231,606;124782,467;Cité de Moustier;7;
1909581;111253,057;124796,84;Cité de Moustier;8;
1909582;111235,244;124777,054;Cité de Moustier;9;
1490832;111256,532;124791,719;Cité de Moustier;10;
1909583;111238,638;124772,019;Cité de Moustier;11;
1909584;111259,761;124786,569;Cité de Moustier;12;
1909586;111243,187;124760,868;Cité de Moustier;13;
4546623;111266,243;124777,188;Cité de Moustier;14;
1909587;111248,558;124757,009;Cité de Moustier;15;
1909588;111269,764;124771,706;Cité de Moustier;16;
1909589;111251,913;124751,877;Cité de Moustier;17;
1909590;111273,266;124766,617;Cité de Moustier;18;
4546571;111255,26;124746,752;Cité de Moustier;19;
1909591;111276,684;124761,456;Cité de Moustier;20;
1909592;111259,312;124735,581;Cité de Moustier;21;
4546624;111285,272;124752,945;Cité de Moustier;22;
1909593;111262,723;124730,104;Cité de Moustier;23;
1909594;111288,722;124747,752;Cité de Moustier;24;
1909595;111265,904;124724,985;Cité de Moustier;25;
1909596;111292,125;124742,641;Cité de Moustier;26;
1909597;111269,094;124720,081;Cité de Moustier;27;
4081312;111295,572;124737,455;Cité de Moustier;28;
1909598;111275,346;124710,771;Cité de Moustier;29;
1909599;111302,063;124727,581;Cité de Moustier;30;
1909600;111278,723;124705,801;Cité de Moustier;31;
1909601;111305,364;124722,627;Cité de Moustier;32;
1909602;111282,136;124700,49;Cité de Moustier;33;
1909603;111308,456;124717,891;Cité de Moustier;34;
1909604;111281,014;124691,625;Cité de Moustier;35;
1909605;111312,17;124712,329;Cité de Moustier;36;
1909606;111294,193;124682,822;Cité de Moustier;37;
1909607;111320,593;124699,616;Cité de Moustier;38;
1909608;111297,708;124677,516;Cité de Moustier;39;
4009251;111324,32;124694,068;Cité de Moustier;40;
4546580;111301,069;124672,614;Cité de Moustier;41;
1909609;111328,047;124688,389;Cité de Moustier;42;
1909610;111304,587;124667,164;Cité de Moustier;43;
1909611;111331,45;124683,082;Cité de Moustier;44;
4546581;111310,734;124657,93;Cité de Moustier;45;
1909612;111337,561;124674,09;Cité de Moustier;46;
1909613;111314,161;124652,518;Cité de Moustier;47;
1909614;111341,035;124668,749;Cité de Moustier;48;
1909615;111317,503;124647,214;Cité de Moustier;49;
1909616;111344,578;124663,258;Cité de Moustier;50;
1909617;111317,073;124639,848;Cité de Moustier;51;
1909618;111348,225;124658,002;Cité de Moustier;52;
1909619;111329,178;124634,211;Cité de Moustier;53;
3992921;111355,396;124649,087;Cité de Moustier;54;
1909620;111332,616;124628,833;Cité de Moustier;55;
1909621;111356,284;124641,952;Cité de Moustier;56;
1909622;111336,197;124623,245;Cité de Moustier;57;
1909623;111359,844;124636,652;Cité de Moustier;58;
1909624;111339,668;124617,754;Cité de Moustier;59;
1909625;111363,414;124631,249;Cité de Moustier;60;
1909627;111345,709;124608,49;Cité de Moustier;61;
1909628;111369,355;124622,288;Cité de Moustier;62;
1909629;111349,08;124603,273;Cité de Moustier;63;
1909630;111372,124;124616,064;Cité de Moustier;64;
1909631;111352,496;124598,217;Cité de Moustier;65;
1909632;111376,59;124611,435;Cité de Moustier;66;
7723;111355,812;124592,677;Cité de Moustier;67;
446802;111379,901;124606,678;Cité de Moustier;68;
446698;111357,888;124576,254;Cité de Moustier;69;
1909633;111352,511;124572,637;Cité de Moustier;71;
1909634;111347,207;124569,055;Cité de Moustier;73;
446699;111340,808;124568,182;Cité de Moustier;75;
362551;110115,418;124943,738;Clos des Renoncules;1;
362542;110109,738;124918,075;Clos des Renoncules;3;
