LAM MK;xPos;yPos;Street;Nr;Suffix
322071;112800,952;123601,379;Avenue Docteur Schweitzer;1;
2162002;112808,168;123619,99;Avenue Docteur Schweitzer;3;
322073;112791,314;123674,608;Avenue Docteur Schweitzer;4;
322072;112810,086;123627,479;Avenue Docteur Schweitzer;5;
442752;112832,975;123663,268;Avenue Docteur Schweitzer;7;
318956;112863,553;123853,041;Avenue Docteur Schweitzer;8;
2162004;112864,18;123861,099;Avenue Docteur Schweitzer;10;
2162005;112866,075;123869,421;Avenue Docteur Schweitzer;14;
2162006;112868,362;123877,99;Avenue Docteur Schweitzer;16;
318958;112867,699;123732,846;Avenue Docteur Schweitzer;17;
2162007;112872,237;123748,25;Avenue Docteur Schweitzer;19;
1023074;112873,137;123896,645;Avenue Docteur Schweitzer;20;
2162008;112879,634;123778,319;Avenue Docteur Schweitzer;21;
2162009;112874,759;123901,937;Avenue Docteur Schweitzer;22;
2162010;112888,278;123799,136;Avenue Docteur Schweitzer;23;
2162011;112892,325;123819,421;Avenue Docteur Schweitzer;25;
2162012;112898,4;123837,214;Avenue Docteur Schweitzer;27;
2162013;112911,951;123851,128;Avenue Docteur Schweitzer;29;
2162014;112914,238;123869,273;Avenue Docteur Schweitzer;31;
2162015;112912,933;123887,897;Avenue Docteur Schweitzer;33;
1022854;112913,538;123904,991;Avenue Docteur Schweitzer;35;
2162016;112913,359;123922,077;Avenue Docteur Schweitzer;37;
2162017;112914,4;123936,209;Avenue Docteur Schweitzer;39;
2162018;112918,298;123952,864;Avenue Docteur Schweitzer;41;
2162020;112783,664;124399,346;Avenue Docteur Schweitzer;160;
2162021;112884,38;124438,877;Avenue Docteur Schweitzer;171;
2162022;112888,308;124466,607;Avenue Docteur Schweitzer;173;
2162023;112890,307;124494,607;Avenue Docteur Schweitzer;175;
317785;112893,307;124522,607;Avenue Docteur Schweitzer;177;
2162024;112931,028;124428,836;Avenue Docteur Schweitzer;179;
2162025;112946,146;124569,716;Avenue Docteur Schweitzer;181;A
317793;112906,554;124578,746;Avenue Docteur Schweitzer;181;B
1289754;112905,945;124629,955;Avenue Docteur Schweitzer;183;
317787;112884,585;124776,095;Avenue Docteur Schweitzer;200;
2162026;112910,01;124677,287;Avenue Docteur Schweitzer;201;
2162027;112864,305;124797,607;Avenue Docteur Schweitzer;202;
1023065;112914,183;124696,675;Avenue Docteur Schweitzer;203;
317788;112846,386;124820,006;Avenue Docteur Schweitzer;204;
1023064;112914,302;124714,35;Avenue Docteur Schweitzer;205;
2162028;112923,393;124737,44;Avenue Docteur Schweitzer;207;
2162029;112912,035;124764,842;Avenue Docteur Schweitzer;217;
2162030;112922,05;124777,245;Avenue Docteur Schweitzer;221;
1390157;112924,305;124797,607;Avenue Docteur Schweitzer;225;
2162031;112917,439;124816,107;Avenue Docteur Schweitzer;241;
5521837;112918,305;124809,607;Avenue Docteur Schweitzer;241;A
2162032;112918,679;124821,511;Avenue Docteur Schweitzer;243;
2162033;112918,397;124827,389;Avenue Docteur Schweitzer;249;
2162034;112931,263;124855,639;Avenue Docteur Schweitzer;259;
317784;112935,796;124876,588;Avenue Docteur Schweitzer;261;
442996;112271,699;123491,957;Chaussée de la Cour;59;
322066;112270,906;123496,78;Chaussée de la Cour;61;
442995;112269,543;123512,038;Chaussée de la Cour;63;
2159016;112268,081;123519,752;Chaussée de la Cour;65;
2159018;112267,323;123524,034;Chaussée de la Cour;67;
2159020;112266,584;123528,734;Chaussée de la Cour;69;
2159022;112262,076;123554,28;Chaussée de la Cour;75;
2159024;112260,851;123562,072;Chaussée de la Cour;77;
2159026;112260,003;123567,168;Chaussée de la Cour;79;
442994;112258,576;123573,859;Chaussée de la Cour;81;
442993;112257,722;123578,68;Chaussée de la Cour;83;
2159030;112256,85;123583,97;Chaussée de la Cour;85;
2159032;112256,137;123589,53;Chaussée de la Cour;87;
2159034;112255,265;123594,523;Chaussée de la Cour;89;
2159035;112254,283;123599,948;Chaussée de la Cour;91;
2159036;112252,717;123605,651;Chaussée de la Cour;93;
4538695;112256,816;123601,192;Chaussée de la Cour;95;
2159037;112249,352;123627,39;Chaussée de la Cour;97;
2159038;112246,843;123642,117;Chaussée de la Cour;103;
4021067;112245,995;123647,213;Chaussée de la Cour;105;
2159039;112245,308;123651,757;Chaussée de la Cour;107;
2159040;112244,572;123656,035;Chaussée de la Cour;109;
2159041;112243,743;123660,51;Chaussée de la Cour;111;
4538708;112242,864;123665,331;Chaussée de la Cour;113;
2159042;112241,995;123670,275;Chaussée de la Cour;115;
1328216;112247,069;123656,834;Chaussée de la Cour;117;
2159043;112246,182;123661,892;Chaussée de la Cour;119;
2159044;112245,296;123666,951;Chaussée de la Cour;121;
2159045;112244,41;123672,009;Chaussée de la Cour;123;
2159047;112241,228;123674,965;Chaussée de la Cour;125;
2159048;112240,416;123679,717;Chaussée de la Cour;127;
2159049;112239,155;123683,997;Chaussée de la Cour;129;
2159050;112238,39;123688,294;Chaussée de la Cour;131;
2159051;112238,169;123692,768;Chaussée de la Cour;133;
442991;112237,435;123696,952;Chaussée de la Cour;135;
442990;112236,609;123701,507;Chaussée de la Cour;137;
2159052;112235,376;123705,74;Chaussée de la Cour;139;
2159053;112234,697;123709,963;Chaussée de la Cour;141;
2159054;112234,001;123714,184;Chaussée de la Cour;143;
4538670;112233,277;123718,349;Chaussée de la Cour;145;
2159055;112232,735;123723,464;Chaussée de la Cour;147;
2159056;112231,76;123729,066;Chaussée de la Cour;149;
4214238;112230,993;123733,729;Chaussée de la Cour;151;
2159057;112229,917;123738,614;Chaussée de la Cour;153;
2159058;112229,023;123743,701;Chaussée de la Cour;155;
2159059;112228,263;123749,218;Chaussée de la Cour;157;
2159060;112226,396;123760,036;Chaussée de la Cour;163;
4538681;112225,046;123765,137;Chaussée de la Cour;165;
2159061;112224,329;123769,814;Chaussée de la Cour;167;
2159062;112223,681;123774,588;Chaussée de la Cour;169;
2159063;112222,913;123779,292;Chaussée de la Cour;171;
442992;112220,435;123793,118;Chaussée de la Cour;175;
4585116;113329,141;123818,823;Chemin du Tour;30;
2162814;112706,314;123679,607;Place de Wasmes;1;
443383;112704,911;123665,24;Place de Wasmes;2;
2162815;112702,383;123642,944;Place de Wasmes;4;
322124;112704,647;123636,179;Place de Wasmes;5;
1023007;112705,559;123629,969;Place de Wasmes;6;
2162818;112708,575;123626,524;Place de Wasmes;7;
2162819;112713,442;123622,552;Place de Wasmes;8;
442733;112719,541;123617,65;Place de Wasmes;9;
1333166;112726,827;123610,554;Place de Wasmes;10;
2162820;112732,981;123611,124;Place de Wasmes;10;A
322009;112743,707;123602,841;Place de Wasmes;11;
