LAM MK;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Version;Building FID;Building Version;BG Id;LAM City Code;LAM Street Code
2160596;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010661;20200816004011;;12760000;16250
2160597;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010662;20200816004011;;12760000;16250
2160599;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010663;20200816004011;;12760000;16250
2160601;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010664;20200816004011;;12760000;16250
2160602;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010665;20200816004011;;12760000;16250
2160603;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010666;20200816004011;;12760000;16250
2160604;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010667;20200816004011;;12760000;16250
2160605;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010668;20200816004011;;12760000;16250
2160606;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010669;20200816004011;;12760000;16250
2160607;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010670;20200816004011;;12760000;16250
2160608;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010671;20200816004011;;12760000;16250
2160609;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010672;20200816004011;;12760000;16250
2160610;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010673;20200816004011;;12760000;16250
454718;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38011952;20200816004010;;12760000;16250
454716;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38011951;20200816004010;;12760000;16250
2160611;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010674;20200816004012;;12760000;16250
2160612;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010675;20200816004012;;12760000;16250
2160613;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010676;20200816004012;;12760000;16250
4580637;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38012012;20200816004011;;12760000;16250
4580638;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38012013;20200816004011;;12760000;16250
2160615;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010677;20200816004012;;12760000;16250
2160616;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010678;20200816004012;;12760000;16250
451220;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38011935;20200816004005;;12760000;16250
2160621;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010679;20200816004012;;12760000;16250
2160623;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010680;20200816004012;;12760000;16250
2160624;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010681;20200816004012;;12760000;16250
2160625;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010682;20200816004012;;12760000;16250
2160626;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010683;20200816004012;;12760000;16250
2160627;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010684;20200816004012;;12760000;16250
2160628;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010685;20200816004012;;12760000;16250
2160629;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010686;20200816004012;;12760000;16250
2160630;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010687;20200816004012;;12760000;16250
2160631;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38010688;20200816004012;;12760000;16250
451219;Zoning;33463479;20200813094928;W05-C-Colfontaine-FH03;33463479;20200813094928;W05-C-Colfontaine-FH03;33703;FTTH-Cu;;38011934;20200816004005;;12760000;16250
