LAM MK;xPos;yPos;Street;Nr;Suffix
2160046;114553,997;122515,956;Rue de Gorcy;31;A
4036868;114553,997;122515,956;Rue de Gorcy;31;B
1010384;114739,061;121996,226;Rue Achille Urbain;1;
3935076;114730,268;121998,06;Rue Achille Urbain;3;
448934;114751,39;122019,647;Rue Achille Urbain;4;
2446687;114724,933;121998,367;Rue Achille Urbain;5;
4585122;114721,184;122005,098;Rue Achille Urbain;7;
2446689;114709,444;122006,788;Rue Achille Urbain;9;
4189170;114704,229;122010,477;Rue Achille Urbain;11;
2446690;114727,362;122028,527;Rue Achille Urbain;12;
2446691;114695,018;122014,425;Rue Achille Urbain;13;
2446692;114706,4;122037,111;Rue Achille Urbain;14;
2446694;114694,477;122041,544;Rue Achille Urbain;16;
2446695;114684,314;122019,643;Rue Achille Urbain;17;
2446696;114673,87;122025,813;Rue Achille Urbain;19;
2446699;114668,249;122022,454;Rue Achille Urbain;21;
4585124;114664,64;122030,736;Rue Achille Urbain;23;
2446700;114661,583;122061,992;Rue Achille Urbain;24;
2446703;114653,335;122069,588;Rue Achille Urbain;26;
2446705;114643,006;122073,826;Rue Achille Urbain;30;
4179376;114641,533;122038,878;Rue Achille Urbain;31;
1010386;114636,482;122077,242;Rue Achille Urbain;32;
1010385;114633,959;122048,09;Rue Achille Urbain;33;
448931;114616,486;122057,454;Rue Achille Urbain;35;
448932;114610,856;122060,504;Rue Achille Urbain;37;
2446707;114623,753;122085,53;Rue Achille Urbain;38;
2446708;114606,538;122062,763;Rue Achille Urbain;39;
2446710;114600,047;122066,599;Rue Achille Urbain;41;
2446711;114616,629;122095,341;Rue Achille Urbain;42;
448930;114611,635;122097,21;Rue Achille Urbain;44;
2446713;114591,985;122070,931;Rue Achille Urbain;45;
2446715;114584,915;122075,116;Rue Achille Urbain;47;
448795;114596,706;122105,67;Rue Achille Urbain;48;
448933;114576,63;122079,323;Rue Achille Urbain;49;
448794;114589,54;122112,82;Rue Achille Urbain;50;
448793;114587,102;122119,651;Rue Achille Urbain;52;
2446719;114608,363;122148,425;Rue Achille Urbain;54;
448792;114584,321;122140,933;Rue Achille Urbain;56;
30773;114564,674;122114,319;Rue Achille Urbain;58;
2446720;114549,91;122120,737;Rue Achille Urbain;60;
2446722;114545,311;122122,253;Rue Achille Urbain;62;
2446723;114537,912;122124,128;Rue Achille Urbain;64;
1017376;114531,673;122126,152;Rue Achille Urbain;66;
