LAM MK;xPos;yPos;Street;Nr;Suffix
4894207;217809,239;179364,389;A. Vivaldilaan;1;
4894211;217796,398;179387,897;A. Vivaldilaan;2;
4894213;217802,625;179392,958;A. Vivaldilaan;3;
4894215;217808,129;179398,706;A. Vivaldilaan;4;
4894218;217814,155;179403,725;A. Vivaldilaan;5;
4894220;217817,895;179411,375;A. Vivaldilaan;6;
4015126;217836,157;179459,904;A. Vivaldilaan;9;
2407526;217830,686;179454,151;A. Vivaldilaan;10;
4894232;217825,218;179448,4;A. Vivaldilaan;11;
2407527;217818,486;179443,867;A. Vivaldilaan;12;
2407529;217814,278;179436,907;A. Vivaldilaan;13;
4894236;217800,2;179422,399;A. Vivaldilaan;14;
4894238;217794,724;179415,728;A. Vivaldilaan;15;
4894240;217788,176;179409,526;A. Vivaldilaan;16;
4894245;217763,253;179405,439;A. Vivaldilaan;18;
4894248;217761,124;179382,977;A. Vivaldilaan;19;
4894250;217754,243;179375,928;A. Vivaldilaan;20;
4894254;217766,084;179358,787;A. Vivaldilaan;22;
4894256;217770,519;179365,161;A. Vivaldilaan;23;
4248709;217776,672;179369,647;A. Vivaldilaan;24;
707203;217579,126;179777,91;Abelenstraat;2;
3937203;217568,599;179776,922;Abelenstraat;4;
2407550;217556,809;179778,687;Abelenstraat;6;
3937206;217548,398;179778,605;Abelenstraat;8;
2407556;217543,462;179778,574;Abelenstraat;10;
2407559;217538,634;179780,702;Abelenstraat;12;
4896528;217533,688;179781,417;Abelenstraat;14;
2407562;217528,678;179782,141;Abelenstraat;16;
4008176;217523,8;179783,673;Abelenstraat;18;
2407565;217518,612;179782,69;Abelenstraat;20;
2407569;217513,72;179784,249;Abelenstraat;22;
2407571;217508,951;179786,263;Abelenstraat;24;
2407574;217503,971;179785,596;Abelenstraat;26;
708109;217498,792;179786,487;Abelenstraat;28;
709226;217411,961;179792,966;Abelenstraat;32;
708108;217411,961;179792,966;Abelenstraat;34;
2449365;218601,589;178875,968;Arnold van Loonlaan;1;
2449368;218680,813;178890,649;Arnold van Loonlaan;2;
2449370;218664,009;178878,523;Arnold van Loonlaan;4;
708795;218531,358;178833,076;Arnold van Loonlaan;7;
2449372;218659,901;178872,25;Arnold van Loonlaan;8;
2449375;218525,599;178829,234;Arnold van Loonlaan;9;
4896235;218511,788;178821,244;Arnold van Loonlaan;11;
2449377;218640,166;178857,685;Arnold van Loonlaan;12;
2449380;218505,804;178815,567;Arnold van Loonlaan;13;
