Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;5978286;5978286;;Napelsstraat 71-73;Napelsstraat;71;;20191014095019;C;2019-09-27 09:40:15;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4128343;4128343;;Noorderplaats 5-7-9;Noorderplaats;9;;20191009113209;A;2019-06-18 16:55:13;Olivier Collignon;MDU;10;0;4;14;BUILDING template
ANTWERPEN-WEST - FH01;2047587;2047587;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;1;;20190828121212;C;2018-11-19;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;186516;186516;;Oudeleeuwenrui 7-11;Oudeleeuwenrui;7;;;XC;2020-02-05;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5802358;5802358;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;4;;20190828121212;C;2018-11-19;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;186517;186517;;Oudeleeuwenrui 13-15;Oudeleeuwenrui;13;;;A;2020-02-05;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1734637;1734637;11196793;Sint-Aldegondiskaai 56-58;Sint-Aldegondiskaai;58;;20190923150430;D;2018-11-19;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1782029;1782029;;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;;XA;2020-02-06;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1782040;1782040;;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;27;;;XA;2020-02-06;olivier collignon;MDU;0;4;1;5;BUILDING template
ANTWERPEN-WEST - FH01;4505458;4505458;11196795;Napelsstraat 32-34;Napelsstraat;34;;20190705082416;D;2018-11-17;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
