Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;1992494;1992494;;;Londenstraat;13;;;;2019-07-30 10:40:14;Geert Stockman;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1992496;1992496;;;Londenstraat;17;;;D;2019-08-20 14:55:21;Steve De Weerdt;MDU;0;8;0;8;BUILDING template
ANTWERPEN-WEST - FH01;4506378;4506378;;;Napelsstraat;53;;;;2019-09-09 15:45:18;Mark van Gossum;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5978286;5978286;20796490;Napelsstraat 71-73;Napelsstraat;71;;20200224114322;C;2019-09-27 09:40:15;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4128343;4128343;11196773;Noorderplaats 5-7-9;Noorderplaats;9;;20200224114524;A;2019-06-18 16:55:13;Olivier Collignon;MDU;10;0;4;14;BUILDING template
ANTWERPEN-WEST - FH01;108957;108957;;;Genuastraat;3;;;D;2019-08-13 16:40:16;Mark van Gossum;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH01;1986445;1986445;;;Oudeleeuwenrui;3;;;;;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4031647;4031647;;;Genuastraat;5;;;D;2019-08-14 06:35:12;Steve De Weerdt;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH01;2047587;2047587;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;1;;20200224115431;C;2018-11-19;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1986450;1986450;;;Oudeleeuwenrui;5;;;;;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108301;108301;;;Genuastraat;2;;;D;2019-11-07;Steffen Verhofste;MDU;1;0;2;3;BUILDING template
ANTWERPEN-WEST - FH01;186516;186516;11196800;Oudeleeuwenrui 7-11;Oudeleeuwenrui;7;;20200224114636;XC;2020-02-05;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6000240;6000240;;;Indiestraat;38;;;D;2019-08-16 11:40:09;Piet Lietaert;MDU;0;8;0;8;BUILDING template
