Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;1090983;BL0401;1;1090983;;Ambtmanstraat 7-9;Ambtmanstraat;7;;;D;2020-02-06 23:00:22;Maayken Vanfleteren;MDU;1;1;0;2;BUILDING template
ANTWERPEN-WEST - FH04;109180;BL0401;1;109180;;Ambtmanstraat 7-9;Ambtmanstraat;9;;;D;2020-02-06 23:00:19;Maayken Vanfleteren;MDU;0;2;1;3;BUILDING template
ANTWERPEN-WEST - FH04;5575537;BL0432;7;5575537;;Frankrijklei 54-56 ;Frankrijklei;54;;;XA;2019-12-20 20:45:15;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1008464;BL0432;7;1008464;;Frankrijklei 54-56 ;Frankrijklei;56;;;XA;2019-12-20 20:45:15;Hidde Kiekens;MDU;7;17;1;25;BUILDING template
ANTWERPEN-WEST - FH04;1873798;BL0432;7;1873798;;Frankrijklei 62-64-68_Kipdorpvest 49-55;Frankrijklei;62;;;A;2019-12-25 13:30:20;Hidde Kiekens;MDU;0;16;1;17;BUILDING template
ANTWERPEN-WEST - FH04;1085997;BL0432;7;1085997;;Frankrijklei 62-64-68_Kipdorpvest 49-55;Frankrijklei;64;;;A;2019-12-25 13:30:20;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1008463;BL0432;7;1008463;;Frankrijklei 62-64-68_Kipdorpvest 49-55;Frankrijklei;68;;;A;2019-12-25 13:30:20;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1962047;BL0432;7;1962047;;Frankrijklei 62-64-68_Kipdorpvest 49-55;Kipdorpvest;55;;;A;2019-12-25 13:30:20;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;5552572;BL0432;7;5552572;;Frankrijklei 62-64-68_Kipdorpvest 49-55;Kipdorpvest;49;;;A;2019-12-25 13:30:20;Hidde Kiekens;MDU;0;221;8;229;BUILDING template
ANTWERPEN-WEST - FH04;1932680;BL0411;3;1932680;27513994;Frans Halsplein 13-15-17-19;Frans Halsplein;15;;20200127104646;XC;2020-01-26 08:20:12;Geert Stockman;MDU;0;10;1;11;BUILDING template
ANTWERPEN-WEST - FH04;1932689;BL0411;3;1932689;27513994;Frans Halsplein 13-15-17-19;Frans Halsplein;17;;20200127104646;XC;2020-01-26 08:30:19;Geert Stockman;MDU;0;10;1;11;BUILDING template
