Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH06;721;BL0615;3;8397474;721;33634159;Eiermarkt 20_Schoenmarkt 25-29-31-35;Eiermarkt;20;;A;2020-09-09 18:25:05;Geert Stockman;MDU;1;0;0;1;N;Y;BUILDING template
ANTWERPEN-WEST - FH06;12599;BL0611;2;615237;12599;;;Schoenmarkt;2;;;;olivier collignon;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;12601;BL0607;2;615238;12601;;;Lombardenstraat;2;;;2020-06-12 11:10:10;Hidde Kiekens;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;12605;BL0604;1;615269;12605;;;Vleminckveld;6;;D;2020-03-05 09:45:16;Geert Stockman;MDU;2;1;0;3;Y;;BUILDING template
ANTWERPEN-WEST - FH06;12607;BL0603;1;615287;12607;;;Mechelseplein;6;;;;olivier collignon;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;12633;BL0605;1;13335332;12633;;;Oudaan;32;;D;2020-06-09 13:10:32;Hidde Kiekens;MDU;0;6;0;6;Y;;BUILDING template
ANTWERPEN-WEST - FH06;12649;BL0619;3;615354;12649;38869091;Beggaardenstraat 6_Eiermarkt 31-31A-33-35-41_Sint-Katelijnevest 52-54-58-62-64-66-68-70;Eiermarkt;31;;C;;Mark van Gossum;MDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;49251;BL0611;2;710631;49251;;;Schrijnwerkersstraat;22;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;49252;BL0611;2;710632;49252;;;Schrijnwerkersstraat;4;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;49253;BL0612;3;710633;49253;;;Schoenmarkt;12;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;49254;BL0611;2;710634;49254;;;Schoenmarkt;10;;;2020-07-01 18:25:04;Maayken Vanfleteren;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;49255;BL0612;3;710635;49255;;;Schoenmarkt;20;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;49256;BL0612;3;710636;49256;33634141;Meirbrug 2-4-6;Meirbrug;2;;XA;2020-05-27 09:15:07;Maayken Vanfleteren;MDU;2;26;4;32;Y;;BUILDING template
ANTWERPEN-WEST - FH06;49257;BL0612;3;8397455;49257;33634141;Meirbrug 2-4-6;Meirbrug;4;;XA;2020-05-26 15:30:06;Maayken Vanfleteren;MDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54870;BL0607;2;711832;54870;;;Lombardenvest;34;;D;2020-07-02 15:40:07;Hidde Kiekens;MDU;3;1;0;4;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54874;BL0607;2;711836;54874;;;Lombardenvest;2;;;;Steve De Weerdt;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;54876;BL0608;2;13335234;54876;;;Lombardenvest;80;;;2020-07-02 15:10:09;Hidde Kiekens;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54877;BL0607;2;711838;54877;;;Lombardenvest;20;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54878;BL0607;2;13335074;54878;;;Lombardenvest;24;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54879;BL0608;2;711839;54879;;;Lombardenvest;64;;D;2020-03-05 12:40:10;Hidde Kiekens;MDU;1;3;1;5;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54880;BL0608;2;711840;54880;;;Lombardenvest;54;;D;2020-03-05 12:50:09;Hidde Kiekens;MDU;1;3;1;5;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54881;BL0608;2;711843;54881;;;Lombardenvest;66;;D;2020-03-05 12:35:08;Hidde Kiekens;MDU;1;1;0;2;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54882;BL0608;2;711844;54882;33634172;Lombardenvest 68-70;Lombardenvest;68;;D;2020-03-05 12:25:12;Hidde Kiekens;MDU;0;4;0;4;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54883;BL0608;2;711845;54883;;;Lombardenvest;62;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54884;BL0608;2;8397456;54884;;;Lombardenvest;58;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54886;BL0608;2;711847;54886;;;Lombardenvest;74;;XC;2020-07-02 15:35:05;Hidde Kiekens;MDU;1;8;1;10;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54887;BL0608;2;711848;54887;;;Lombardenvest;60;;D;2020-03-05 12:45:12;Hidde Kiekens;MDU;1;2;1;4;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54888;BL0608;2;711849;54888;;;Lombardenvest;52;;;2020-06-11 13:20:05;Hidde Kiekens;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54889;BL0607;2;711850;54889;33634126;Kammenstraat 57-59-61-63-65-67_Everdijstraat 1-3-5;Kammenstraat;57;;XA;2020-03-29 09:00:13;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;54890;BL0607;2;711851;54890;;;Kammenstraat;55;;D;2020-03-05 10:20:09;Hidde Kiekens;MDU;1;2;0;3;N;;BUILDING template
ANTWERPEN-WEST - FH06;54891;BL0607;2;711852;54891;;;Kammenstraat;19;;;;Geert Stockman;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;54892;BL0607;2;711853;54892;;;Kammenstraat;21;;;;Geert Stockman;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;54893;BL0607;2;711854;54893;33634126;Kammenstraat 57-59-61-63-65-67_Everdijstraat 1-3-5;Kammenstraat;67;;XA;2020-03-29 09:00:13;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;54894;BL0608;2;13335052;54894;;;Korte Gasthuisstraat;2;;;;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54895;BL0608;2;711855;54895;;;Korte Gasthuisstraat;34;;;;olivier collignon;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;54896;BL0608;2;711856;54896;;;Korte Gasthuisstraat;24;;;2020-03-06 11:10:09;Hidde Kiekens;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54897;BL0608;2;711857;54897;;;Everdijstraat;53;;;;olivier collignon;SDU;0;1;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54899;BL0607;2;711858;54899;;;Everdijstraat;23;;;;Geert Stockman;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54901;BL0607;2;711859;54901;;;Everdijstraat;11;;;2020-03-05 09:40:10;Hidde Kiekens;SDU;0;1;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;54902;BL0606;1;711860;54902;;;Everdijstraat;30;;XC;2020-08-30 10:55:05;Hidde Kiekens;MDU;5;6;1;12;Y;;BUILDING template
