Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;BG Name IFH;Actie;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH07;48900;48900;11382568;Augustijnenstraat 18-20_Nationalestraat 50-56-62_Sint-Andriesstraat 19;Nationalestraat 56 - 58 - 60;Building Group Naam IFH wijzigen;Augustijnenstraat;18;;XA;2019-11-13 11:40:22;Ryan De Vries;MDU;0;8;2;10;BUILDING template
ANTWERPEN-WEST - FH07;5575087;5575087;11382568;Augustijnenstraat 18-20_Nationalestraat 50-56-62_Sint-Andriesstraat 19;Nationalestraat 56 - 58 - 60;Building Group Naam IFH wijzigen;Augustijnenstraat;20;;XA;2019-11-13 11:40:22;Ryan De Vries;MDU;0;8;2;10;BUILDING template
ANTWERPEN-WEST - FH07;2025132;2025132;11382568;Augustijnenstraat 18-20_Nationalestraat 50-56-62_Sint-Andriesstraat 19;Nationalestraat 56 - 58 - 60;Building Group Naam IFH wijzigen;Nationalestraat;50;;XA;2019-11-13 11:40:22;Ryan De Vries;MDU;0;12;2;14;BUILDING template
ANTWERPEN-WEST - FH07;60995;60995;11382568;Augustijnenstraat 18-20_Nationalestraat 50-56-62_Sint-Andriesstraat 19;Nationalestraat 56 - 58 - 60;Building Group Naam IFH wijzigen;Nationalestraat;56;;XA;2019-11-13 11:40:22;Ryan De Vries;MDU;0;10;2;12;BUILDING template
ANTWERPEN-WEST - FH07;48925;48925;11382568;Augustijnenstraat 18-20_Nationalestraat 50-56-62_Sint-Andriesstraat 19;Nationalestraat 56 - 58 - 60;Building Group Naam IFH wijzigen;Nationalestraat;62;;XA;2019-11-13 11:40:22;Ryan De Vries;MDU;0;10;2;12;BUILDING template
ANTWERPEN-WEST - FH07;1735131;1735131;11382568;Augustijnenstraat 18-20_Nationalestraat 50-56-62_Sint-Andriesstraat 19;Nationalestraat 56 - 58 - 60;Building Group Naam IFH wijzigen;Sint-Andriesstraat;19;;XA;2019-11-13 11:40:22;Ryan De Vries;MDU;0;7;2;9;BUILDING template
ANTWERPEN-WEST - FH07;6419320;6419320;11382478;Bergstraat 2A_Leeuwenstraat 15;Bergstraat 2 A - Leeuwenstraat 15;Building Group Naam IFH wijzigen - Steffen Virt QD maken;Bergstraat;2;A;D;;Steffen Verhofsté;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;60736;60736;11382478;Bergstraat 2A_Leeuwenstraat 15;Bergstraat 2 A - Leeuwenstraat 15;Building Group Naam IFH wijzigen - Steffen Virt QD maken;Leeuwenstraat;15;;D;;Steffen Verhofsté;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;48917;48917;11382507;Drukkerijstraat 10-12-14-16;Drukkerijstraat 10 - 14 - 16;Building Group Naam IFH wijzigen;Drukkerijstraat;10;;A;2019-12-10 15:50:20;Peter Van Leeuwen;MDU;0;8;1;9;BUILDING template
ANTWERPEN-WEST - FH07;1847073;1847073;11382507;Drukkerijstraat 10-12-14-16;Drukkerijstraat 10 - 14 - 16;Building Group Naam IFH wijzigen;Drukkerijstraat;14;;A;2019-12-10 15:50:20;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
