Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH11;6667252;BL1109;;6667252;;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Cockerillkaai;20;;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;970911;BL1109;;970911;;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Cockerillkaai;23;;;;;;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH11;6399823;BL1109;;6399823;;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Cockerillkaai;24;;;;;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH11;971238;BL1109;;971238;;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Leuvenstraat;32;;;;;;MDU;2;0;2;4;BUILDING template
ANTWERPEN-WEST - FH11;970895;BL1109;;970895;;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Wapenstraat;1;;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;5575337;BL1108;;5575337;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;26;;20200428155402;XA;;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1800201;BL1108;;1800201;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;27;;20200428155402;;;;MDU;2;9;0;11;BUILDING template
ANTWERPEN-WEST - FH11;1800206;BL1108;;1800206;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;28;;20200428155402;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;4519436;BL1108;;4519436;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;29;;20200428155402;;;Maayken Vanfleteren;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH11;1800209;BL1108;;1800209;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;30;;20200428155402;;;Maayken Vanfleteren;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH11;968689;BL1108;;968689;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;31;;20200428155402;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1993988;BL1108;;1993988;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Luikstraat;1;;;XC;;Steffen Verhofsté;MDU;0;6;0;6;BUILDING template
ANTWERPEN-WEST - FH11;968677;BL1108;;968677;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Luikstraat;3;;;;;;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH11;2063174;BL1108;;2063174;;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Wapenstraat;6;;;XC;;Steffen Verhofsté;MDU;0;8;1;9;BUILDING template
ANTWERPEN-WEST - FH11;968687;BL1107;;968687;;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;32;;20200428155408;XC;;Steffen Verhofsté;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH11;1800223;BL1108;;1800223;;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;33;;20200428155408;;;Geert Stockman;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH11;1800243;BL1107;;1800243;;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;34;;20200428155402;XA;;Steffen Verhofsté;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH11;1800254;BL1108;;1800254;;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;35;;20200428155402;;;Geert Stockman;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH11;968679;BL1107;;968679;;Cockerillkaai 32-33-34-35_Luikstraat 2;Luikstraat;2;;;XC;;Steffen Verhofsté;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH11;968690;BL1106;;968690;;Cockerillkaai 39_Waalsekaai 35A;Cockerillkaai;39;;;;;Maayken Vanfleteren;MDU;1;0;2;3;BUILDING template
ANTWERPEN-WEST - FH11;NB-200035A7f27;;;NB-200035A7f27;;Cockerillkaai 39_Waalsekaai 35A;Waalsekaai;35;A;;;;Maayken Vanfleteren;MDU;2;0;5;7;BUILDING template
ANTWERPEN-WEST - FH11;1785671;BL1115;;1785671;;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;De Burburestraat;43;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;5473543;BL1115;;5473543;;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;Leopold de Waelplaats;26;A;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;969134;BL1115;;969134;;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;Leopold de Waelplaats;28;;;;;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH11;2062836;BL1115;;2062836;;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;Leopold de Waelplaats;30;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1785513;BL1115;;1785513;;De Burburestraat 7-9;De Burburestraat;7;;;;;Hidde Kiekens;MDU;1;11;1;13;BUILDING template
ANTWERPEN-WEST - FH11;1785555;BL1115;;1785555;;De Burburestraat 7-9;De Burburestraat;9;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;762445;BL1104;;762445;;De Gerlachekaai 15_Verviersstraat 3;De Gerlachekaai;15;;20200428155408;XC;;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;762432;BL1104;;762432;;De Gerlachekaai 15_Verviersstraat 3;Verviersstraat;1;;;;;Hidde Kiekens;MDU;0;11;1;12;BUILDING template
ANTWERPEN-WEST - FH11;4519107;BL1104;;4519107;;De Gerlachekaai 15_Verviersstraat 3;Verviersstraat;3;;20200428155408;;;Hidde Kiekens;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH11;1101513;BL1103;;1101513;;Schalienstraat 1-3-5_Verviersstraat 2-4;Schalienstraat;1;;;XA;;Steffen Verhofsté;MDU;3;16;2;21;BUILDING template
ANTWERPEN-WEST - FH11;2050228;BL1103;;2050228;;Schalienstraat 1-3-5_Verviersstraat 2-4;Schalienstraat;3;;;;;Maayken Vanfleteren;MDU;6;0;3;9;BUILDING template
ANTWERPEN-WEST - FH11;NB-2000545fb82;;;NB-2000545fb82;;Schalienstraat 1-3-5_Verviersstraat 2-4;Schalienstraat;5;;;;;Maayken Vanfleteren;MDU;4;0;1;5;BUILDING template
ANTWERPEN-WEST - FH11;2060362;BL1103;;2060362;;Schalienstraat 1-3-5_Verviersstraat 2-4;Verviersstraat;2;;;;;Maayken Vanfleteren;MDU;1;23;2;26;BUILDING template
ANTWERPEN-WEST - FH11;NB-200044c8352;;;NB-200044c8352;;Schalienstraat 1-3-5_Verviersstraat 2-4;Verviersstraat;4;;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1893506;BL1105;;1893506;;De Gerlachekaai 6-7-8;De Gerlachekaai;6;;;XC;;Geert Stockman;MDU;0;7;1;8;BUILDING template
ANTWERPEN-WEST - FH11;1893516;BL1105;;1893516;;De Gerlachekaai 6-7-8;De Gerlachekaai;7;;;;;Geert Stockman;MDU;0;8;1;9;BUILDING template
ANTWERPEN-WEST - FH11;968685;BL1105;;968685;;De Gerlachekaai 6-7-8;De Gerlachekaai;8;;;XC;;Geert Stockman;MDU;0;10;1;11;BUILDING template
ANTWERPEN-WEST - FH11;977800;BL1117;;977800;;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Gillisplaats;2;;;;;Geert Stockman;MDU;0;8;1;9;BUILDING template
ANTWERPEN-WEST - FH11;2060308;BL1117;;2060308;;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Verschansingstraat;52;;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;2060311;BL1117;;2060311;;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Verschansingstraat;54;;;;;Geert Stockman;MDU;0;17;1;18;BUILDING template
ANTWERPEN-WEST - FH11;977803;BL1117;;977803;;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Verschansingstraat;56;;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;971801;BL1117;;971801;;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Vlaamsekaai;63;;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;971812;BL1113;;971812;;Graaf Van Egmontstraat 60_Leopold De Waelplaats 2_Verlatstraat 41;Graaf van Egmontstraat;60;;;;;Maayken Vanfleteren;MDU;1;3;0;4;BUILDING template
ANTWERPEN-WEST - FH11;970508;BL1113;;970508;;Graaf Van Egmontstraat 60_Leopold De Waelplaats 2_Verlatstraat 41;Leopold de Waelplaats;2;;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;971792;BL1113;;971792;;Graaf Van Egmontstraat 60_Leopold De Waelplaats 2_Verlatstraat 41;Verlatstraat;41;;;;;Maayken Vanfleteren;MDU;1;3;0;4;BUILDING template
ANTWERPEN-WEST - FH11;968680;BL1107;;968680;;Ijzerenpoortkaai 10_Waalsekaai 34;IJzerenpoortkaai;10;;;;;Geert Stockman;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH11;NB-200034e81529;;;NB-200034e81529;;Ijzerenpoortkaai 10_Waalsekaai 34;Waalsekaai;34;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1028381;BL1119;;1028381;;Jan van Gentstraat 1-3_Pacificatiestraat 2;Jan van Gentstraat;1;;;;;Hidde Kiekens;MDU;9;0;1;10;BUILDING template
ANTWERPEN-WEST - FH11;1892178;BL1119;;1892178;;Jan van Gentstraat 1-3_Pacificatiestraat 2;Jan van Gentstraat;3;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1028388;BL1119;;1028388;;Jan van Gentstraat 1-3_Pacificatiestraat 2;Pacificatiestraat;2;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1028407;BL1119;;1028407;;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;11;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1028383;BL1119;;1028383;;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;5;;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH11;1892212;BL1119;;1892212;;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;7;;;;;Hidde Kiekens;MDU;9;0;1;10;BUILDING template
