Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH01;726086;BL0108;4;726086;;;Rue du Dix-sept Avril - Zeventien Aprilstraat;4;;;;2019-05-14 08:30:21;Wim Deprez;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726078;BL0112;4;726078;;;Rue Saint-Joseph - Sint-Jozefstraat;52;;;D;2018-05-04 12:51:32;Raphael Use;MDU;0;3;0;3;BUILDING template
EVERE - FH01;1621782;BL0116;5;1621782;;;Avenue Franz Guillaume - Franz Guillaumelaan;4;;;D;2018-04-19 14:45:43;Andreas Versteeven;MDU;0;4;0;4;BUILDING template
EVERE - FH01;725362;BL0116;5;725362;;;Avenue des Anciens Combattants - Oud-Strijderslaan;4;;;D;2018-04-24 15:25:05;Andreas Versteeven;MDU;1;7;0;8;BUILDING template
EVERE - FH01;1620859;BL0117;5;1620859;;;Chaussée de Louvain - Leuvensesteenweg;823;;;D;2018-05-16;Paul Use;MDU;1;2;0;3;BUILDING template
EVERE - FH01;5866849;BL0118;3;5866849;21912474;Cicerolaan 13-15-17-19-21_Willy Van Der Meerenstr 23-25;Avenue Cicéron - Cicerolaan;19;;20191213182917;XA;2020-02-14;Jonathan Collignon;MDU;1;0;0;1;BUILDING template
EVERE - FH01;731615;BL0125;2;731615;27594474;Oud-Strijderslaan 190-200-202-220;Avenue des Anciens Combattants - Oud-Strijderslaan;202;;20200207074304;C;2020-01-07;Jonathan Collignon;MDU;1;0;1;2;BUILDING template
EVERE - FH01;5045909;BL0103;6;5045909;12087889;G. De Lombaerdestraat 49-51-53;Rue Georges De Lombaerde - G. De Lombaerdestraat;51;;20190523094134;XC;2019-11-13;Jonathan Collignon;MDU;0;6;2;8;BUILDING template
EVERE - FH01;1623512;BL0108;4;1623512;;;Rue du Dix-sept Avril - Zeventien Aprilstraat;6;;;;2019-11-12 07:35:10;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726087;BL0112;4;726087;;;Rue du Dix-sept Avril - Zeventien Aprilstraat;3;;;;2019-11-12 08:00:20;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621783;BL0116;5;1621783;;;Avenue Franz Guillaume - Franz Guillaumelaan;6;;;D;2018-04-19 14:40:03;Andreas Versteeven;MDU;0;4;0;4;BUILDING template
