Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH01;1120054;BL0117;5;1120054;11473371;Leuvensesteenweg 833-835;;Chaussée de Louvain - Leuvensesteenweg;833;;20190124081024;D;2019-06-27 10:35:29;Bjorn De Pauw;MDU;1;2;0;3;BUILDING template
EVERE - FH01;1120055;BL0117;;1120055;11473371;Leuvensesteenweg 833-835;;Chaussée de Louvain - Leuvensesteenweg;835;;20190124081024;;2019-06-27 10:35:29;Bjorn De Pauw;MDU;0;1;0;1;BUILDING template
EVERE - FH01;1220676;BL0128;1;1220676;21596062;Fernand Legerstraat 40-40A;Fernand Legerstraat 40-40A;Rue Fernand Léger - Fernand Légerstraat;40;;20191218142939;A;2019-10-10;Jonathan Collignon;MDU;0;33;3;36;BUILDING template
EVERE - FH01;722648;BL0128;1;722648;21596042;Fernand Legerstraat 42-42A;Fernand Legerstraat 42-42A;Rue Fernand Léger - Fernand Légerstraat;42;;20191218142039;A;2019-10-11;Jonathan Collignon;MDU;0;33;3;36;BUILDING template
EVERE - FH01;1321439;BL0128;1;1321439;21596023;Fernand Legerstraat 44-44A;Fernand Legerstraat 44-44A;Rue Fernand Léger - Fernand Légerstraat;44;;20191218141008;A;2019-10-11;Jonathan Collignon;MDU;0;33;3;36;BUILDING template
EVERE - FH01;1621882;BL0128;1;1621882;21595992;Rue Fernand Leger 46-46A;Fernand Legerstraat 46-46A;Rue Fernand Léger - Fernand Légerstraat;46;;20191218130039;A;2019-10-11;Jonathan Collignon;MDU;0;33;3;36;BUILDING template
EVERE - FH01;1336013;BL0128;1;1336013;21596000;Rue Fernand Leger 48-48A;Fernand Legerstraat 48-48A;Rue Fernand Léger - Fernand Légerstraat;48;;20191218125041;A;2019-10-11;Jonathan Collignon;MDU;0;33;3;36;BUILDING template
EVERE - FH01;1321438;BL0128;1;1321438;13843536;Rue Fernand Leger 50-50A;Fernand Legerstraat 50-50A;Rue Fernand Léger - Fernand Légerstraat;50;;20191218124303;A;2019-10-11;Jonathan Collignon;MDU;0;33;3;36;BUILDING template
EVERE - FH01;1621878;BL0128;;1621878;21596062;Fernand Legerstraat 40-40A;Fernand Legerstraat 40-40A;Rue Fernand Léger - Fernand Légerstraat;40;A;20191218142939;A;2019-10-10;Jonathan Collignon;MDU;0;1;0;1;BUILDING template
EVERE - FH01;1621880;BL0128;;1621880;21596042;Fernand Legerstraat 42-42A;Fernand Legerstraat 42-42A;Rue Fernand Léger - Fernand Légerstraat;42;A;20191218142039;A;2019-10-11;Jonathan Collignon;MDU;0;1;0;1;BUILDING template
EVERE - FH01;1621881;BL0128;;1621881;21596023;Rue Fernand Leger 44-44A;Fernand Legerstraat 44-44A;Rue Fernand Léger - Fernand Légerstraat;44;A;20191218141008;A;2019-10-11;Jonathan Collignon;MDU;0;1;0;1;BUILDING template
EVERE - FH01;1621883;BL0128;;1621883;21595992;Rue Fernand Leger 46-46A;Fernand Legerstraat 46-46A;Rue Fernand Léger - Fernand Légerstraat;46;A;20191218130039;A;2019-10-11;Jonathan Collignon;MDU;0;1;0;1;BUILDING template
EVERE - FH01;1621884;BL0128;;1621884;21596000;Rue Fernand Leger 48-48A;Fernand Legerstraat 48-48A;Rue Fernand Léger - Fernand Légerstraat;48;A;20191218125041;A;2019-10-11;Jonathan Collignon;MDU;0;1;0;1;BUILDING template
EVERE - FH01;4120030;BL0128;;4120030;13843536;Rue Fernand Leger 50-50A;Fernand Legerstraat 50-50A;Rue Fernand Léger - Fernand Légerstraat;50;A;20191218124303;A;2019-10-11;Jonathan Collignon;MDU;0;1;0;1;BUILDING template
