Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH06;6395434;BL0012;;6395434;;;Singelbeekstraat;35;;;;;Filip Van Dyck;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429111;BL0012;;2429111;;;Geraard Mercatorlaan;15;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2433064;BL0005;;2433064;;;Oudstrijderslaan;20;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662044;BL0014;;662044;;;Geraard Mercatorlaan;16;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4155272;BL0005;;4155272;;;Oudstrijderslaan;22;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;6395433;BL0012;;6395433;;;Singelbeekstraat;39;;;;;Filip Van Dyck;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429117;BL0012;;2429117;;;Geraard Mercatorlaan;17;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662569;BL0005;;662569;;;Oudstrijderslaan;24;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4176663;BL0014;;4176663;;;Geraard Mercatorlaan;18;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662570;BL0007;;662570;;;Oudstrijderslaan;26;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;6632842;BL0013;;6632842;;;Simon Stevinlaan;10;;;;;Filip Van Dyck;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429134;BL0012;;2429134;;;Geraard Mercatorlaan;19;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4845812;BL0007;;4845812;;;Oudstrijderslaan;28;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
