Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE - FH01;6525312;6525312;21658536;Burg. Camille Deckersstraat 3_Sebastiaan Nachtegaelestraat 35;Burg. Camille Deckersstraat;3;;2,01912E+13;D;2019-09-02;Geert Stockman;MDU;1;9;0;10;BUILDING template
KNOKKE - FH01;1362934;1362934;21658536;Burg. Camille Deckersstraat 3_Sebastiaan Nachtegaelestraat 35;Sebastiaan Nachtegaelestraat;35;;2,01912E+13;D;2019-09-02;Geert Stockman;MDU;1;8;0;9;BUILDING template
KNOKKE - FH01;239603;239603;27536770;Elizabetlaan 102_Leopoldlaan 4-6;Elizabetlaan;102;;2,02001E+13;A;2019-11-16;Geert Stockman;MDU;1;19;1;21;BUILDING template
KNOKKE - FH01;NB-830060a5047;NB-830060a5047;;Elizabetlaan 102_Leopoldlaan 4-6;Leopoldlaan;6;;;A;2019-11-16;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;NB-83004526c87;NB-83004526c87;;Elizabetlaan 102_Leopoldlaan 4-6;Leopoldlaan;4;;;A;2019-11-16;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;4406417;4406417;26077629;Kopsdreef 2A_Lippenslaan 115;Kopsdreef;2;A;2,02001E+13;A;2019-08-19;Geert Stockman;MDU;0;10;1;11;BUILDING template
KNOKKE - FH01;320685;320685;26077629;Kopsdreef 2A_Lippenslaan 115;Lippenslaan;115;;2,02001E+13;A;2019-08-19;Geert Stockman;MDU;1;5;1;7;BUILDING template
KNOKKE - FH01;320684;320684;11217179;Lippenslaan 105-107-109;Lippenslaan;105;;2,02001E+13;XA;2019-09-06;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;5579472;5579472;11217179;Lippenslaan 105-107-109;Lippenslaan;109;;2,02001E+13;XA;2019-09-06;Geert Stockman;MDU;0;22;1;23;BUILDING template
KNOKKE - FH01;2763085;2763085;11217179;Lippenslaan 105-107-109;Lippenslaan;107;;2,02001E+13;XA;2019-09-06;Geert Stockman;MDU;0;1;0;1;BUILDING template
KNOKKE - FH01;2763102;2763102;26077664;Lippenslaan 117-119-121;Lippenslaan;117;;2,02001E+13;XA;2019-09-03;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;2763103;2763103;26077664;Lippenslaan 117-119-121;Lippenslaan;119;;2,02001E+13;XA;2019-09-03;Geert Stockman;MDU;0;10;1;11;BUILDING template
KNOKKE - FH01;2763107;2763107;26077664;Lippenslaan 117-119-121;Lippenslaan;121;;2,02001E+13;XA;2019-09-03;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;2763167;2763167;21191111;Lippenslaan 163-167;Lippenslaan;167;;2,02001E+13;D;2020-02-19;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;2763161;2763161;21191111;Lippenslaan 163-167;Lippenslaan;163;;2,02001E+13;D;2020-02-19;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;5579469;5579469;21382111;Lippenslaan 41-43;Lippenslaan;43;;2,02002E+13;D;2019-10-11;Geert Stockman;MDU;1;0;1;2;BUILDING template
KNOKKE - FH01;333107;333107;21382111;Lippenslaan 41-43;Lippenslaan;41;;2,02002E+13;D;2019-10-11;Geert Stockman;MDU;0;1;0;1;BUILDING template
