Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH11;299822;BL1140;;299822;;;Westkapellestraat;56;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2763544;BL1136;;2763544;;;Marktstraat;14;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765811;BL1142;;2765811;;;Albrecht Rodenbachstraat;14;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767646;BL1122;;2767646;;;Westkapellestraat;53;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336846;BL1138;;4336846;;;Bondgenotenlaan;39;;;D;2020-01-04 10:10:13;Geert Stockman;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;299823;BL1122;;299823;;;Westkapellestraat;35;;;D;2020-01-03 12:45:15;Hidde Kiekens;MDU;1;1;0;2;BUILDING template
KNOKKE-HEIST - FH11;301979;BL1107;;301979;;;Vlamingstraat;64;;;D;2020-01-20 19:40:12;Geert Stockman;MDU;1;8;0;9;BUILDING template
KNOKKE-HEIST - FH11;2763545;BL1137;;2763545;;;Marktstraat;17;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765812;BL1138;;2765812;;;Albrecht Rodenbachstraat;15;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767647;BL1122;;2767647;;;Westkapellestraat;55;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336859;BL1142;;4336859;;;Leenstraat;44;;;;2020-01-09 15:05:15;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299824;BL1140;;299824;;;Westkapellestraat;80;;;D;2020-01-03 13:15:16;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;301980;BL1106;;301980;;;Vlamingstraat;45;;;;;olivier collignon;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;292475;BL1101;;292475;;;Heistlaan;2;;;D;2020-01-23 10:35:19;Hidde Kiekens;MDU;0;7;0;7;BUILDING template
KNOKKE-HEIST - FH11;2763546;BL1137;;2763546;;;Marktstraat;23;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765814;BL1142;;2765814;;;Albrecht Rodenbachstraat;18;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767649;BL1122;;2767649;;;Westkapellestraat;57;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336871;BL1138;;4336871;;;Albrecht Rodenbachstraat;19;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299825;BL1122;;299825;;;Westkapellestraat;59;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760128;BL1101;;2760128;;;Heistlaan;4;;;D;2020-01-23 10:30:32;Hidde Kiekens;MDU;0;8;0;8;BUILDING template
KNOKKE-HEIST - FH11;2763547;BL1133;;2763547;;;Marktstraat;28;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765815;BL1142;;2765815;;;Albrecht Rodenbachstraat;20;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767650;BL1140;;2767650;;;Westkapellestraat;58;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336885;BL1142;;4336885;;;Albrecht Rodenbachstraat;24;;;;;olivier collignon;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;299826;BL1140;;299826;;;Westkapellestraat;82;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302015;BL1109;;302015;;Kursaalstraat 14-16;Kursaalstraat;14;;;XC;2020-01-31 15:40:20;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760129;BL1101;;2760129;;;Heistlaan;6;;;D;2020-01-23 10:25:16;Hidde Kiekens;MDU;0;8;0;8;BUILDING template
KNOKKE-HEIST - FH11;2763548;BL1137;;2763548;;;Marktstraat;29;;;D;2020-02-18 12:25:18;Geert Stockman;MDU;0;9;0;9;BUILDING template
KNOKKE-HEIST - FH11;2765817;BL1142;;2765817;;;Albrecht Rodenbachstraat;22;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767651;BL1140;;2767651;;;Westkapellestraat;60;;;D;2020-01-03 13:25:13;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;4337009;BL1126;;4337009;;;Kursaalstraat;46;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299827;BL1122;;299827;;;Westkapellestraat;61;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302518;BL1118;;302518;;;Pannenstraat;111;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760130;BL1101;;2760130;;;Heistlaan;8;;;D;2020-01-23 10:20:16;Hidde Kiekens;MDU;0;8;0;8;BUILDING template
KNOKKE-HEIST - FH11;2763551;BL1133;;2763551;;;Marktstraat;30;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765818;BL1138;;2765818;;;Albrecht Rodenbachstraat;25;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767653;BL1140;;2767653;;;Westkapellestraat;62;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4337027;BL1126;;4337027;;;Kerkstraat;25;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299828;BL1122;;299828;;;Hendrik Consciencestraat;70;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302521;BL1119;;302521;;;Pannenstraat;113;;;;;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760131;BL1101;;2760131;;;Heistlaan;10;;;D;2020-01-23 10:15:32;Hidde Kiekens;MDU;0;7;0;7;BUILDING template
KNOKKE-HEIST - FH11;2763552;BL1137;;2763552;;;Marktstraat;31;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765819;BL1142;;2765819;;;Albrecht Rodenbachstraat;26;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767655;BL1140;;2767655;;;Westkapellestraat;64;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4337034;BL1105;;4337034;;;de Vrierestraat;10;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299829;BL1122;;299829;;;Hendrik Consciencestraat;54;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302523;BL1119;;302523;;;Pannenstraat;125;;;D;2020-01-09 11:45:28;Geert Stockman;MDU;0;4;0;4;BUILDING template
KNOKKE-HEIST - FH11;2760132;BL1101;;2760132;;;Heistlaan;22;;;D;2020-01-23 15:20:20;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
KNOKKE-HEIST - FH11;2763553;BL1137;;2763553;;;Marktstraat;33;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765820;BL1142;;2765820;;;Albrecht Rodenbachstraat;28;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767656;BL1122;;2767656;;;Westkapellestraat;65;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299830;BL1121;;299830;;;Hendrik Consciencestraat;8;;;D;2020-01-24 10:30:25;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;2760136;BL1101;;2760136;;Heistlaan 24-24A;Heistlaan;24;;;XC;2020-01-23 16:35:15;Hidde Kiekens;MDU;0;10;1;11;BUILDING template
KNOKKE-HEIST - FH11;2763555;BL1133;;2763555;;;Marktstraat;34;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765821;BL1138;;2765821;;;Albrecht Rodenbachstraat;29;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767657;BL1140;;2767657;;;Westkapellestraat;66;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4337057;BL1105;;4337057;;;Hermans-Lybaertstraat;7;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299831;BL1121;;299831;;;Hendrik Consciencestraat;6;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302529;BL1117;;302529;;;Knokkestraat;98;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760137;BL1101;;2760137;;Heistlaan 24-24A;Heistlaan;24;A;;XC;2020-01-23 16:35:15;Hidde Kiekens;MDU;0;10;1;11;BUILDING template
KNOKKE-HEIST - FH11;2763556;BL1133;;2763556;;;Marktstraat;36;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765823;BL1142;;2765823;;;Albrecht Rodenbachstraat;30;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767658;BL1122;;2767658;;;Westkapellestraat;67;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4337078;BL1126;;4337078;;;de Vrierestraat;23;;;D;2020-01-04 14:50:12;Maayken Vanfleteren;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;299832;BL1121;;299832;;;Hendrik Consciencestraat;4;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302532;BL1119;;302532;;;Knokkestraat;108;;;A;2020-01-04 12:55:10;Geert Stockman;MDU;0;10;1;11;BUILDING template
KNOKKE-HEIST - FH11;292530;BL1101;;292530;;;Heistlaan;26;;;D;2020-01-23 15:15:30;Hidde Kiekens;MDU;0;7;1;8;BUILDING template
KNOKKE-HEIST - FH11;2763557;BL1137;;2763557;;;Marktstraat;37;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2766108;BL1130;;2766108;;;Schuttersstraat;4;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767659;BL1140;;2767659;;;Westkapellestraat;70;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4337080;BL1126;;4337080;;;de Vrierestraat;29;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;299833;BL1121;;299833;;;Hendrik Consciencestraat;52;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;302536;BL1120;;302536;;Knokkestraat 116-118-120-122;Knokkestraat;116;;;XA;2020-01-05 15:40:11;Geert Stockman;MDU;0;10;1;11;BUILDING template
