Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
MECHELEN - FH01;6447591;BL0101;1;6447591;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;27;A;20200515142225;D;2020-05-18;Dieu Jocelin;MDU;1;3;0;4;BUILDING template
MECHELEN - FH01;5706656;BL0104;2;5706656;33740181;Varkensstraat 17-19;Varkensstraat;19;;20200515142225;XC;2020-05-15 11:22:36;Dieu Jocelin;MDU;0;3;1;4;BUILDING template
MECHELEN - FH01;3029535;BL0112;5;3029535;33740209;;Arme-Clarenstraat;3;;20200515142226;D;2020-05-18 08:40:06;Dieu Jocelin;MDU;0;2;0;2;BUILDING template
MECHELEN - FH01;4736802;BL0112;5;4736802;33740209;;Arme-Clarenstraat;5;;20200515142226;D;2020-05-18 08:40:09;Dieu Jocelin;MDU;0;2;0;2;BUILDING template
MECHELEN - FH01;903468;BL0127;4;903468;33740165;;Lange Schipstraat;80;;20200515142224;XC;2020-03-06;Marouane Zoubir;MDU;0;4;0;4;BUILDING template
MECHELEN - FH01;1283600;BL0127;4;1283600;33740165;;Lange Schipstraat;82;;20200515142224;XC;2020-03-06;Marouane Zoubir;MDU;0;7;0;7;BUILDING template
MECHELEN - FH01;4740712;BL0101;1;4740712;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;27;;20200515142225;D;;;MDU;0;1;0;1;BUILDING template
MECHELEN - FH01;4740715;BL0101;1;4740715;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;29;;20200515142225;D;2020-05-18 09:40:05;Dieu Jocelin;MDU;1;3;0;4;BUILDING template
MECHELEN - FH01;3033234;BL0101;1;3033234;;;Goswin de Stassartstraat;33;;;;2020-05-18 09:45:13;Dieu Jocelin;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;4733077;BL0111;1;4733077;;;Nieuwe Beggaardenstraat;21;;;;2020-05-18 09:10:12;Dieu Jocelin;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;4733080;BL0111;1;4733080;;;Nieuwe Beggaardenstraat;23;;;;2020-05-18 09:10:10;Dieu Jocelin;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;5543967;BL0104;2;5543967;33740181;;Varkensstraat;15;;20200515142225;XC;2020-05-15 11:20:15;Dieu Jocelin;MDU;0;4;1;5;BUILDING template
MECHELEN - FH01;4749109;BL0130;3;4749109;33740128;Bruul 51_Leermarkt 10;Bruul;51;;20200515142224;D;;;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;6527842;BL0108;1;6527842;;;Oude Beggaardenstraat;15;;;;2020-05-20 08:15:06;Jo De Clippel;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;929559;BL0108;1;929559;;;Wollemarkt;15;;;;2020-05-18 09:35:10;Jo De Clippel;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;903148;BL0130;3;903148;33740128;Bruul 51_Leermarkt 10;Leermarkt;10;;20200515142224;D;;;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;5749434;BL0104;2;5749434;33740181;Varkensstraat 17-19;Varkensstraat;17;;20200515142225;XC;2020-05-15 11:22:32;Dieu Jocelin;MDU;0;3;1;4;BUILDING template
