Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
MECHELEN - FH02;402665;BL0232;6;7092747;402665;;;Arsenaalstraat;7;;;2019-12-17 09:35:14;Andreas Versteeven;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756744;BL0232;6;446555;4756744;;;Arsenaalstraat;9;;;2019-12-17 14:20:24;Yannick_ Lambrechts;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756747;BL0232;6;446556;4756747;;;Arsenaalstraat;11;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3029552;BL0232;6;427008;3029552;;;Arsenaalstraat;13;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3943960;BL0232;6;441059;3943960;;;Arsenaalstraat;15;;D;2019-03-15 19:40:57;Andreas Versteeven;MDU;0;3;0;3;Y;;BUILDING template;;
MECHELEN - FH02;3029556;BL0232;6;427011;3029556;;;Arsenaalstraat;17;;D;2019-12-17 14:15:31;Yannick_ Lambrechts;MDU;0;4;0;4;Y;;BUILDING template;;
MECHELEN - FH02;402670;BL0232;6;441530;402670;;;Arsenaalstraat;19;;D;2019-03-15 19:27:14;Yannick Lambrechts;MDU;0;4;0;4;Y;;BUILDING template;;
MECHELEN - FH02;3029559;BL0232;6;427013;3029559;;;Arsenaalstraat;21;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3029561;BL0232;6;427015;3029561;;;Arsenaalstraat;23;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;402666;BL0232;6;441527;402666;;;Arsenaalstraat;25;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;402669;BL0232;6;441529;402669;;;Arsenaalstraat;27;;D;2018-09-05;Hidde Kiekens;MDU;0;3;0;3;Y;;BUILDING template;;
MECHELEN - FH02;3029566;BL0232;6;427019;3029566;;;Arsenaalstraat;29;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3029568;BL0232;6;427021;3029568;;;Arsenaalstraat;31;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3029569;BL0232;6;427022;3029569;;;Arsenaalstraat;33;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3029572;BL0232;6;427024;3029572;;;Arsenaalstraat;35;;D;2018-09-05;Hidde Kiekens;MDU;1;1;0;2;Y;;BUILDING template;;
MECHELEN - FH02;3029574;BL0232;6;427026;3029574;;;Arsenaalstraat;37;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3029576;BL0232;6;427028;3029576;;;Arsenaalstraat;39;;D;2018-09-05;Hidde Kiekens;MDU;0;2;0;2;Y;;BUILDING template;;
MECHELEN - FH02;3029577;BL0232;6;427029;3029577;;;Arsenaalstraat;41;;D;2018-09-05;Hidde Kiekens;MDU;0;3;0;3;Y;;BUILDING template;;
MECHELEN - FH02;402668;BL0232;6;441528;402668;;;Arsenaalstraat;43;;D;2019-03-15 19:26:31;Wim Lambrechts;MDU;0;5;0;5;Y;;BUILDING template;;
MECHELEN - FH02;5434918;BL0232;6;449222;5434918;;;Arsenaalstraat;45;;;;Youssef Abdellaoui;SDU;1;0;0;1;Y;;BUILDING template;;
MECHELEN - FH02;10986;BL0232;6;425239;10986;;;Hendrik Speecqvest;2;;C;2020-08-04;Andreas Versteeven;MDU;1;6;1;8;N;;BUILDING template;;
MECHELEN - FH02;402660;BL0232;6;441523;402660;;;Hendrik Speecqvest;4;;;2019-12-17 14:15:33;Yannick_ Lambrechts;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048203;BL0232;6;437288;3048203;;;Hendrik Speecqvest;6;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048206;BL0232;6;437290;3048206;;;Hendrik Speecqvest;8;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048208;BL0232;6;437291;3048208;;;Hendrik Speecqvest;10;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3997280;BL0232;6;441383;3997280;;;Hendrik Speecqvest;12;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756690;BL0232;6;446550;4756690;;;Hendrik Speecqvest;14;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048212;BL0232;6;11439715;3048212;;;Hendrik Speecqvest;18;;;2020-08-04;Andreas Versteeven;SDU;0;1;0;1;Y;;BUILDING template;;
