Projectnummer;Opdrachtnummer;Blok;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
MECHELEN - FH01;3051770;BL0115;3051770;;Vismarkt 1-3;Vismarkt;1;;;D;2020-03-12 10:05:10;Jo De Clippel;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;NB-28003c79a66;BL0115;NB-28003c79a66;;Vismarkt 1-3;Vismarkt;3;;;D;2020-03-12 10:05:10;Jo De Clippel;MDU;0;1;0;1;BUILDING template
MECHELEN - FH01;905716;BL0113;905716;;Tichelrij 1-1A;Tichelrij;1;;;;;Abdelmalek Lamkoref;MDU;0;5;0;5;BUILDING template
MECHELEN - FH01;3050146;BL0113;3050146;;Tichelrij 1-1A;Tichelrij;1;A;;;;Abdelmalek Lamkoref;MDU;0;5;0;5;BUILDING template
MECHELEN - FH01;3055132;BL0113;3055132;;Tichelrij 10-11-12-14_Thaborstraat 35-37;Thaborstraat;35;;;X;2020-02-20 10:50:15;Jo De Clippel;MDU;0;6;2;8;BUILDING template
MECHELEN - FH01;3055134;BL0113;3055134;;Tichelrij 10-11-12-14_Thaborstraat 35-37;Thaborstraat;37;;;X;2020-02-20 10:50:15;Jo De Clippel;MDU;0;6;2;8;BUILDING template
MECHELEN - FH01;3050158;BL0113;3050158;;Tichelrij 10-11-12-14_Thaborstraat 35-37;Tichelrij;10;;;X;2020-02-20 10:50:15;Jo De Clippel;MDU;0;5;0;5;BUILDING template
MECHELEN - FH01;3050160;BL0113;3050160;;Tichelrij 10-11-12-14_Thaborstraat 35-37;Tichelrij;11;;;X;2020-02-20 10:50:15;Jo De Clippel;MDU;0;5;0;5;BUILDING template
MECHELEN - FH01;3050164;BL0113;3050164;;Tichelrij 10-11-12-14_Thaborstraat 35-37;Tichelrij;14;;;X;2020-02-20 10:50:15;Jo De Clippel;MDU;0;6;0;6;BUILDING template
MECHELEN - FH01;3050162;BL0113;3050162;;Tichelrij 10-11-12-14_Thaborstraat 35-37;Tichelrij;12;;;X;2020-02-20 10:50:15;Jo De Clippel;MDU;0;6;0;6;BUILDING template
MECHELEN - FH01;NB-280029196b31;BL0113;NB-280029196b31;;Thaborstraat 27-29;Thaborstraat;29;;;D;2020-03-17;Jo De Clippel;MDU;0;1;0;1;BUILDING template
MECHELEN - FH01;905706;BL0113;905706;;Thaborstraat 27-29;Thaborstraat;27;;;D;2020-03-17;Jo De Clippel;MDU;0;1;0;1;BUILDING template
MECHELEN - FH01;935331;BL0111;935331;;Stadsheimelijkheid 1-3-5-7;Stadsheimelijkheid;1;;;;;;MDU;2;7;0;9;BUILDING template
MECHELEN - FH01;4971562;BL0111;4971562;;Stadsheimelijkheid 1-3-5-7;Stadsheimelijkheid;3;;;;;;MDU;2;4;0;6;BUILDING template
MECHELEN - FH01;6611081;BL0111;6611081;;Stadsheimelijkheid 1-3-5-7;Stadsheimelijkheid;7;;;;;;MDU;0;2;0;2;BUILDING template
MECHELEN - FH01;5876086;BL0111;5876086;;Stadsheimelijkheid 1-3-5-7;Stadsheimelijkheid;5;;;;;;MDU;1;7;0;8;BUILDING template
MECHELEN - FH01;929573;BL0108;929573;;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;Sint-Katelijnestraat;62;;;X;2020-02-21 11:30:31;Jo De Clippel;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3048651;BL0108;3048651;;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;Sint-Katelijnestraat;64;;;X;2020-02-21 11:30:31;Jo De Clippel;MDU;2;4;0;6;BUILDING template
MECHELEN - FH01;3032851;BL0108;3032851;;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;Kanunnik de Deckerstraat;41;;;X;2020-02-21 11:30:31;Jo De Clippel;MDU;2;4;0;6;BUILDING template
MECHELEN - FH01;3032847;BL0108;3032847;;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;Kanunnik De Deckerstraat;37;;;X;2020-02-21 11:30:31;Jo De Clippel;MDU;2;4;0;6;BUILDING template
MECHELEN - FH01;929594;BL0108;929594;;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;Kanunnik De Deckerstraat;39;;;X;2020-02-21 11:30:31;Jo De Clippel;MDU;2;4;0;6;BUILDING template
MECHELEN - FH01;930420;BL0112;930420;;;Nieuwe Beggaardenstraat;37;;;D;2020-03-17 08:45:12;Jo De Clippel;MDU;1;0;1;2;BUILDING template
MECHELEN - FH01;905662;BL0115;905662;;Nauwstaat 9-11;Nauwstraat;9;;;E;2020-01-15 12:40:17;Jo De Clippel;MDU;2;2;0;4;BUILDING template
MECHELEN - FH01;3043723;BL0115;3043723;;Nauwstaat 9-11;Nauwstraat;11;;;E;2020-01-15 12:40:17;Jo De Clippel;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3033126;BL0111;3033126;;Jef Denynplein 4-6;Jef Denynplein;6;;;C;2020-03-16 16:25:45;Jo De Clippel;MDU;0;2;0;2;BUILDING template
MECHELEN - FH01;941663;BL0111;941663;;Jef Denynplein 4-6;Jef Denynplein;4;;;C;2020-03-16 16:25:45;Jo De Clippel;MDU;0;4;0;4;BUILDING template
MECHELEN - FH01;3037670;BL0116;3037670;;Ijzerleen 56- 58;Ijzerenleen;56;;;D;2020-03-16 09:30:24;Jo De Clippel;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3037673;BL0116;3037673;;Ijzerleen 56- 58;Ijzerenleen;58;;;D;2020-03-16 09:30:24;Jo De Clippel;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;905274;BL0116;905274;;Ijzerleen 46-48;Ijzerenleen;48;;;D;2020-03-16 09:55:09;Jo De Clippel;MDU;1;0;1;2;BUILDING template
MECHELEN - FH01;3037655;BL0116;3037655;;Ijzerleen 46-48;Ijzerenleen;46;;;D;2020-03-16 09:55:09;Jo De Clippel;MDU;0;8;2;10;BUILDING template
MECHELEN - FH01;4191732;BL0105;4191732;;Frederik De Merodestraat 6-6A;Frederik de Merodestraat;6;;;D;2020-03-17;Dieu Jocelin;MDU;0;1;1;2;BUILDING template
MECHELEN - FH01;3032940;BL0105;3032940;;Frederik De Merodestraat 6-6A;Frederik de Merodestraat;6;A;;D;2020-03-17;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
MECHELEN - FH01;5776141;BL0110;5776141;;Drabstraat 6A-8-8A-10;Drabstraat;6;A;;;;Hidde Kiekens;MDU;0;5;1;6;BUILDING template
MECHELEN - FH01;905651;BL0110;905651;;Drabstraat 6A-8-8A-10;Drabstraat;8;;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;4748692;BL0110;4748692;;Drabstraat 6A-8-8A-10;Drabstraat;10;;;;;Hidde Kiekens;MDU;1;4;0;5;BUILDING template
MECHELEN - FH01;5904645;BL0110;5904645;;Drabstraat 6A-8-8A-10;Drabstraat;8;A;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;3054432;BL0129;3054432;;Bruul 90_Lekkernijstraatje 1;Lekkernijstraatje;1;;;D;2020-01-14;Jo De Clippel;MDU;1;3;1;5;BUILDING template
