Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ROESELARE - FH02;3417117;BL0009;;4778141;3417117;;;Manestraat;1;A;;2020-07-04 13:35:06;Maayken Vanfleteren;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;5556383;BL0009;;4778143;5556383;;;Manestraat;3;;;2020-04-22 10:25:24;Maayken Vanfleteren;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;1256298;BL0012;;104166;1256298;;Manestraat 2-4-4A;Manestraat;4;;D;2020-07-26 13:00:05;Hidde Kiekens;MDU;0;5;0;5;N;;BUILDING template
ROESELARE - FH02;1364025;BL0012;;106000;1364025;;Manestraat 2-4-4A;Manestraat;4;A;D;;Harry Melis;MDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;5398714;BL0012;;192460;5398714;;;Manestraat;6;A;;2020-04-21 09:25:09;Hidde Kiekens;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417121;BL0012;;165070;3417121;;;Manestraat;8;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;4358556;BL0009;;177829;4358556;;Manestraat 9-11;Manestraat;9;;D;2020-04-22 10:40:11;Maayken Vanfleteren;MDU;0;2;0;2;N;;BUILDING template
ROESELARE - FH02;3417124;BL0012;;165071;3417124;;;Manestraat;12;;;2020-04-21 09:25:10;Hidde Kiekens;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417125;BL0009;;165072;3417125;;;Manestraat;13;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417126;BL0009;;165073;3417126;;;Manestraat;15;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417127;BL0012;;165074;3417127;;;Manestraat;16;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417128;BL0009;;4778168;3417128;;;Manestraat;17;A;D;2020-04-22 11:10:51;Maayken Vanfleteren;MDU;1;1;0;2;N;;BUILDING template
ROESELARE - FH02;3417129;BL0012;;165075;3417129;;;Manestraat;18;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417130;BL0012;;165076;3417130;;;Manestraat;20;;D;2020-04-21 09:30:13;Hidde Kiekens;MDU;1;4;0;5;N;;BUILDING template
ROESELARE - FH02;3417131;BL0012;;165077;3417131;;;Manestraat;22;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417132;BL0012;;165078;3417132;;;Manestraat;24;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417133;BL0012;;165079;3417133;;;Manestraat;26;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;3417134;BL0012;;165080;3417134;;;Manestraat;28;;D;2020-04-21 09:35:09;Hidde Kiekens;MDU;1;2;0;3;N;;BUILDING template
ROESELARE - FH02;3417123;BL0009;;26014012;3417123;;Manestraat 9-11;Manestraat;11;;D;2020-04-22;Maayken Vanfleteren;MDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;877803;BL0009;;4708447;877803;;;Manestraat;1;;D;2020-07-04 13:35:09;Maayken Vanfleteren;MDU;0;9;1;10;N;;BUILDING template
ROESELARE - FH02;878400;BL0012;;4708509;878400;;Manestraat 2-4-4A;Manestraat;2;;D;2020-07-26 13:00:06;Hidde Kiekens;MDU;1;0;0;1;Y;;BUILDING template
ROESELARE - FH02;877801;BL0012;;4708445;877801;;;Manestraat;6;;;2020-07-26 13:00:07;Hidde Kiekens;SDU;1;0;0;1;Y;;BUILDING template
ROESELARE - FH02;880638;BL0009;;4708521;880638;;;Manestraat;7;;;;Harry Melis;SDU;0;1;0;1;N;;BUILDING template
ROESELARE - FH02;877802;BL0009;;4708446;877802;;;Manestraat;17;;;;Harry Melis;SDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH02;877800;BL0012;;4708444;877800;;;Manestraat;30;;;;Harry Melis;SDU;1;0;0;1;Y;;BUILDING template
