Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH01;4461776;BL0120;3;4461776;;;Hendrik Heymanplein;152;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494167;BL0120;3;3494167;;;Hendrik Heymanplein;154;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;96744;BL0120;3;96744;;;Hendrik Heymanplein;156;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494173;BL0120;3;3494173;;;Hendrik Heymanplein;158;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;4461777;BL0120;3;4461777;;;Hendrik Heymanplein;160;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494175;BL0120;3;3494175;;;Hendrik Heymanplein;162;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494179;BL0120;3;3494179;;;Hendrik Heymanplein;164;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494182;BL0120;3;3494182;;;Hendrik Heymanplein;168;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494186;BL0120;3;3494186;;;Hendrik Heymanplein;170;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494189;BL0120;3;3494189;;;Hendrik Heymanplein;172;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;96742;BL0120;3;96742;;;Hendrik Heymanplein;174;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494191;BL0120;3;3494191;;;Hendrik Heymanplein;176;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494194;BL0120;3;3494194;;;Hendrik Heymanplein;178;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494200;BL0120;3;3494200;;;Hendrik Heymanplein;180;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494203;BL0120;3;3494203;;;Hendrik Heymanplein;182;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494206;BL0120;3;3494206;;;Hendrik Heymanplein;184;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494209;BL0120;3;3494209;;;Hendrik Heymanplein;186;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;4461714;BL0120;3;4461714;;;Hendrik Heymanplein;188;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494211;BL0120;3;3494211;;;Hendrik Heymanplein;190;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494215;BL0120;3;3494215;;;Hendrik Heymanplein;192;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;96743;BL0120;3;96743;;;Hendrik Heymanplein;194;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;4461718;BL0120;3;4461718;;;Hendrik Heymanplein;196;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494221;BL0120;3;3494221;;;Hendrik Heymanplein;198;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494224;BL0120;3;3494224;;;Hendrik Heymanplein;200;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494228;BL0120;3;3494228;;;Hendrik Heymanplein;202;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;96741;BL0120;3;96741;;;Hendrik Heymanplein;204;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494238;BL0120;3;3494238;;;Hendrik Heymanplein;206;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494241;BL0120;3;3494241;;;Hendrik Heymanplein;208;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;4461779;BL0120;3;4461779;;;Hendrik Heymanplein;166;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494245;BL0120;3;3494245;;;Hendrik Heymanplein;210;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494247;BL0120;3;3494247;;;Hendrik Heymanplein;212;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;4065074;BL0120;3;4065074;;;Hendrik Heymanplein;214;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494251;BL0120;3;3494251;;;Hendrik Heymanplein;216;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494255;BL0120;3;3494255;;;Hendrik Heymanplein;218;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;4024808;BL0120;3;4024808;;;Hendrik Heymanplein;220;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;96739;BL0120;3;96739;;;Hendrik Heymanplein;222;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;4271951;BL0120;3;4271951;;;Hendrik Heymanplein;224;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494260;BL0120;3;3494260;;;Hendrik Heymanplein;226;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;96740;BL0120;3;96740;;;Hendrik Heymanplein;228;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494262;BL0120;3;3494262;;;Hendrik Heymanplein;230;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494265;BL0120;3;3494265;;;Hendrik Heymanplein;232;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494268;BL0120;3;3494268;;;Hendrik Heymanplein;234;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494271;BL0120;3;3494271;;;Hendrik Heymanplein;236;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494273;BL0120;3;3494273;;;Hendrik Heymanplein;238;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;3494278;BL0120;3;3494278;;;Hendrik Heymanplein;242;;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;4461734;BL0120;3;4461734;;;Hendrik Heymanplein;240;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;96745;BL0120;3;96745;;;Hendrik Heymanplein;150;;;;2020-05-27;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
