Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
SINT-NIKLAAS - FH02;3501710;BL0212;2;799556;3501710;;;Lamstraat;12;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;4464758;BL0212;2;811798;4464758;;;Lamstraat;14;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;4464760;BL0212;2;811799;4464760;;;Lamstraat;16;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;3501711;BL0212;2;799557;3501711;;;Lamstraat;18;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75454;BL0212;2;815961;75454;;;Lamstraat;20;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;5424647;BL0212;2;813326;5424647;;;Lamstraat;10;A;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;5380521;BL0212;2;813005;5380521;;;Lamstraat;10;B;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75570;BL0212;2;816013;75570;;;Polderstraat;2;;D;2020-02-10 14:36:30;Steffen Verhofste;MDU;1;0;1;2;Y;;BUILDING template
SINT-NIKLAAS - FH02;4455368;BL0212;2;810439;4455368;;;Polderstraat;4;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75467;BL0212;2;815970;75467;;;Polderstraat;6;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75469;BL0212;2;815972;75469;;;Polderstraat;8;;C;2020-02-19 21:20:16;Hidde Kiekens;MDU;0;3;0;3;N;;BUILDING template
SINT-NIKLAAS - FH02;4191442;BL0212;2;808262;4191442;;;Polderstraat;10;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;3512069;BL0212;2;802465;3512069;;;Polderstraat;12;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;3512072;BL0212;2;802467;3512072;;;Polderstraat;14;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;3512075;BL0212;2;7092887;3512075;;;Polderstraat;16;;D;2020-02-29 12:20:08;Hidde Kiekens;MDU;0;5;0;5;N;;BUILDING template
SINT-NIKLAAS - FH02;4464736;BL0212;2;811794;4464736;;;Polderstraat;20;;;;Youssef Abdellaoui;SDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;3512081;BL0212;2;802471;3512081;;;Polderstraat;22;;;;Youssef Abdellaoui;SDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;3512093;BL0212;2;802474;3512093;;;Polderstraat;26;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75471;BL0212;2;815974;75471;;;Polderstraat;28;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75472;BL0212;2;815975;75472;;Polderstraat 30-32;Polderstraat;30;;D;2020-02-20 08:55:14;Hidde Kiekens;MDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;3512105;BL0212;2;802475;3512105;;Polderstraat 30-32;Polderstraat;32;;D;2020-02-20 08:55:14;Hidde Kiekens;MDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;4204297;BL0212;2;808386;4204297;;Polderstraat 34-36;Polderstraat;36;;D;2020-02-20 08:55:14;Hidde Kiekens;MDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;3512133;BL0212;2;802479;3512133;;;Polderstraat;42;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
