Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name old;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH01;3484798;BL0109;2;3484798;;;Ankerstraat 10-12;Ankerstraat;10;;D;2019-07-19 12:55:22;Michael Molenberghs;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH01;4444890;BL0109;2;4444890;;;Ankerstraat 10-12;Ankerstraat;12;;D;2019-07-19 12:55:22;Michael Molenberghs;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;1517529;BL0109;2;1517529;;;Ankerstraat 14-16;Ankerstraat;14;;D;2019-08-08 14:30:17;Michael Molenberghs;MDU;1;4;0;5;BUILDING template
SINT-NIKLAAS - FH01;68408;BL0109;2;68408;;;Ankerstraat 14-16;Ankerstraat;16;;D;2019-08-08 14:30:17;Michael Molenberghs;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;68407;BL0109;2;68407;;;Ankerstraat 2-4;Ankerstraat;2;;D;2018-09-10;Francois Glaude;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH01;4444841;BL0109;2;4444841;;;Ankerstraat 2-4;Ankerstraat;4;;D;2018-09-10;Francois Glaude;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH01;1513918;BL0113;2;1513918;;;Apostelstraat 5-7;Apostelstraat;5;;;;Dirk Marien;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;1513920;BL0113;2;1513920;;;Apostelstraat 5-7;Apostelstraat;7;;;;Dirk Marien;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH01;1513923;BL0114;2;1513923;;Apostelstraat 8-10;Apostelstraat 8-10;Apostelstraat;10;;D;2018-07-18;Andreas Versteeven;MDU;0;6;0;6;BUILDING template
SINT-NIKLAAS - FH01;1513921;BL0114;2;1513921;;Apostelstraat 8-10;Apostelstraat 8-10;Apostelstraat;8;;D;2018-07-18;Andreas Versteeven;MDU;0;1;0;1;BUILDING template
