Projectnummer;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
ANTWERPEN-WEST - FH01;11983;1802754;(L/B/S)U template;Zeevaartstraat;5;;;;;
ANTWERPEN-WEST - FH01;11983;11077791;(L/B/S)U template;Zeevaartstraat;5;;;;;
ANTWERPEN-WEST - FH01;11983;11184319;(L/B/S)U template;Zeevaartstraat;5;;;;;
ANTWERPEN-WEST - FH01;11985;1754943;(L/B/S)U template;Kattendijkdok-Westkaai;33;;;;;
ANTWERPEN-WEST - FH01;11985;1754944;(L/B/S)U template;Kattendijkdok-Westkaai;33;;;;;
ANTWERPEN-WEST - FH01;11985;11077230;(L/B/S)U template;Kattendijkdok-Westkaai;33;;;;;
ANTWERPEN-WEST - FH01;12721;1689439;(L/B/S)U template;Indiestraat;2;;;;;
ANTWERPEN-WEST - FH01;12721;1689444;(L/B/S)U template;Indiestraat;2;;;;;
ANTWERPEN-WEST - FH01;12721;1691311;(L/B/S)U template;Indiestraat;2;;;;;
ANTWERPEN-WEST - FH01;12721;1691335;(L/B/S)U template;Indiestraat;2;;;;;
ANTWERPEN-WEST - FH01;52537;1704140;(L/B/S)U template;Amsterdamstraat;21;;;;;
ANTWERPEN-WEST - FH01;52539;1781223;(L/B/S)U template;Amsterdamstraat;41;;;;;
ANTWERPEN-WEST - FH01;52539;1781224;(L/B/S)U template;Amsterdamstraat;41;;;;;
ANTWERPEN-WEST - FH01;52539;1781225;(L/B/S)U template;Amsterdamstraat;41;;;;;
ANTWERPEN-WEST - FH01;52539;11078083;(L/B/S)U template;Amsterdamstraat;41;;;;;
ANTWERPEN-WEST - FH01;52547;1696019;(L/B/S)U template;Rijnkaai;20;;;;;
ANTWERPEN-WEST - FH01;52547;1696141;(L/B/S)U template;Rijnkaai;20;;;;;
ANTWERPEN-WEST - FH01;52547;1696443;(L/B/S)U template;Rijnkaai;20;;;;;
ANTWERPEN-WEST - FH01;52547;1696535;(L/B/S)U template;Rijnkaai;20;;;;;
ANTWERPEN-WEST - FH01;52547;1696651;(L/B/S)U template;Rijnkaai;20;;;;;
ANTWERPEN-WEST - FH01;52547;1696728;(L/B/S)U template;Rijnkaai;20;;;;;
ANTWERPEN-WEST - FH01;52549;11077027;(L/B/S)U template;Braziliestraat;43;;;;;
ANTWERPEN-WEST - FH01;59266;1691869;(L/B/S)U template;Korte Zeevaartstraat;2;;;;;
ANTWERPEN-WEST - FH01;59266;11077798;(L/B/S)U template;Korte Zeevaartstraat;2;;;;;
ANTWERPEN-WEST - FH01;59271;10358656;(L/B/S)U template;Adriaan Brouwerstraat;17;;;;;
ANTWERPEN-WEST - FH01;59271;11077887;(L/B/S)U template;Adriaan Brouwerstraat;17;;;;;
ANTWERPEN-WEST - FH01;59272;11076535;(L/B/S)U template;Adriaan Brouwerstraat;3;;;;;
ANTWERPEN-WEST - FH01;59272;11076536;(L/B/S)U template;Adriaan Brouwerstraat;3;;;;;
ANTWERPEN-WEST - FH01;59272;11076537;(L/B/S)U template;Adriaan Brouwerstraat;3;;;;;
ANTWERPEN-WEST - FH01;59272;11076538;(L/B/S)U template;Adriaan Brouwerstraat;3;;;;;
ANTWERPEN-WEST - FH01;59272;11076539;(L/B/S)U template;Adriaan Brouwerstraat;3;;;;;
ANTWERPEN-WEST - FH01;59272;11076540;(L/B/S)U template;Adriaan Brouwerstraat;3;;;;;
ANTWERPEN-WEST - FH01;59274;11076515;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076516;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076517;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076518;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076519;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076520;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076521;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076522;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076523;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076524;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076525;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076526;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076527;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076528;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076529;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076530;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076531;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076532;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076533;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59274;11076534;(L/B/S)U template;Adriaan Brouwerstraat;9;;;;;
ANTWERPEN-WEST - FH01;59276;1743673;(L/B/S)U template;Sint-Aldegondiskaai;30;;;;;
ANTWERPEN-WEST - FH01;59277;1618007;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077941;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077942;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077943;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077944;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077945;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077946;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077947;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077948;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077949;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077950;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077951;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077952;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077953;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077954;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077955;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077956;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077957;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077958;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59277;11077959;(L/B/S)U template;Sint-Aldegondiskaai;10;;;;;
ANTWERPEN-WEST - FH01;59279;1762618;(L/B/S)U template;Sint-Aldegondiskaai;36;;;;;
ANTWERPEN-WEST - FH01;59280;1831697;(L/B/S)U template;Sint-Aldegondiskaai;64;;;;;
ANTWERPEN-WEST - FH01;59289;1691287;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691290;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691291;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691293;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691295;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691296;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691298;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691299;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691300;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691301;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691305;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;10369733;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691280;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691282;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691283;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691284;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59289;1691286;(L/B/S)U template;Tavernierkaai;2;;;;;
ANTWERPEN-WEST - FH01;59293;1774128;(L/B/S)U template;Van Schoonbekeplein;4;;;;;
ANTWERPEN-WEST - FH01;59295;1703726;(L/B/S)U template;Van Schoonbekeplein;21;;;;;
ANTWERPEN-WEST - FH01;59296;1630479;(L/B/S)U template;Van Schoonbekeplein;11;;;;;
ANTWERPEN-WEST - FH01;59297;11076542;(L/B/S)U template;Van Schoonbekeplein;9;;;;;
ANTWERPEN-WEST - FH01;59298;1610724;(L/B/S)U template;Van Schoonbekeplein;1;;;;;
ANTWERPEN-WEST - FH01;59298;11077684;(L/B/S)U template;Van Schoonbekeplein;1;;;;;
ANTWERPEN-WEST - FH01;59299;10414947;(L/B/S)U template;Godefriduskaai;2;;;;;
ANTWERPEN-WEST - FH01;59300;10416160;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416161;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416162;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416163;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416164;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416165;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416166;(L/B/S)U template;Spanjaardsteeg;21;;;;;
ANTWERPEN-WEST - FH01;59300;10416167;(L/B/S)U template;Spanjaardsteeg;21;;;;;
