Projectnummer;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
KNOKKE-HEIST - FH09;2756737;2756737;BUILDING template;XA;Zeedijk-Heist;97;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71496;71496;BUILDING template;XA;Heldenplein;1;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71499;71499;BUILDING template;XA;Heldenplein;33;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71632;71632;BUILDING template;XA;Serweytens de Mercxstraat;34;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71699;71699;BUILDING template;XA;Albatrosstraat;21;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71706;71706;BUILDING template;XA;Albatrosstraat;13;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71713;71713;BUILDING template;XA;Graaf d Ursellaan;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71737;71737;BUILDING template;XA;Elizabetlaan;325;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71741;71741;BUILDING template;XA;Duinenstraat;1;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71747;71747;BUILDING template;XA;O.-L.-Vrouwstraat;3;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290493;290493;BUILDING template;XA;Vuurtorenstraat;1;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290495;290495;BUILDING template;XA;Vuurtorenstraat;3;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290499;290499;BUILDING template;XA;Kardinaal Mercierstraat;4;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292334;292334;BUILDING template;XA;Vissershuldeplein;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292335;292335;BUILDING template;XA;Graaf van Vlaanderenstraat;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292350;292350;BUILDING template;XA;de Maerestraat;4;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292353;292353;BUILDING template;XA;de Maerestraat;3;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;297116;297116;BUILDING template;XA;Parkstraat;33;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;297126;297126;BUILDING template;XA;Louis Parentstraat;1;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;297128;297128;BUILDING template;XA;Graaf d Ursellaan;52;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302679;302679;BUILDING template;XA;Graaf d Ursellaan;25;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302683;302683;BUILDING template;XA;Graaf d Ursellaan;34;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302684;302684;BUILDING template;XA;Graaf d Ursellaan;36;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302685;302685;BUILDING template;XA;Graaf d Ursellaan;44;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302702;302702;BUILDING template;XA;Louis Parentstraat;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;303846;303846;BUILDING template;XA;Vuurtorenstraat;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;303848;303848;BUILDING template;XA;Elizabetlaan;395;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;1347701;1347701;BUILDING template;XA;Elizabetlaan;369;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;1470202;1470202;BUILDING template;XA;Elizabetlaan;375;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2757575;2757575;BUILDING template;XA;Albatrosstraat;9;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2757582;2757582;BUILDING template;XA;Albatrosstraat;17;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2758773;2758773;BUILDING template;XA;Jozef Dhoorelaan;132;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759468;2759468;BUILDING template;XA;Eerste-Geniestraat;17;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759741;2759741;BUILDING template;XA;Elizabetlaan;331;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759744;2759744;BUILDING template;XA;Elizabetlaan;337;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759752;2759752;BUILDING template;XA;Elizabetlaan;351;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759755;2759755;BUILDING template;XA;Elizabetlaan;363;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759941;2759941;BUILDING template;XA;de Gemblinnestraat;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760284;2760284;BUILDING template;XA;Heldenplein;2;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760286;2760286;BUILDING template;XA;Heldenplein;4;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760287;2760287;BUILDING template;XA;Heldenplein;7;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760289;2760289;BUILDING template;XA;Heldenplein;11;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760293;2760293;BUILDING template;XA;Heldenplein;14;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2760296;2760296;BUILDING template;XA;Heldenplein;18;;B;BOWN;B;BOWN
