Projectnummer;Building FID;BG Name;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU;Quadrant;Wall Mount;Height Cable;SS Reason
MECHELEN - FH01;437525;;3048636;3048636;BUILDING template;Sint-Katelijnestraat;48;;B;BOWN;;;C;Y;9;NA
MECHELEN - FH01;451897;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;929573;929573;BUILDING template;Sint-Katelijnestraat;62;;B;BOWN;;;C;Y;10;NA
MECHELEN - FH01;437535;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;3048651;3048651;BUILDING template;Sint-Katelijnestraat;64;;B;BOWN;;;C;Y;7;NA
MECHELEN - FH01;451926;;929621;929621;BUILDING template;Goswin de Stassartstraat;47;;B;BOWN;;;C;N;7;IRREG
MECHELEN - FH01;440581;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;3055132;3055132;BUILDING template;Thaborstraat;35;;B;BOWN;;;C;N;22;IRREG
MECHELEN - FH01;440582;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;3055134;3055134;BUILDING template;Thaborstraat;37;;B;BOWN;;;C;N;20;IRREG
MECHELEN - FH01;7092614;;4731179;4731179;BUILDING template;Begijnenstraat;17;;B;BOWN;;;C;Y;4;NA
MECHELEN - FH01;7092656;;3043722;3043722;BUILDING template;Nauwstraat;10;;B;BOWN;;;C;Y;8;NA
MECHELEN - FH01;438296;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;3050158;3050158;BUILDING template;Tichelrij;10;;B;BOWN;;;C;N;10;IRREG
MECHELEN - FH01;438297;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;3050160;3050160;BUILDING template;Tichelrij;11;;B;BOWN;;;C;N;10;IRREG
MECHELEN - FH01;438298;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;3050164;3050164;BUILDING template;Tichelrij;14;;B;BOWN;;;C;N;10;IRREG
MECHELEN - FH01;21704444;Sint-Katelijnestraat 40-42;6192370;6192370;BUILDING template;Sint-Katelijnestraat;40;;B;BOWN;;;C;N;10;IRREG
MECHELEN - FH01;439046;;3051775;3051775;BUILDING template;Vismarkt;6;;B;BOWN;;;C;Y;12;NA
MECHELEN - FH01;21704453;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;4736745;4736745;BUILDING template;Thaborstraat;31;;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;11452510;Sint-Katelijnestraat 40-42;6518663;6518663;BUILDING template;Sint-Katelijnestraat;42;;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;11452591;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;3032851;3032851;BUILDING template;Kanunnik de Deckerstraat;41;;B;BOWN;;;C;Y;5;NA
MECHELEN - FH01;21704474;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;4736746;4736746;BUILDING template;Thaborstraat;33;;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;21704528;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;6592006;6592006;BUILDING template;Thaborstraat;31;A;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;21704600;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;6592007;6592007;BUILDING template;Thaborstraat;33;A;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;21704603;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;6592008;6592008;BUILDING template;Thaborstraat;33;B;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;21704605;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;6592009;6592009;BUILDING template;Thaborstraat;35;A;B;BOWN;;;C;N;6;IRREG
MECHELEN - FH01;429028;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;3032847;3032847;BUILDING template;Kanunnik De Deckerstraat;37;;B;BOWN;;;C;N;8;IRREG
MECHELEN - FH01;451906;Sint-Katelijnestraat 62-64_Kanunnik De Deckerstraat 37-39-41;929594;929594;BUILDING template;Kanunnik De Deckerstraat;39;;B;BOWN;;;C;Y;10;NA
MECHELEN - FH01;11452670;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;3050162;3050162;BUILDING template;Tichelrij;12;;B;BOWN;;;C;N;9;IRREG
MECHELEN - FH01;21704606;Thaborstraat 31-31A-33-33A-33B-35-35A-35B-37_Tichelrij 10-11-12-14;6592010;6592010;BUILDING template;Thaborstraat;35;B;B;BOWN;;;C;N;6;IRREG
