Projectnummer;Building FID;BG Name;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU;Wall Mount;Height Cable;SS Reason
ROESELARE - FH02;4779301;;852887;852887;BUILDING template;C;Zwarte-Leeuwstraat;58;;B;BOWN;;;N;0;IRREG
ROESELARE - FH02;26014025;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;877759;877759;BUILDING template;C;Motestraat;29;;B;BOWN;;;Y;4;NA
ROESELARE - FH02;99531;;1245761;1245761;BUILDING template;C;Westlaan;504;;B;BOWN;;;N;3;IRREG
ROESELARE - FH02;4779058;Steenstraat 9-11-13;1250523;1250523;BUILDING template;C;Steenstraat;11;;B;BOWN;;;Y;5;NA
ROESELARE - FH02;26014005;;3416378;3416378;BUILDING template;C;Kermisstraat;5;;B;BOWN;;;Y;3;NA
ROESELARE - FH02;166608;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;3418906;3418906;BUILDING template;C;Sint-Michielsstraat;10;;B;BOWN;;;N;5;IRREG
ROESELARE - FH02;166609;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;3418908;3418908;BUILDING template;C;Sint-Michielsstraat;16;;B;BOWN;;;N;5;IRREG
ROESELARE - FH02;166611;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;3418911;3418911;BUILDING template;C;Sint-Michielsstraat;18;;B;BOWN;;;N;5;IRREG
ROESELARE - FH02;166756;Steenstraat 9-11-13;3419088;3419088;BUILDING template;C;Steenstraat;9;;B;BOWN;;;Y;3;NA
ROESELARE - FH02;26014234;;3948150;3948150;BUILDING template;C;Weststraat;65;;B;BOWN;;;N;0;IRREG
ROESELARE - FH02;26014069;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;4371402;4371402;BUILDING template;C;Sint-Michielsstraat;12;;B;BOWN;;;N;5;IRREG
ROESELARE - FH02;26014071;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;4371405;4371405;BUILDING template;C;Sint-Michielsstraat;14;;B;BOWN;;;N;5;IRREG
ROESELARE - FH02;4779059;Steenstraat 9-11-13;6038313;6038313;BUILDING template;C;Steenstraat;13;A;B;BOWN;;;Y;3;NA
ROESELARE - FH02;4779060;Steenstraat 9-11-13;6038314;6038314;BUILDING template;C;Steenstraat;13;B;B;BOWN;;;Y;3;NA
ROESELARE - FH02;26014075;Motestraat 29_Sint-Michielsstraat 10-12-14-16-18-20;6607008;6607008;BUILDING template;C;Sint-Michielsstraat;20;;B;BOWN;;;N;5;IRREG
