Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH02;NB-20004acfc99;;BL0202;NB-20004acfc99;BL0202;BUILDING template;Adriaan Brouwerstraat;4;
ANTWERPEN-WEST - FH02;NB-20004acfc99---0;;BL0202;NB-20004acfc99;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;4;
ANTWERPEN-WEST - FH02;6342611;;BL0202;6342611;BL0202;BUILDING template;Adriaan Brouwerstraat;8;
ANTWERPEN-WEST - FH02;11222536;;BL0202;6342611;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;8;
ANTWERPEN-WEST - FH02;1193989;;BL0202;1193989;BL0202;BUILDING template;Adriaan Brouwerstraat;10;
ANTWERPEN-WEST - FH02;1618128;;BL0202;1193989;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;10;
ANTWERPEN-WEST - FH02;1618129;;BL0202;1193989;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;10;
ANTWERPEN-WEST - FH02;1617491;;BL0202;1193989;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;10;
ANTWERPEN-WEST - FH02;4505388;;BL0202;4505388;BL0202;BUILDING template;Adriaan Brouwerstraat;12;
ANTWERPEN-WEST - FH02;11202662;;BL0202;4505388;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;12;
ANTWERPEN-WEST - FH02;1781996;;BL0202;1781996;BL0202;BUILDING template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653485;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653277;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653224;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1652730;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653193;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653265;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653198;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653175;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1653281;;BL0202;1781996;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;14;
ANTWERPEN-WEST - FH02;1782007;;BL0202;1782007;BL0202;BUILDING template;Adriaan Brouwerstraat;16;
ANTWERPEN-WEST - FH02;11202663;;BL0202;1782007;BL0202;(L/B/S)U template;Adriaan Brouwerstraat;16;
ANTWERPEN-WEST - FH02;62544;;BL0202;62544;BL0202;BUILDING template;Adriaan Brouwerstraat;20;
