Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH02;11981;;BL0201;11981;BL0201;BUILDING template;Adriaan Brouwerstraat 24_Brouwersvliet 33;Adriaan Brouwerstraat;24;
ANTWERPEN-WEST - FH02;12585;;BL0229;12585;BL0229;BUILDING template;;Ambtmanstraat;2;
ANTWERPEN-WEST - FH02;12621;;BL0219;12621;BL0219;BUILDING template;;Sint-Paulusplaats;1;
ANTWERPEN-WEST - FH02;12623;;BL0203;12623;BL0203;BUILDING template;Rouaansekaai 1-3;Rouaansekaai;1;
ANTWERPEN-WEST - FH02;12663;;BL0209;12663;BL0209;BUILDING template;;Ankerrui;16;
ANTWERPEN-WEST - FH02;12693;;BL0214;12693;BL0214;BUILDING template;Falconrui 84_Hessenbrug 2;Hessenbrug;2;
ANTWERPEN-WEST - FH02;12717;;BL0212;12717;BL0212;BUILDING template;;Paardenmarkt;109;
ANTWERPEN-WEST - FH02;12724;;BL0205;12724;BL0205;BUILDING template;;Oudeleeuwenrui;6;
ANTWERPEN-WEST - FH02;12728;;BL0201;12728;BL0201;BUILDING template;Adriaan Brouwerstraat 24_Brouwersvliet 33;Brouwersvliet;33;
ANTWERPEN-WEST - FH02;59155;;BL0219;59155;BL0219;BUILDING template;;Oudemansstraat;34;
ANTWERPEN-WEST - FH02;59160;;BL0220;59160;BL0220;BUILDING template;Leguit 2_Oudemansstraat 1;Oudemansstraat;1;
ANTWERPEN-WEST - FH02;59162;;BL0219;59162;BL0219;BUILDING template;;Oudemansstraat;20;
ANTWERPEN-WEST - FH02;59164;;BL0220;59164;BL0220;BUILDING template;;Oudemansstraat;31;
ANTWERPEN-WEST - FH02;59178;;BL0220;59178;BL0220;BUILDING template;Dries 20-22_Keistraat 21-23;Dries;22;
ANTWERPEN-WEST - FH02;59179;;BL0220;59179;BL0220;BUILDING template;Leguit 2_Oudemansstraat 1;Leguit;2;
ANTWERPEN-WEST - FH02;59182;;BL0219;59182;BL0219;BUILDING template;;Sint-Pietersvliet;11;
ANTWERPEN-WEST - FH02;59183;;BL0219;59183;BL0219;BUILDING template;;Sint-Pietersvliet;31;
ANTWERPEN-WEST - FH02;59184;;BL0203;59184;BL0203;BUILDING template;Sint-Pietersvliet 1_Van Meterenkaai 4;Sint-Pietersvliet;1;
ANTWERPEN-WEST - FH02;59185;;BL0203;59185;BL0203;BUILDING template;;Sint-Pietersvliet;3;
ANTWERPEN-WEST - FH02;59187;;BL0203;59187;BL0203;BUILDING template;Sint-Pietersvliet 1_Van Meterenkaai 4;Van Meterenkaai;4;
ANTWERPEN-WEST - FH02;59189;;BL0219;59189;BL0219;BUILDING template;;Lange Schipperskapelstraat;13;
ANTWERPEN-WEST - FH02;59262;;BL0203;59262;BL0203;BUILDING template;;Rouaansekaai;4;
ANTWERPEN-WEST - FH02;59290;;BL0201;59290;BL0201;BUILDING template;Brouwersvliet 39_Van Schoonbekeplein 6;Brouwersvliet;39;
ANTWERPEN-WEST - FH02;59291;;BL0201;59291;BL0201;BUILDING template;;Brouwersvliet;37;
ANTWERPEN-WEST - FH02;61789;;BL0204;61789;BL0204;BUILDING template;;Brouwersvliet;30;
ANTWERPEN-WEST - FH02;61790;;BL0204;61790;BL0204;BUILDING template;;Brouwersvliet;10;
ANTWERPEN-WEST - FH02;61791;;BL0204;61791;BL0204;BUILDING template;Blauwbroekstraat 1-3_Brouwersvliet 2-4-6;Brouwersvliet;4;
ANTWERPEN-WEST - FH02;61792;;BL0204;61792;BL0204;BUILDING template;Blauwbroekstraat 1-3_Brouwersvliet 2-4-6;Brouwersvliet;2;
ANTWERPEN-WEST - FH02;61793;;BL0204;61793;BL0204;BUILDING template;;Brouwersvliet;44;
ANTWERPEN-WEST - FH02;61794;;BL0204;61794;BL0204;BUILDING template;;Brouwersvliet;24;
ANTWERPEN-WEST - FH02;61795;;BL0204;61795;BL0204;BUILDING template;Blauwbroekstraat 1-3_Brouwersvliet 2-4-6;Blauwbroekstraat;3;
ANTWERPEN-WEST - FH02;61797;;BL0204;61797;BL0204;BUILDING template;;Falconplein;2;
ANTWERPEN-WEST - FH02;61798;;BL0204;61798;BL0204;BUILDING template;;Falconplein;4;
ANTWERPEN-WEST - FH02;61799;;BL0204;61799;BL0204;BUILDING template;;Schippersstraat;51;
ANTWERPEN-WEST - FH02;61800;;BL0204;61800;BL0204;BUILDING template;;Schippersstraat;1;
ANTWERPEN-WEST - FH02;61819;;BL0215;61819;BL0215;BUILDING template;;Boterhamstraat;2;
ANTWERPEN-WEST - FH02;61820;;BL0215;61820;BL0215;BUILDING template;;Kaasbrug;1;
ANTWERPEN-WEST - FH02;61821;;BL0215;61821;BL0215;BUILDING template;;Kaasbrug;7;
ANTWERPEN-WEST - FH02;61822;;BL0227;61822;BL0227;BUILDING template;;Predikerinnenstraat;9;
ANTWERPEN-WEST - FH02;61835;;BL0226;61835;BL0226;BUILDING template;;Korte Noordstraat;1;
ANTWERPEN-WEST - FH02;61837;;BL0215;61837;BL0215;BUILDING template;;Falconrui;2;
ANTWERPEN-WEST - FH02;61838;;BL0215;61838;BL0215;BUILDING template;;Falconrui;44;
ANTWERPEN-WEST - FH02;61839;;BL0226;61839;BL0226;BUILDING template;Klapdorp 22-22A_Predikerinnenstraat 3;Klapdorp;22;
ANTWERPEN-WEST - FH02;61842;;BL0215;61842;BL0215;BUILDING template;;Klapdorp;63;
ANTWERPEN-WEST - FH02;61844;;BL0215;61844;BL0215;BUILDING template;;Klapdorp;121;
ANTWERPEN-WEST - FH02;61847;;BL0215;61847;BL0215;BUILDING template;;Falconplein;47;
ANTWERPEN-WEST - FH02;61848;;BL0215;61848;BL0215;BUILDING template;;Falconplein;57;
ANTWERPEN-WEST - FH02;61852;;BL0226;61852;BL0226;BUILDING template;;Mutsaardstraat;14;
ANTWERPEN-WEST - FH02;62094;;BL0209;62094;BL0209;BUILDING template;;Morgenstraat;10;
ANTWERPEN-WEST - FH02;62095;;BL0209;62095;BL0209;BUILDING template;;Morgenstraat;7;
ANTWERPEN-WEST - FH02;62096;;BL0209;62096;BL0209;BUILDING template;;Morgenstraat;1;
ANTWERPEN-WEST - FH02;62119;;BL0209;62119;BL0209;BUILDING template;;Morgenstraat;6;
ANTWERPEN-WEST - FH02;62130;;BL0209;62130;BL0209;BUILDING template;;Stijfselrui;53;
ANTWERPEN-WEST - FH02;62132;;BL0209;62132;BL0209;BUILDING template;Ankerrui 42-44;Ankerrui;44;
ANTWERPEN-WEST - FH02;62133;;BL0209;62133;BL0209;BUILDING template;Ankerrui 42-44;Ankerrui;42;
ANTWERPEN-WEST - FH02;62134;;BL0209;62134;BL0209;BUILDING template;Ankerrui 26-28-30;Ankerrui;26;
ANTWERPEN-WEST - FH02;62135;;BL0209;62135;BL0209;BUILDING template;;Ankerrui;22;
ANTWERPEN-WEST - FH02;62136;;BL0209;62136;BL0209;BUILDING template;;Ankerrui;24;
ANTWERPEN-WEST - FH02;62138;;BL0209;62138;BL0209;BUILDING template;;Ankerrui;40;
ANTWERPEN-WEST - FH02;62139;;BL0209;62139;BL0209;BUILDING template;;Ankerrui;46;
ANTWERPEN-WEST - FH02;62141;;BL0209;62141;BL0209;BUILDING template;;Ankerrui;58;
ANTWERPEN-WEST - FH02;62142;;BL0209;62142;BL0209;BUILDING template;;Ankerrui;20;
ANTWERPEN-WEST - FH02;62143;;BL0209;62143;BL0209;BUILDING template;;Ankerrui;18;
ANTWERPEN-WEST - FH02;62149;;BL0209;62149;BL0209;BUILDING template;;Stijfselstraat;20;
ANTWERPEN-WEST - FH02;62256;;BL0219;62256;BL0219;BUILDING template;;Korte Schipperskapelstraat;4;
ANTWERPEN-WEST - FH02;62257;;BL0216;62257;BL0216;BUILDING template;;Verversrui;2;
ANTWERPEN-WEST - FH02;62258;;BL0217;62258;BL0217;BUILDING template;Verversrui 1-3;Verversrui;1;
ANTWERPEN-WEST - FH02;62259;;BL0216;62259;BL0216;BUILDING template;;Verversrui;36;
ANTWERPEN-WEST - FH02;62262;;BL0218;62262;BL0218;BUILDING template;;Vingerlingstraat;18;
ANTWERPEN-WEST - FH02;62263;;BL0216;62263;BL0216;BUILDING template;;Vingerlingstraat;15;
ANTWERPEN-WEST - FH02;62267;;BL0217;62267;BL0217;BUILDING template;;Vingerlingstraat;1;
ANTWERPEN-WEST - FH02;62268;;BL0204;62268;BL0204;BUILDING template;Blauwbroekstraat 1-3_Brouwersvliet 2-4-6;Blauwbroekstraat;1;
ANTWERPEN-WEST - FH02;62269;;BL0216;62269;BL0216;BUILDING template;Falconplein 42-44;Falconplein;44;
ANTWERPEN-WEST - FH02;62270;;BL0216;62270;BL0216;BUILDING template;;Falconplein;32;
ANTWERPEN-WEST - FH02;62272;;BL0217;62272;BL0217;BUILDING template;;Falconplein;18;
ANTWERPEN-WEST - FH02;62273;;BL0217;62273;BL0217;BUILDING template;Falconplein 20-22;Falconplein;20;
ANTWERPEN-WEST - FH02;62274;;BL0204;62274;BL0204;BUILDING template;;Schippersstraat;11;
ANTWERPEN-WEST - FH02;62275;;BL0217;62275;BL0217;BUILDING template;;Schippersstraat;2;
ANTWERPEN-WEST - FH02;62276;;BL0217;62276;BL0217;BUILDING template;;Schippersstraat;42;
ANTWERPEN-WEST - FH02;62277;;BL0216;62277;BL0216;BUILDING template;;Leguit;1;
ANTWERPEN-WEST - FH02;62278;;BL0216;62278;BL0216;BUILDING template;;Kommekensstraat;1;
ANTWERPEN-WEST - FH02;62279;;BL0216;62279;BL0216;BUILDING template;;Kommekensstraat;19;
ANTWERPEN-WEST - FH02;62281;;BL0216;62281;BL0216;BUILDING template;;Leguit;29;
ANTWERPEN-WEST - FH02;62544;;BL0202;62544;BL0202;BUILDING template;;Adriaan Brouwerstraat;20;
ANTWERPEN-WEST - FH02;62547;;BL0202;62547;BL0202;BUILDING template;;Brouwersvliet;23;
ANTWERPEN-WEST - FH02;62549;;BL0202;62549;BL0202;BUILDING template;;Brouwersvliet;19;
ANTWERPEN-WEST - FH02;63153;;BL0214;63153;BL0214;BUILDING template;;Paardenmarkt;1;
ANTWERPEN-WEST - FH02;63154;;BL0214;63154;BL0214;BUILDING template;;Paardenmarkt;21;
ANTWERPEN-WEST - FH02;63155;;BL0214;63155;BL0214;BUILDING template;;Paardenmarkt;27;
ANTWERPEN-WEST - FH02;63156;;BL0214;63156;BL0214;BUILDING template;Paardenmarkt 31-33;Paardenmarkt;31;
ANTWERPEN-WEST - FH02;63157;;BL0214;63157;BL0214;BUILDING template;;Paardenmarkt;57;
ANTWERPEN-WEST - FH02;63158;;BL0207;63158;BL0207;BUILDING template;;Falconrui;71;
ANTWERPEN-WEST - FH02;63159;;BL0206;63159;BL0206;BUILDING template;;Falconrui;39;
ANTWERPEN-WEST - FH02;63161;;BL0214;63161;BL0214;BUILDING template;Falconrui 84_Hessenbrug 2;Falconrui;84;
ANTWERPEN-WEST - FH02;63164;;BL0214;63164;BL0214;BUILDING template;;Hessenbrug;6;
ANTWERPEN-WEST - FH02;63165;;BL0213;63165;BL0213;BUILDING template;;Hessenbrug;1;
ANTWERPEN-WEST - FH02;63166;;BL0206;63166;BL0206;BUILDING template;;Generaal Belliardstraat;33;
ANTWERPEN-WEST - FH02;63167;;BL0206;63167;BL0206;BUILDING template;;Generaal Belliardstraat;27;
ANTWERPEN-WEST - FH02;63168;;BL0206;63168;BL0206;BUILDING template;;Generaal Belliardstraat;21;
ANTWERPEN-WEST - FH02;63171;;BL0206;63171;BL0206;BUILDING template;Oudeleeuwenrui 32-34-34A-34B-34C-34D-36-40;Oudeleeuwenrui;32;
ANTWERPEN-WEST - FH02;63172;;BL0206;63172;BL0206;BUILDING template;Oudeleeuwenrui 46-48;Oudeleeuwenrui;46;
ANTWERPEN-WEST - FH02;63174;;BL0206;63174;BL0206;BUILDING template;Oudeleeuwenrui 56-58;Oudeleeuwenrui;56;
