Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;1028357;;1028357;BL0001;BL0001;BUILDING template;Amerikalei;210;
ANTWERPEN-WEST - FH10;1028358;;1028358;BL0001;BL0001;BUILDING template;Amerikalei;212;
ANTWERPEN-WEST - FH10;1028359;;1028359;BL0001;BL0001;BUILDING template;Amerikalei;226;
ANTWERPEN-WEST - FH10;1028361;;1028361;BL0001;BL0001;BUILDING template;Amerikalei;214;
ANTWERPEN-WEST - FH10;1028362;;1028362;BL0001;BL0001;BUILDING template;Amerikalei;198;
ANTWERPEN-WEST - FH10;1028363;;1028363;BL0001;BL0001;BUILDING template;Baron Dhanislaan;4;
ANTWERPEN-WEST - FH10;1028364;;1028364;BL0001;BL0001;BUILDING template;Baron Dhanislaan;2;
ANTWERPEN-WEST - FH10;1028365;;1028365;BL0001;BL0001;BUILDING template;Baron Dhanislaan;18;
ANTWERPEN-WEST - FH10;1028366;;1028366;BL0001;BL0001;BUILDING template;Baron Dhanislaan;16;
ANTWERPEN-WEST - FH10;1028367;;1028367;BL0001;BL0001;BUILDING template;Emiel Banningstraat;15;
ANTWERPEN-WEST - FH10;1028368;;1028368;BL0001;BL0001;BUILDING template;Emiel Banningstraat;53;
ANTWERPEN-WEST - FH10;1028369;;1028369;BL0002;BL0002;BUILDING template;Emiel Banningstraat;58;
ANTWERPEN-WEST - FH10;1028370;;1028370;BL0002;BL0002;BUILDING template;Emiel Banningstraat;20;
ANTWERPEN-WEST - FH10;1028371;;1028371;BL0002;BL0002;BUILDING template;Bolivarplaats;2;
ANTWERPEN-WEST - FH10;1028372;;1028372;BL0001;BL0001;BUILDING template;Bolivarplaats;4;
ANTWERPEN-WEST - FH10;1028378;;1028378;BL0002;BL0002;BUILDING template;Gijzelaarsstraat;35;
ANTWERPEN-WEST - FH10;1028386;;1028386;BL0001;BL0001;BUILDING template;Bolivarplaats;3;
ANTWERPEN-WEST - FH10;1028389;;1028389;BL0002;BL0002;BUILDING template;Pacificatiestraat;34;
ANTWERPEN-WEST - FH10;1028390;;1028390;BL0002;BL0002;BUILDING template;Pacificatiestraat;18;
ANTWERPEN-WEST - FH10;1101798;;1101798;BL0003;BL0003;BUILDING template;Pacificatiestraat;47;
ANTWERPEN-WEST - FH10;1101799;;1101799;BL0003;BL0003;BUILDING template;Pacificatiestraat;45;
ANTWERPEN-WEST - FH10;1101800;;1101800;BL0013;BL0013;BUILDING template;Amerikalei;104;
ANTWERPEN-WEST - FH10;1101808;;1101808;BL0026;BL0026;BUILDING template;Verbondstraat;103;
ANTWERPEN-WEST - FH10;1101809;;1101809;BL0026;BL0026;BUILDING template;Amerikalei;78;
ANTWERPEN-WEST - FH10;1101811;;1101811;BL0023;BL0023;BUILDING template;Verbondstraat;52;
ANTWERPEN-WEST - FH10;1101812;;1101812;BL0023;BL0023;BUILDING template;Tolstraat;3;
ANTWERPEN-WEST - FH10;1101813;;1101813;BL0019;BL0019;BUILDING template;Scheldestraat;101;
ANTWERPEN-WEST - FH10;1101825;;1101825;BL0019;BL0019;BUILDING template;Geuzenstraat;4;
ANTWERPEN-WEST - FH10;1139888;;1139888;BL0034;BL0034;BUILDING template;Louizastraat;29;
ANTWERPEN-WEST - FH10;1139890;;1139890;BL0033;BL0033;BUILDING template;Louizastraat;17;
ANTWERPEN-WEST - FH10;1139891;;1139891;BL0033;BL0033;BUILDING template;Louizastraat;1;
ANTWERPEN-WEST - FH10;1139893;;1139893;BL0035;BL0035;BUILDING template;Louizastraat;31;
ANTWERPEN-WEST - FH10;1139894;;1139894;BL0034;BL0034;BUILDING template;Brabantstraat;3;
ANTWERPEN-WEST - FH10;1139895;;1139895;BL0034;BL0034;BUILDING template;Brabantstraat;1;
ANTWERPEN-WEST - FH10;1139896;;1139896;BL0035;BL0035;BUILDING template;Brabantstraat;2;
ANTWERPEN-WEST - FH10;1139897;;1139897;BL0034;BL0034;BUILDING template;Brabantstraat;5;
ANTWERPEN-WEST - FH10;1139899;;1139899;BL0037;BL0037;BUILDING template;Kiliaanstraat;2;
