Projectnummer;LU Key;LAM MK;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;726177;726177;10;BL0107;BL0107;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;30;
EVERE - FH01;1621736;1621736;10;BL0107;BL0107;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;34;
EVERE - FH01;4108148;4108148;10;BL0107;BL0107;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;36;
EVERE - FH01;1621739;1621739;10;BL0107;BL0107;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;38;
EVERE - FH01;726176;726176;10;BL0107;BL0107;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;40;
EVERE - FH01;726182;726182;10;BL0107;BL0107;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;61;
EVERE - FH01;1621773;1621773;10;BL0107;BL0107;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;63;
EVERE - FH01;1621774;1621774;10;BL0107;BL0107;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;65;
EVERE - FH01;1621775;1621775;10;BL0107;BL0107;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;67;
EVERE - FH01;726183;726183;10;BL0107;BL0107;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;69;
EVERE - FH01;726178;726178;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;97;
EVERE - FH01;1621037;1621037;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;99;
EVERE - FH01;1621039;1621039;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;101;
EVERE - FH01;1621041;1621041;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;103;
EVERE - FH01;1621043;1621043;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;105;
EVERE - FH01;1621045;1621045;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;107;
EVERE - FH01;1621046;1621046;10;BL0107;BL0107;BUILDING template;Maquisstraat - Rue du Maquis;109;
