Projectnummer;LAM MK;LU Key;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;1620951;1620951;6;BL0103;BL0103;BUILDING template;Chaussée de Louvain - Leuvensesteenweg;1024;
EVERE - FH01;1620954;1620954;6;BL0103;BL0103;BUILDING template;Chaussée de Louvain - Leuvensesteenweg;1028;
EVERE - FH01;5583151;5583151;6;BL0103;BL0103;BUILDING template;Chaussée de Louvain - Leuvensesteenweg;1048;
EVERE - FH01;1120055;1120055;5;BL0117;BL0117;BUILDING template;Chaussée de Louvain - Leuvensesteenweg;835;
EVERE - FH01;5866855;5866855;3;BL0118;BL0118;BUILDING template;Avenue Cicéron - Cicerolaan;7;
EVERE - FH01;5942689;5942689;3;BL0118;BL0118;BUILDING template;Avenue Cicéron - Cicerolaan;11;
EVERE - FH01;6034050;6034050;3;BL0118;BL0118;BUILDING template;Avenue Cicéron - Cicerolaan;13;
EVERE - FH01;5926158;5926158;3;BL0118;BL0118;BUILDING template;Avenue Cicéron - Cicerolaan;15;
EVERE - FH01;6563223;6563223;3;BL0118;BL0118;BUILDING template;Rue des Deux Maisons - Twee Huizenstraat;53;
EVERE - FH01;1620920;1620920;3;BL0118;BL0118;BUILDING template;Chaussée de Louvain - Leuvensesteenweg;949;
EVERE - FH01;4107019;4107019;2;BL0125;BL0125;BUILDING template;Avenue des Anciens Combattants - Oud-Strijderslaan;198;
EVERE - FH01;4118426;4118426;2;BL0125;BL0125;BUILDING template;Avenue des Anciens Combattants - Oud-Strijderslaan;220;
EVERE - FH01;584103;584103;2;BL0125;BL0125;BUILDING template;Avenue des Anciens Combattants - Oud-Strijderslaan;250;
EVERE - FH01;4110642;4110642;2;BL0125;BL0125;BUILDING template;Avenue des Anciens Combattants - Oud-Strijderslaan;264;
EVERE - FH01;726581;726581;6;BL0103;BL0103;BUILDING template;Avenue des Communautés - Gemeenschappenlaan;4;
EVERE - FH01;1624087;1624087;6;BL0103;BL0103;BUILDING template;Avenue des Communautés - Gemeenschappenlaan;6;
EVERE - FH01;6476845;6476845;6;BL0103;BL0103;BUILDING template;Avenue des Communautés - Gemeenschappenlaan;12;
EVERE - FH01;4119465;4119465;10;BL0105;BL0105;BUILDING template;Avenue du V-Day - V-Daylaan;22;A
EVERE - FH01;1622159;1622159;8;BL0113;BL0113;BUILDING template;Rue Saint-Joseph - Sint-Jozefstraat;27;
EVERE - FH01;1623872;1623872;9;BL0121;BL0121;BUILDING template;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;153;A
EVERE - FH01;1137197;1137197;10;BL0105;BL0105;BUILDING template;Rue Colonel Bourg - Kolonel Bourgstraat;134;
EVERE - FH01;6596261;6596261;1;BL0128;BL0128;BUILDING template;Rue Edgard Degas - Edgar Degas straat;1;
EVERE - FH01;1621090;1621090;8;BL0115;BL0115;BUILDING template;Optimismelaan - Avenue de l'Optimisme;3;
EVERE - FH01;1621092;1621092;8;BL0115;BL0115;BUILDING template;Optimismelaan - Avenue de l'Optimisme;5;
EVERE - FH01;6574486;6574486;3;BL0118;BL0118;BUILDING template;Avenue Cicéron - Cicerolaan;7;B
EVERE - FH01;731601;731601;7;BL0125;BL0125;BUILDING template;"Rue de l&apos;Arbre Unique - Eenboomstraat";100;
EVERE - FH01;1623842;1623842;5;BL0117;BL0117;BUILDING template;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;52;
