Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH03;1623732;;BL0315;1623732;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;4;
EVERE - FH03;3916143;;BL0314;3916143;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;5;
EVERE - FH03;1623733;;BL0315;1623733;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;6;
EVERE - FH03;1623734;;BL0314;1623734;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;7;
EVERE - FH03;1623735;;BL0315;1623735;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;8;
EVERE - FH03;1623736;;BL0314;1623736;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;9;
EVERE - FH03;4106725;;BL0315;4106725;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;10;
EVERE - FH03;1623737;;BL0314;1623737;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;11;
EVERE - FH03;1623738;;BL0315;1623738;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;12;
EVERE - FH03;1623739;;BL0314;1623739;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;13;
EVERE - FH03;1623740;;BL0315;1623740;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;14;
EVERE - FH03;1623741;;BL0314;1623741;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;15;
EVERE - FH03;1623742;;BL0315;1623742;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;16;
EVERE - FH03;1623743;;BL0314;1623743;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;17;
EVERE - FH03;1623744;;BL0315;1623744;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;18;
EVERE - FH03;1623745;;BL0315;1623745;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;20;
EVERE - FH03;1623746;;BL0314;1623746;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;21;
EVERE - FH03;1623747;;BL0315;1623747;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;22;
EVERE - FH03;1623748;;BL0314;1623748;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;23;
EVERE - FH03;1623749;;BL0315;1623749;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;24;
EVERE - FH03;1623750;;BL0314;1623750;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;25;
EVERE - FH03;1623751;;BL0315;1623751;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;26;
EVERE - FH03;1623752;;BL0314;1623752;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;27;
EVERE - FH03;1623753;;BL0315;1623753;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;28;
EVERE - FH03;1623755;;BL0314;1623755;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;29;
EVERE - FH03;1623756;;BL0315;1623756;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;30;
EVERE - FH03;1623757;;BL0314;1623757;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;31;
EVERE - FH03;1623758;;BL0315;1623758;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;32;
EVERE - FH03;1623759;;BL0314;1623759;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;33;
EVERE - FH03;4004251;;BL0315;4004251;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;34;
EVERE - FH03;1623760;;BL0314;1623760;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;35;
EVERE - FH03;1623761;;BL0315;1623761;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;36;
EVERE - FH03;1623762;;BL0314;1623762;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;37;
EVERE - FH03;1623763;;BL0315;1623763;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;38;
EVERE - FH03;1623764;;BL0314;1623764;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;39;
EVERE - FH03;1623765;;BL0315;1623765;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;40;
EVERE - FH03;1623766;;BL0314;1623766;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;41;
EVERE - FH03;1623767;;BL0315;1623767;BL0315;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;42;
EVERE - FH03;1623768;;BL0314;1623768;BL0314;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;43;
EVERE - FH03;828533;;BL0321;828533;BL0321;BUILDING template;A Vanden Bosschestraat 48_Onze Lieve Vrouwlaan 134;A. Vanden Bosschestraat - Rue A. Vanden Bossche;48;
EVERE - FH03;828532;;BL0321;828532;BL0321;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;50;
EVERE - FH03;1623769;;BL0321;1623769;BL0321;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;52;
EVERE - FH03;25034;;BL0322;25034;BL0322;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;58;
EVERE - FH03;1623770;;BL0322;1623770;BL0322;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;60;
EVERE - FH03;1623771;;BL0323;1623771;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;61;
EVERE - FH03;1364233;;BL0322;1364233;BL0322;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;62;
EVERE - FH03;1623773;;BL0323;1623773;BL0323;BUILDING template;A Vanden Bosschestraat 63-65;A. Vanden Bosschestraat - Rue A. Vanden Bossche;63;
EVERE - FH03;1623776;;BL0322;1623776;BL0322;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;64;
EVERE - FH03;4106903;;BL0323;4106903;BL0323;BUILDING template;A Vanden Bosschestraat 63-65;A. Vanden Bosschestraat - Rue A. Vanden Bossche;65;
EVERE - FH03;1623777;;BL0322;1623777;BL0322;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;66;
EVERE - FH03;1623778;;BL0323;1623778;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;67;
EVERE - FH03;832055;;BL0322;832055;BL0322;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;68;
EVERE - FH03;1623780;;BL0323;1623780;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;69;
EVERE - FH03;1623781;;BL0323;1623781;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;71;
EVERE - FH03;1623782;;BL0323;1623782;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;73;
EVERE - FH03;1623783;;BL0323;1623783;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;75;
EVERE - FH03;1623784;;BL0323;1623784;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;77;
EVERE - FH03;1623785;;BL0323;1623785;BL0323;BUILDING template;;A. Vanden Bosschestraat - Rue A. Vanden Bossche;79;
EVERE - FH03;78004;;BL0316;78004;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;23;
EVERE - FH03;78001;;BL0317;78001;BL0317;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;24;
EVERE - FH03;1623786;;BL0316;1623786;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;25;
EVERE - FH03;1623787;;BL0317;1623787;BL0317;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;26;
EVERE - FH03;1623788;;BL0316;1623788;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;27;
EVERE - FH03;78002;;BL0317;78002;BL0317;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;28;
EVERE - FH03;1623789;;BL0316;1623789;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;29;
EVERE - FH03;1623790;;BL0316;1623790;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;31;
EVERE - FH03;78003;;BL0316;78003;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;33;
EVERE - FH03;830571;;BL0316;830571;BL0316;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;35;
EVERE - FH03;4273938;;BL0319;4273938;BL0319;BUILDING template;Languedocwandelwegen 38-40;Adolf De Brandtstraat - Rue Adolphe De Brandt;38;
EVERE - FH03;828182;;BL0320;828182;BL0320;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;39;
EVERE - FH03;5610442;;BL0319;5610442;BL0319;BUILDING template;Languedocwandelwegen 38-40;Adolf De Brandtstraat - Rue Adolphe De Brandt;40;
EVERE - FH03;1623791;;BL0320;1623791;BL0320;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;41;
EVERE - FH03;78005;;BL0319;78005;BL0319;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;42;
EVERE - FH03;1623792;;BL0320;1623792;BL0320;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;43;
EVERE - FH03;78007;;BL0319;78007;BL0319;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;44;
EVERE - FH03;4117553;;BL0320;4117553;BL0320;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;45;
EVERE - FH03;1623793;;BL0319;1623793;BL0319;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;46;
EVERE - FH03;1623794;;BL0320;1623794;BL0320;BUILDING template;;Adolf De Brandtstraat - Rue Adolphe De Brandt;47;
