Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH04;1015910;1;BL0014;1015910;BL0014;BUILDING template;H. Van Hammestraat - Rue H. Van Hamme;1;
EVERE - FH04;1109236;1;BL0042;1109236;BL0042;BUILDING template;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;92;
EVERE - FH04;1109238;1;BL0042;1109238;BL0042;BUILDING template;Sint-Vincentiusstraat - Rue Saint-Vincent;132;
EVERE - FH04;1109239;1;BL0042;1109239;BL0042;BUILDING template;Sint-Vincentiusstraat - Rue Saint-Vincent;130;
EVERE - FH04;1109240;1;BL0042;1109240;BL0042;BUILDING template;Sint-Vincentiusstraat - Rue Saint-Vincent;116;
EVERE - FH04;1109242;1;BL0042;1109242;BL0042;BUILDING template;Sint-Vincentiusstraat - Rue Saint-Vincent;122;
EVERE - FH04;1109243;1;BL0042;1109243;BL0042;BUILDING template;Sint-Vincentiusstraat - Rue Saint-Vincent;124;
EVERE - FH04;1109244;1;BL0039;1109244;BL0039;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;1083;
EVERE - FH04;1109245;1;BL0039;1109245;BL0039;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;1061;
EVERE - FH04;1109247;1;BL0042;1109247;BL0042;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;1113;
EVERE - FH04;1109249;1;BL0042;1109249;BL0042;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;1085;
EVERE - FH04;1109253;1;BL0042;1109253;BL0042;BUILDING template;Vliegpleinstraat -Rue Plaine d Aviation;65;
EVERE - FH04;1109254;1;BL0042;1109254;BL0042;BUILDING template;Vliegpleinstraat -Rue Plaine d Aviation;81;
EVERE - FH04;1109256;1;BL0042;1109256;BL0042;BUILDING template;Vliegpleinstraat -Rue Plaine d Aviation;79;
EVERE - FH04;1126334;1;BL0001;1126334;BL0001;BUILDING template;Carlistraat - Rue Carli;5;
EVERE - FH04;1127287;1;BL0032;1127287;BL0032;BUILDING template;P. Mattheussensstraat - Rue Pierre Mattheussens;2;
EVERE - FH04;1129015;1;BL0032;1129015;BL0032;BUILDING template;W. Van Perckstraat - Rue Willebrord Van Perck;120;
EVERE - FH04;1129018;1;BL0032;1129018;BL0032;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;819;
EVERE - FH04;1129025;1;BL0044;1129025;BL0044;BUILDING template;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;112;
EVERE - FH04;1129026;1;BL0003;1129026;BL0003;BUILDING template;Picardiestraat - Rue Picardie;21;
EVERE - FH04;1129036;1;BL0044;1129036;BL0044;BUILDING template;Haachtsesteenweg - Chaussee de Haecht;1163;
EVERE - FH04;1129038;1;BL0010;1129038;BL0010;BUILDING template;Goede Herderstraat - Rue du Bon Pasteur;51;
EVERE - FH04;1171917;1;BL0029;1171917;BL0029;BUILDING template;Frans Pepermansstraat - Rue Frans Pepermans;24;
EVERE - FH04;1182778;1;BL0027;1182778;BL0027;BUILDING template;Edward Dekosterstraat - Rue Edouard Dekoster;30;
EVERE - FH04;1184661;1;BL0040;1184661;BL0040;BUILDING template;Herlevingslaan - Avenue du Renouveau;28;
EVERE - FH04;1194201;1;BL0030;1194201;BL0030;BUILDING template;P. Van Obberghenstraat - Rue P. Van Obberghen;22;
EVERE - FH04;1218639;1;BL0016;1218639;BL0016;BUILDING template;H. Van Hoordestraat - Rue H. Van Hoorde;9;
EVERE - FH04;1267496;1;BL0035;1267496;BL0035;BUILDING template;P. Van Obberghenstraat - Rue P. Van Obberghen;35;
EVERE - FH04;1268240;1;BL0024;1268240;BL0024;BUILDING template;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;58;
EVERE - FH04;1268668;1;BL0015;1268668;BL0015;BUILDING template;H. Van Hammestraat - Rue H. Van Hamme;44;
EVERE - FH04;1277708;1;BL0035;1277708;BL0035;BUILDING template;Frans Pepermansstraat - Rue Frans Pepermans;50;
EVERE - FH04;1286137;1;BL0018;1286137;BL0018;BUILDING template;Marnedal - Val de Marne;7;
EVERE - FH04;1293199;1;BL0010;1293199;BL0010;BUILDING template;Goede Herderstraat - Rue du Bon Pasteur;55;
EVERE - FH04;1307941;1;BL0036;1307941;BL0036;BUILDING template;P. Hauwaertssquare - Square Pierre Hauwaerts;26;
EVERE - FH04;1322596;1;BL0012;1322596;BL0012;BUILDING template;P. Aldersonstraat - Rue P. Alderson;15;
EVERE - FH04;1323252;1;BL0015;1323252;BL0015;BUILDING template;Edward Stuckensstraat - Rue Edouard Stuckens;63;
EVERE - FH04;1323596;1;BL0007;1323596;BL0007;BUILDING template;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;17;
EVERE - FH04;1323876;1;BL0035;1323876;BL0035;BUILDING template;Jaak Ballingsstraat - Rue Jacques Ballings;6;
EVERE - FH04;1323877;1;BL0034;1323877;BL0034;BUILDING template;P. Van Obberghenstraat - Rue P. Van Obberghen;49;
EVERE - FH04;1323919;1;BL0018;1323919;BL0018;BUILDING template;Vredeplein - Place de la Paix;10;
EVERE - FH04;1323924;1;BL0036;1323924;BL0036;BUILDING template;P. Hauwaertssquare - Square Pierre Hauwaerts;5;
EVERE - FH04;1323925;1;BL0036;1323925;BL0036;BUILDING template;P. Hauwaertssquare - Square Pierre Hauwaerts;28;
EVERE - FH04;1324066;1;BL0007;1324066;BL0007;BUILDING template;Houtweg - Chemin Du Bois;52;
EVERE - FH04;1324208;1;BL0035;1324208;BL0035;BUILDING template;H. Van Neromstraat - Rue H. Van Nerom;15;
