Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH05;2407163;1;BL0001;2407163;BL0001;BUILDING template;Anne Frankplein 1-3-4-5-6;Anne Frankplein;1;
HASSELT - FH05;2407166;1;BL0001;2407166;BL0001;BUILDING template;Anne Frankplein 1-3-4-5-6;Anne Frankplein;3;
HASSELT - FH05;2407169;1;BL0001;2407169;BL0001;BUILDING template;Anne Frankplein 1-3-4-5-6;Anne Frankplein;4;
HASSELT - FH05;2407170;1;BL0001;2407170;BL0001;BUILDING template;Anne Frankplein 1-3-4-5-6;Anne Frankplein;5;
HASSELT - FH05;2407172;1;BL0001;2407172;BL0001;BUILDING template;Anne Frankplein 1-3-4-5-6;Anne Frankplein;6;
HASSELT - FH05;3937179;1;BL0001;3937179;BL0001;BUILDING template;Anne Frankplein 7-8-9-10-11;Anne Frankplein;7;
HASSELT - FH05;2407173;1;BL0001;2407173;BL0001;BUILDING template;Anne Frankplein 7-8-9-10-11;Anne Frankplein;8;
HASSELT - FH05;2407175;1;BL0001;2407175;BL0001;BUILDING template;Anne Frankplein 7-8-9-10-11;Anne Frankplein;9;
HASSELT - FH05;2407176;1;BL0001;2407176;BL0001;BUILDING template;Anne Frankplein 7-8-9-10-11;Anne Frankplein;10;
HASSELT - FH05;1323149;1;BL0001;1323149;BL0001;BUILDING template;Anne Frankplein 7-8-9-10-11;Anne Frankplein;11;
HASSELT - FH05;2407181;1;BL0001;2407181;BL0001;BUILDING template;Anne Frankplein 12-13-14-15-16-17;Anne Frankplein;12;
HASSELT - FH05;2407182;1;BL0001;2407182;BL0001;BUILDING template;Anne Frankplein 12-13-14-15-16-17;Anne Frankplein;13;
HASSELT - FH05;2407184;1;BL0001;2407184;BL0001;BUILDING template;Anne Frankplein 12-13-14-15-16-17;Anne Frankplein;14;
HASSELT - FH05;2407186;1;BL0001;2407186;BL0001;BUILDING template;Anne Frankplein 12-13-14-15-16-17;Anne Frankplein;15;
HASSELT - FH05;2407189;1;BL0001;2407189;BL0001;BUILDING template;Anne Frankplein 12-13-14-15-16-17;Anne Frankplein;16;
HASSELT - FH05;2407191;1;BL0001;2407191;BL0001;BUILDING template;Anne Frankplein 12-13-14-15-16-17;Anne Frankplein;17;
HASSELT - FH05;2412553;1;BL0006;2412553;BL0006;BUILDING template;;Danielsstraat;1;
HASSELT - FH05;2412555;1;BL0005;2412555;BL0005;BUILDING template;;Danielsstraat;2;
HASSELT - FH05;328547;1;BL0006;328547;BL0006;BUILDING template;;Danielsstraat;3;
HASSELT - FH05;2412560;1;BL0006;2412560;BL0006;BUILDING template;;Danielsstraat;7;
HASSELT - FH05;2412563;1;BL0005;2412563;BL0005;BUILDING template;;Danielsstraat;8;
HASSELT - FH05;2412565;1;BL0006;2412565;BL0006;BUILDING template;;Danielsstraat;9;
HASSELT - FH05;2412568;1;BL0006;2412568;BL0006;BUILDING template;;Danielsstraat;11;
HASSELT - FH05;328548;1;BL0004;328548;BL0004;BUILDING template;;Danielsstraat;12;
HASSELT - FH05;2412572;1;BL0006;2412572;BL0006;BUILDING template;;Danielsstraat;13;
HASSELT - FH05;2412574;1;BL0004;2412574;BL0004;BUILDING template;;Danielsstraat;14;
HASSELT - FH05;4201644;1;BL0006;4201644;BL0006;BUILDING template;;Danielsstraat;15;
HASSELT - FH05;2412575;1;BL0004;2412575;BL0004;BUILDING template;;Danielsstraat;16;
HASSELT - FH05;2412577;1;BL0006;2412577;BL0006;BUILDING template;;Danielsstraat;17;
HASSELT - FH05;2412580;1;BL0004;2412580;BL0004;BUILDING template;;Danielsstraat;18;
HASSELT - FH05;2412582;1;BL0006;2412582;BL0006;BUILDING template;;Danielsstraat;19;
HASSELT - FH05;328549;1;BL0006;328549;BL0006;BUILDING template;;Danielsstraat;21;
HASSELT - FH05;4182542;1;BL0004;4182542;BL0004;BUILDING template;;Danielsstraat;22;
HASSELT - FH05;2412585;1;BL0006;2412585;BL0006;BUILDING template;;Danielsstraat;23;
HASSELT - FH05;2412588;1;BL0004;2412588;BL0004;BUILDING template;;Danielsstraat;24;
HASSELT - FH05;328551;1;BL0006;328551;BL0006;BUILDING template;;Danielsstraat;25;
HASSELT - FH05;328550;1;BL0004;328550;BL0004;BUILDING template;;Danielsstraat;26;
HASSELT - FH05;2412591;1;BL0006;2412591;BL0006;BUILDING template;;Danielsstraat;27;
HASSELT - FH05;2412594;1;BL0006;2412594;BL0006;BUILDING template;;Danielsstraat;29;
HASSELT - FH05;2412597;1;BL0006;2412597;BL0006;BUILDING template;;Danielsstraat;31;
HASSELT - FH05;2405870;1;BL0003;2405870;BL0003;BUILDING template;;Gouverneur Roppesingel;131;
HASSELT - FH05;2405872;1;BL0003;2405872;BL0003;BUILDING template;Gouverneur Roppesingel 133-135_Oude Luikerbaan 160;Gouverneur Roppesingel;133;
HASSELT - FH05;3937166;1;BL0003;3937166;BL0003;BUILDING template;Gouverneur Roppesingel 133-135_Oude Luikerbaan 160;Gouverneur Roppesingel;135;
HASSELT - FH05;2405875;1;BL0006;2405875;BL0006;BUILDING template;Gouverneur Roppesingel 165_Luikersteenweg 230-232;Gouverneur Roppesingel;165;
HASSELT - FH05;328580;1;BL0003;328580;BL0003;BUILDING template;;Herfststraat;1;
HASSELT - FH05;4896901;1;BL0003;4896901;BL0003;BUILDING template;;Herfststraat;2;
HASSELT - FH05;4896902;1;BL0003;4896902;BL0003;BUILDING template;;Herfststraat;3;
HASSELT - FH05;328582;1;BL0003;328582;BL0003;BUILDING template;;Herfststraat;6;
HASSELT - FH05;2407321;1;BL0003;2407321;BL0003;BUILDING template;;Herfststraat;7;
HASSELT - FH05;2407322;1;BL0003;2407322;BL0003;BUILDING template;;Herfststraat;8;
HASSELT - FH05;4896844;1;BL0003;4896844;BL0003;BUILDING template;;Herfststraat;9;
HASSELT - FH05;328377;1;BL0003;328377;BL0003;BUILDING template;;Kroonwinningstraat;1;
HASSELT - FH05;328376;1;BL0002;328376;BL0002;BUILDING template;;Kroonwinningstraat;2;
HASSELT - FH05;2423284;1;BL0003;2423284;BL0003;BUILDING template;;Kroonwinningstraat;3;
HASSELT - FH05;2423285;1;BL0002;2423285;BL0002;BUILDING template;;Kroonwinningstraat;4;
HASSELT - FH05;2423287;1;BL0003;2423287;BL0003;BUILDING template;;Kroonwinningstraat;5;
HASSELT - FH05;2423288;1;BL0002;2423288;BL0002;BUILDING template;;Kroonwinningstraat;6;
HASSELT - FH05;1366867;1;BL0003;1366867;BL0003;BUILDING template;;Kroonwinningstraat;7;
HASSELT - FH05;2423291;1;BL0003;2423291;BL0003;BUILDING template;;Kroonwinningstraat;7;A
HASSELT - FH05;2423293;1;BL0002;2423293;BL0002;BUILDING template;;Kroonwinningstraat;8;
HASSELT - FH05;2423296;1;BL0003;2423296;BL0003;BUILDING template;;Kroonwinningstraat;9;
HASSELT - FH05;328378;1;BL0002;328378;BL0002;BUILDING template;;Kroonwinningstraat;10;
HASSELT - FH05;4896918;1;BL0003;4896918;BL0003;BUILDING template;;Kroonwinningstraat;11;
HASSELT - FH05;328379;1;BL0002;328379;BL0002;BUILDING template;;Kroonwinningstraat;12;
HASSELT - FH05;328380;1;BL0002;328380;BL0002;BUILDING template;;Kroonwinningstraat;14;
HASSELT - FH05;2423298;1;BL0003;2423298;BL0003;BUILDING template;;Kroonwinningstraat;15;
HASSELT - FH05;2423299;1;BL0003;2423299;BL0003;BUILDING template;;Kroonwinningstraat;21;
HASSELT - FH05;4897771;1;BL0003;4897771;BL0003;BUILDING template;;Kroonwinningstraat;23;
HASSELT - FH05;328381;1;BL0003;328381;BL0003;BUILDING template;;Kroonwinningstraat;25;
HASSELT - FH05;2423301;1;BL0003;2423301;BL0003;BUILDING template;;Kroonwinningstraat;27;
HASSELT - FH05;4896766;1;BL0002;4896766;BL0002;BUILDING template;;Kroonwinningstraat;28;
HASSELT - FH05;3937439;1;BL0002;3937439;BL0002;BUILDING template;;Kroonwinningstraat;30;
HASSELT - FH05;2423305;1;BL0003;2423305;BL0003;BUILDING template;;Kroonwinningstraat;31;
HASSELT - FH05;2423306;1;BL0002;2423306;BL0002;BUILDING template;;Kroonwinningstraat;32;
HASSELT - FH05;4896769;1;BL0002;4896769;BL0002;BUILDING template;;Kroonwinningstraat;34;
HASSELT - FH05;4896770;1;BL0002;4896770;BL0002;BUILDING template;;Kroonwinningstraat;36;
HASSELT - FH05;2423307;1;BL0002;2423307;BL0002;BUILDING template;;Kroonwinningstraat;38;
HASSELT - FH05;4896772;1;BL0002;4896772;BL0002;BUILDING template;;Kroonwinningstraat;40;
HASSELT - FH05;2423310;1;BL0003;2423310;BL0003;BUILDING template;;Kroonwinningstraat;41;
HASSELT - FH05;2423313;1;BL0002;2423313;BL0002;BUILDING template;;Kroonwinningstraat;42;
HASSELT - FH05;2423318;1;BL0003;2423318;BL0003;BUILDING template;;Kroonwinningstraat;43;
HASSELT - FH05;4093037;1;BL0003;4093037;BL0003;BUILDING template;;Kroonwinningstraat;43;A
HASSELT - FH05;2423320;1;BL0002;2423320;BL0002;BUILDING template;;Kroonwinningstraat;44;
HASSELT - FH05;2423323;1;BL0003;2423323;BL0003;BUILDING template;;Kroonwinningstraat;45;
HASSELT - FH05;2423325;1;BL0002;2423325;BL0002;BUILDING template;;Kroonwinningstraat;46;
HASSELT - FH05;328382;1;BL0002;328382;BL0002;BUILDING template;;Kroonwinningstraat;48;
HASSELT - FH05;2423328;1;BL0003;2423328;BL0003;BUILDING template;;Kroonwinningstraat;49;
HASSELT - FH05;2423331;1;BL0002;2423331;BL0002;BUILDING template;;Kroonwinningstraat;50;
HASSELT - FH05;2423335;1;BL0003;2423335;BL0003;BUILDING template;;Kroonwinningstraat;51;
HASSELT - FH05;4897827;1;BL0002;4897827;BL0002;BUILDING template;;Kroonwinningstraat;52;
HASSELT - FH05;2423337;1;BL0003;2423337;BL0003;BUILDING template;;Kroonwinningstraat;53;
HASSELT - FH05;2423340;1;BL0002;2423340;BL0002;BUILDING template;;Kroonwinningstraat;54;
HASSELT - FH05;708707;1;BL0003;708707;BL0003;BUILDING template;;Kroonwinningstraat;55;
HASSELT - FH05;3959995;1;BL0003;3959995;BL0003;BUILDING template;;Kroonwinningstraat;57;
HASSELT - FH05;2423343;1;BL0003;2423343;BL0003;BUILDING template;;Kroonwinningstraat;57;A
HASSELT - FH05;328385;1;BL0002;328385;BL0002;BUILDING template;;Kroonwinningstraat;58;
HASSELT - FH05;4897797;1;BL0003;4897797;BL0003;BUILDING template;;Kroonwinningstraat;59;
HASSELT - FH05;2423346;1;BL0002;2423346;BL0002;BUILDING template;;Kroonwinningstraat;60;
HASSELT - FH05;328384;1;BL0003;328384;BL0003;BUILDING template;;Kroonwinningstraat;61;
HASSELT - FH05;2423347;1;BL0002;2423347;BL0002;BUILDING template;;Kroonwinningstraat;62;
HASSELT - FH05;2423348;1;BL0002;2423348;BL0002;BUILDING template;;Kroonwinningstraat;64;
HASSELT - FH05;2423350;1;BL0003;2423350;BL0003;BUILDING template;;Kroonwinningstraat;65;
HASSELT - FH05;2423352;1;BL0002;2423352;BL0002;BUILDING template;;Kroonwinningstraat;70;
HASSELT - FH05;2423355;1;BL0002;2423355;BL0002;BUILDING template;;Kroonwinningstraat;72;
HASSELT - FH05;4897819;1;BL0002;4897819;BL0002;BUILDING template;;Kroonwinningstraat;80;
HASSELT - FH05;708908;1;BL0002;708908;BL0002;BUILDING template;;Kroonwinningstraat;82;
HASSELT - FH05;708907;1;BL0002;708907;BL0002;BUILDING template;;Kroonwinningstraat;84;
HASSELT - FH05;21916;1;BL0002;21916;BL0002;BUILDING template;;Kroonwinningstraat;86;
HASSELT - FH05;4193754;1;BL0004;4193754;BL0004;BUILDING template;;Lentestraat;1;
HASSELT - FH05;328371;1;BL0004;328371;BL0004;BUILDING template;;Lentestraat;3;
HASSELT - FH05;4022873;1;BL0004;4022873;BL0004;BUILDING template;;Lentestraat;5;
HASSELT - FH05;2425666;1;BL0004;2425666;BL0004;BUILDING template;;Lentestraat;7;
HASSELT - FH05;328370;1;BL0001;328370;BL0001;BUILDING template;;Lentestraat;8;
HASSELT - FH05;2425667;1;BL0004;2425667;BL0004;BUILDING template;;Lentestraat;9;
HASSELT - FH05;1512520;1;BL0001;1512520;BL0001;BUILDING template;;Lentestraat;10;
HASSELT - FH05;2425670;1;BL0004;2425670;BL0004;BUILDING template;;Lentestraat;11;
HASSELT - FH05;2425673;1;BL0001;2425673;BL0001;BUILDING template;;Lentestraat;12;
HASSELT - FH05;2425674;1;BL0001;2425674;BL0001;BUILDING template;;Lentestraat;14;
HASSELT - FH05;2425675;1;BL0001;2425675;BL0001;BUILDING template;;Lentestraat;14;A
HASSELT - FH05;2425678;1;BL0004;2425678;BL0004;BUILDING template;;Lentestraat;15;
HASSELT - FH05;2425681;1;BL0001;2425681;BL0001;BUILDING template;;Lentestraat;16;
HASSELT - FH05;2425682;1;BL0004;2425682;BL0004;BUILDING template;;Lentestraat;17;
HASSELT - FH05;2425686;1;BL0001;2425686;BL0001;BUILDING template;;Lentestraat;18;
HASSELT - FH05;2425690;1;BL0004;2425690;BL0004;BUILDING template;;Lentestraat;19;
HASSELT - FH05;2425694;1;BL0001;2425694;BL0001;BUILDING template;;Lentestraat;20;
HASSELT - FH05;4896985;1;BL0004;4896985;BL0004;BUILDING template;;Lentestraat;21;
HASSELT - FH05;2425698;1;BL0001;2425698;BL0001;BUILDING template;;Lentestraat;22;
HASSELT - FH05;2425701;1;BL0004;2425701;BL0004;BUILDING template;;Lentestraat;23;
HASSELT - FH05;4209906;1;BL0001;4209906;BL0001;BUILDING template;;Lentestraat;24;
HASSELT - FH05;2425703;1;BL0004;2425703;BL0004;BUILDING template;;Lentestraat;25;
HASSELT - FH05;3937481;1;BL0001;3937481;BL0001;BUILDING template;;Lentestraat;26;
HASSELT - FH05;328374;1;BL0004;328374;BL0004;BUILDING template;;Lentestraat;27;
HASSELT - FH05;2425705;1;BL0001;2425705;BL0001;BUILDING template;;Lentestraat;28;
HASSELT - FH05;328372;1;BL0001;328372;BL0001;BUILDING template;;Lentestraat;38;
HASSELT - FH05;328373;1;BL0001;328373;BL0001;BUILDING template;;Lentestraat;40;
HASSELT - FH05;2425708;1;BL0001;2425708;BL0001;BUILDING template;;Lentestraat;42;
HASSELT - FH05;2425710;1;BL0001;2425710;BL0001;BUILDING template;;Lentestraat;44;
HASSELT - FH05;2425711;1;BL0001;2425711;BL0001;BUILDING template;;Lentestraat;46;
HASSELT - FH05;2425713;1;BL0001;2425713;BL0001;BUILDING template;;Lentestraat;48;
HASSELT - FH05;328375;1;BL0001;328375;BL0001;BUILDING template;;Lentestraat;52;
HASSELT - FH05;2426459;1;BL0001;2426459;BL0001;BUILDING template;;Luikersteenweg;138;
HASSELT - FH05;2426463;1;BL0001;2426463;BL0001;BUILDING template;Luikersteenweg 140A-140B;Luikersteenweg;140;A
HASSELT - FH05;2426466;1;BL0001;2426466;BL0001;BUILDING template;Luikersteenweg 140A-140B;Luikersteenweg;140;B
HASSELT - FH05;328566;1;BL0001;328566;BL0001;BUILDING template;;Luikersteenweg;144;
HASSELT - FH05;2426469;1;BL0001;2426469;BL0001;BUILDING template;;Luikersteenweg;144;A
HASSELT - FH05;2426473;1;BL0001;2426473;BL0001;BUILDING template;;Luikersteenweg;144;B
HASSELT - FH05;2426475;1;BL0001;2426475;BL0001;BUILDING template;;Luikersteenweg;146;
