Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH01;6162632;4;BL0107;6162632;BL0107;BUILDING template;;Harmoniestraat;43;
HASSELT - FH01;2415139;4;BL0106;2415139;BL0106;BUILDING template;;Gaarveldstraat;61;
HASSELT - FH01;2415142;4;BL0106;2415142;BL0106;BUILDING template;;Gaarveldstraat;63;
HASSELT - FH01;2415144;4;BL0106;2415144;BL0106;BUILDING template;;Gaarveldstraat;65;
HASSELT - FH01;2415146;4;BL0106;2415146;BL0106;BUILDING template;;Gaarveldstraat;67;
HASSELT - FH01;707133;4;BL0106;707133;BL0106;BUILDING template;;Gaarveldstraat;69;
HASSELT - FH01;707132;4;BL0106;707132;BL0106;BUILDING template;;Gaarveldstraat;71;
HASSELT - FH01;2415157;4;BL0106;2415157;BL0106;BUILDING template;;Gaarveldstraat;73;
HASSELT - FH01;2415160;4;BL0106;2415160;BL0106;BUILDING template;;Gaarveldstraat;75;
HASSELT - FH01;2415163;4;BL0106;2415163;BL0106;BUILDING template;;Gaarveldstraat;77;
HASSELT - FH01;2415165;4;BL0106;2415165;BL0106;BUILDING template;;Gaarveldstraat;79;
HASSELT - FH01;2415167;4;BL0106;2415167;BL0106;BUILDING template;;Gaarveldstraat;81;
HASSELT - FH01;1338325;4;BL0106;1338325;BL0106;BUILDING template;;Gaarveldstraat;83;
HASSELT - FH01;3937313;4;BL0106;3937313;BL0106;BUILDING template;;Gaarveldstraat;85;
HASSELT - FH01;2415174;4;BL0106;2415174;BL0106;BUILDING template;;Gaarveldstraat;87;
HASSELT - FH01;2415176;4;BL0106;2415176;BL0106;BUILDING template;;Gaarveldstraat;89;
HASSELT - FH01;707112;4;BL0106;707112;BL0106;BUILDING template;;Gaarveldstraat;91;
HASSELT - FH01;2415182;4;BL0106;2415182;BL0106;BUILDING template;;Gaarveldstraat;93;
HASSELT - FH01;4901561;4;BL0106;4901561;BL0106;BUILDING template;;Gaarveldstraat;95;
HASSELT - FH01;4264299;4;BL0106;4264299;BL0106;BUILDING template;;Gaarveldstraat;97;
HASSELT - FH01;4182375;4;BL0106;4182375;BL0106;BUILDING template;;Gaarveldstraat;99;
HASSELT - FH01;4901564;4;BL0106;4901564;BL0106;BUILDING template;;Gaarveldstraat;101;
HASSELT - FH01;4216710;4;BL0106;4216710;BL0106;BUILDING template;;Gaarveldstraat;103;
HASSELT - FH01;2415190;4;BL0106;2415190;BL0106;BUILDING template;;Gaarveldstraat;105;
HASSELT - FH01;4901565;4;BL0106;4901565;BL0106;BUILDING template;;Gaarveldstraat;107;
HASSELT - FH01;4901567;4;BL0106;4901567;BL0106;BUILDING template;;Gaarveldstraat;109;
HASSELT - FH01;2415194;4;BL0106;2415194;BL0106;BUILDING template;Gaarveldstraat 111-111A;Gaarveldstraat;111;
HASSELT - FH01;4901570;4;BL0106;4901570;BL0106;BUILDING template;;Gaarveldstraat;113;
HASSELT - FH01;707110;4;BL0106;707110;BL0106;BUILDING template;;Gaarveldstraat;115;
HASSELT - FH01;4179593;4;BL0106;4179593;BL0106;BUILDING template;;Gaarveldstraat;69;B
HASSELT - FH01;2415177;4;BL0106;2415177;BL0106;BUILDING template;;Gaarveldstraat;89;A
HASSELT - FH01;5371646;4;BL0106;5371646;BL0106;BUILDING template;Gaarveldstraat 111-111A;Gaarveldstraat;111;A
HASSELT - FH01;707125;4;BL0106;707125;BL0106;BUILDING template;;Pastoor Van Dijckstraat;3;
HASSELT - FH01;707124;4;BL0106;707124;BL0106;BUILDING template;;Pastoor Van Dijckstraat;5;
HASSELT - FH01;707126;4;BL0106;707126;BL0106;BUILDING template;;Pastoor Van Dijckstraat;7;
