LAM MK;LU Key;BLOCK_NR;BLOCK_NR_LU
2763887;8337555;BL0501;BL0501
2763887;8337556;BL0501;BL0501
2763887;8341730;BL0501;BL0501
2763887;8346146;BL0501;BL0501
2763887;8350527;BL0501;BL0501
2763887;8355251;BL0501;BL0501
2763887;8355252;BL0501;BL0501
2763887;8355253;BL0501;BL0501
2763887;8359748;BL0501;BL0501
2763887;8359749;BL0501;BL0501
2763887;8359750;BL0501;BL0501
2763887;8364110;BL0501;BL0501
2763891;10557707;BL0501;BL0501
2763891;10557708;BL0501;BL0501
2763891;10557720;BL0501;BL0501
2763891;10557721;BL0501;BL0501
2763891;10557736;BL0501;BL0501
2763891;10557737;BL0501;BL0501
2763891;10557746;BL0501;BL0501
2763891;10557834;BL0501;BL0501
2763892;10557709;BL0501;BL0501
2763892;10557710;BL0501;BL0501
2763892;10557711;BL0501;BL0501
2763892;10557723;BL0501;BL0501
2763892;10557724;BL0501;BL0501
2763892;10557725;BL0501;BL0501
2763892;10557738;BL0501;BL0501
2763892;10557739;BL0501;BL0501
2763892;10557740;BL0501;BL0501
2763892;10557747;BL0501;BL0501
2763892;10557803;BL0501;BL0501
6148072;10935317;BL0501;BL0501
338488;8341092;BL0501;BL0501
338488;8345538;BL0501;BL0501
338488;8345539;BL0501;BL0501
338488;8345540;BL0501;BL0501
338488;8345541;BL0501;BL0501
338488;8345542;BL0501;BL0501
338488;8349941;BL0501;BL0501
338488;8354607;BL0501;BL0501
338488;8354608;BL0501;BL0501
338488;8359187;BL0501;BL0501
2765562;8334785;BL0501;BL0501
2765562;8339023;BL0501;BL0501
2765562;8347659;BL0501;BL0501
2765562;8356805;BL0501;BL0501
2765562;8361296;BL0501;BL0501
2765562;8365616;BL0501;BL0501
2765569;8351445;BL0501;BL0501
2765569;8351446;BL0501;BL0501
338491;8339523;BL0501;BL0501
338491;8343738;BL0501;BL0501
338491;8357386;BL0501;BL0501
6526789;11337745;BL0501;BL0501
289;8332196;BL0501;BL0501
289;8340596;BL0501;BL0501
289;8340597;BL0501;BL0501
289;8340598;BL0501;BL0501
289;8345058;BL0501;BL0501
