Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH06;1024246;;BL0611;1024246;BL0611;BUILDING template;;Paul Parmentierlaan;236;
KNOKKE-HEIST - FH06;12838;;BL0601;12838;BL0601;BUILDING template;;Meerlaan;80;
KNOKKE-HEIST - FH06;12854;;BL0605;12854;BL0605;BUILDING template;;Zonnelaan;10;
KNOKKE-HEIST - FH06;1288479;;BL0611;1288479;BL0611;BUILDING template;;Paul Parmentierlaan;230;
KNOKKE-HEIST - FH06;13070;;BL0608;13070;BL0608;BUILDING template;Paul Parmentierlaan 269A-271;Paul Parmentierlaan;271;
KNOKKE-HEIST - FH06;13072;;BL0609;13072;BL0609;BUILDING template;;Sylvain Dupuisstraat;53;
KNOKKE-HEIST - FH06;13074;;BL0614;13074;BL0614;BUILDING template;Koningslaan 127-129-131-133_Jozef Nellenslaan 182;Koningslaan;129;
KNOKKE-HEIST - FH06;1320090;;BL0601;1320090;BL0601;BUILDING template;Sterrenlaan 11-13-15;Sterrenlaan;11;
KNOKKE-HEIST - FH06;1327501;;BL0613;1327501;BL0613;BUILDING template;;Jozef Nellenslaan;221;
KNOKKE-HEIST - FH06;1327502;;BL0611;1327502;BL0611;BUILDING template;;Paul Parmentierlaan;226;
KNOKKE-HEIST - FH06;1357249;;BL0615;1357249;BL0615;BUILDING template;;Paul Parmentierlaan;215;
KNOKKE-HEIST - FH06;1389323;;BL0612;1389323;BL0612;BUILDING template;Paul Parmentierlaan 245-247;Paul Parmentierlaan;247;
KNOKKE-HEIST - FH06;1389366;;BL0612;1389366;BL0612;BUILDING template;;Koningslaan;238;
KNOKKE-HEIST - FH06;1389515;;BL0612;1389515;BL0612;BUILDING template;;Sylvain Dupuisstraat;34;
KNOKKE-HEIST - FH06;1442660;;BL0615;1442660;BL0615;BUILDING template;;Paul Parmentierlaan;233;
KNOKKE-HEIST - FH06;1448395;;BL0612;1448395;BL0612;BUILDING template;Koningslaan 236-236A-236B;Koningslaan;236;
KNOKKE-HEIST - FH06;1454526;;BL0611;1454526;BL0611;BUILDING template;;Paul Parmentierlaan;216;
KNOKKE-HEIST - FH06;1470497;;BL0601;1470497;BL0601;BUILDING template;;Jozef Nellenslaan;147;
KNOKKE-HEIST - FH06;1473385;;BL0612;1473385;BL0612;BUILDING template;;Koningslaan;234;
KNOKKE-HEIST - FH06;1478070;;BL0611;1478070;BL0611;BUILDING template;;Blancgarinstraat;24;
KNOKKE-HEIST - FH06;1481972;;BL0614;1481972;BL0614;BUILDING template;;Meerminlaan;28;
KNOKKE-HEIST - FH06;1494837;;BL0615;1494837;BL0615;BUILDING template;;Paul Parmentierlaan;207;
KNOKKE-HEIST - FH06;2757976;;BL0616;2757976;BL0616;BUILDING template;;Bayauxlaan;16;
KNOKKE-HEIST - FH06;2757979;;BL0616;2757979;BL0616;BUILDING template;;Bayauxlaan;20;
KNOKKE-HEIST - FH06;2757982;;BL0615;2757982;BL0615;BUILDING template;;Bayauxlaan;28;
KNOKKE-HEIST - FH06;2757985;;BL0615;2757985;BL0615;BUILDING template;;Bayauxlaan;34;
