Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH11;301631;;BL1138;301631;BL1138;BUILDING template;Albrecht Rodenbachstraat;1;
KNOKKE-HEIST - FH11;8334688;;BL1138;301631;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;1;
KNOKKE-HEIST - FH11;301632;;BL1138;301632;BL1138;BUILDING template;Albrecht Rodenbachstraat;3;
KNOKKE-HEIST - FH11;8336380;;BL1138;301632;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;3;
KNOKKE-HEIST - FH11;301630;;BL1142;301630;BL1142;BUILDING template;Albrecht Rodenbachstraat;4;
KNOKKE-HEIST - FH11;8362228;;BL1142;301630;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;4;
KNOKKE-HEIST - FH11;8344278;;BL1142;301630;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;4;
KNOKKE-HEIST - FH11;301633;;BL1138;301633;BL1138;BUILDING template;Albrecht Rodenbachstraat;5;
KNOKKE-HEIST - FH11;8354513;;BL1138;301633;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;5;
KNOKKE-HEIST - FH11;2765803;;BL1142;2765803;BL1142;BUILDING template;Albrecht Rodenbachstraat;6;
KNOKKE-HEIST - FH11;8344279;;BL1142;2765803;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;6;
KNOKKE-HEIST - FH11;1359245;;BL1138;1359245;BL1138;BUILDING template;Albrecht Rodenbachstraat;7;
KNOKKE-HEIST - FH11;8362925;;BL1138;1359245;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;7;
KNOKKE-HEIST - FH11;2765804;;BL1142;2765804;BL1142;BUILDING template;Albrecht Rodenbachstraat;8;
KNOKKE-HEIST - FH11;8355632;;BL1142;2765804;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;8;
KNOKKE-HEIST - FH11;2765806;;BL1138;2765806;BL1138;BUILDING template;Albrecht Rodenbachstraat;9;
KNOKKE-HEIST - FH11;8351861;;BL1138;2765806;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;9;
KNOKKE-HEIST - FH11;2765807;;BL1138;2765807;BL1138;BUILDING template;Albrecht Rodenbachstraat;11;
KNOKKE-HEIST - FH11;8342569;;BL1138;2765807;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;11;
KNOKKE-HEIST - FH11;2765809;;BL1142;2765809;BL1142;BUILDING template;Albrecht Rodenbachstraat;12;
KNOKKE-HEIST - FH11;8356189;;BL1142;2765809;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;12;
KNOKKE-HEIST - FH11;8365066;;BL1142;2765809;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;12;
KNOKKE-HEIST - FH11;8334217;;BL1142;2765809;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;12;
KNOKKE-HEIST - FH11;8342568;;BL1142;2765809;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;12;
KNOKKE-HEIST - FH11;8351365;;BL1142;2765809;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;12;
KNOKKE-HEIST - FH11;2765810;;BL1138;2765810;BL1138;BUILDING template;Albrecht Rodenbachstraat;13;
KNOKKE-HEIST - FH11;8338951;;BL1138;2765810;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;13;
KNOKKE-HEIST - FH11;2765811;;BL1142;2765811;BL1142;BUILDING template;Albrecht Rodenbachstraat;14;
KNOKKE-HEIST - FH11;8332642;;BL1142;2765811;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;14;
KNOKKE-HEIST - FH11;2765812;;BL1138;2765812;BL1138;BUILDING template;Albrecht Rodenbachstraat;15;
KNOKKE-HEIST - FH11;8342572;;BL1138;2765812;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;15;
KNOKKE-HEIST - FH11;301634;;BL1142;301634;BL1142;BUILDING template;Albrecht Rodenbachstraat;16;
KNOKKE-HEIST - FH11;8347583;;BL1142;301634;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;16;
KNOKKE-HEIST - FH11;301635;;BL1138;301635;BL1138;BUILDING template;Albrecht Rodenbachstraat;17;
