Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MECHELEN - FH01;5602996;4;BL0114;5602996;BL0114;BUILDING template;;'t Veer;15;
MECHELEN - FH01;935316;4;BL0114;935316;BL0114;BUILDING template;;'t Veer;17;
MECHELEN - FH01;929555;4;BL0110;929555;BL0110;BUILDING template;;A.B.-straat;1;
MECHELEN - FH01;941666;1;BL0111;941666;BL0111;BUILDING template;;A.B.-straat;2;
MECHELEN - FH01;941664;4;BL0110;941664;BL0110;BUILDING template;;A.B.-straat;3;
MECHELEN - FH01;3028796;1;BL0111;3028796;BL0111;BUILDING template;;A.B.-straat;4;
MECHELEN - FH01;3028797;4;BL0110;3028797;BL0110;BUILDING template;;A.B.-straat;5;
MECHELEN - FH01;3028798;4;BL0110;3028798;BL0110;BUILDING template;;A.B.-straat;7;
MECHELEN - FH01;905710;4;BL0112;905710;BL0112;BUILDING template;;Arme-Clarenstraat;1;
MECHELEN - FH01;930428;1;BL0111;930428;BL0111;BUILDING template;;Arme-Clarenstraat;2;
MECHELEN - FH01;3029535;4;BL0112;3029535;BL0112;BUILDING template;;Arme-Clarenstraat;3;
MECHELEN - FH01;3029537;1;BL0111;3029537;BL0111;BUILDING template;;Arme-Clarenstraat;4;
MECHELEN - FH01;4736802;4;BL0112;4736802;BL0112;BUILDING template;;Arme-Clarenstraat;5;
MECHELEN - FH01;4185057;1;BL0111;4185057;BL0111;BUILDING template;;Arme-Clarenstraat;6;
MECHELEN - FH01;3029538;4;BL0112;3029538;BL0112;BUILDING template;;Arme-Clarenstraat;7;
MECHELEN - FH01;3029539;1;BL0111;3029539;BL0111;BUILDING template;;Arme-Clarenstraat;8;
MECHELEN - FH01;3029540;4;BL0112;3029540;BL0112;BUILDING template;;Arme-Clarenstraat;9;
MECHELEN - FH01;3029541;1;BL0111;3029541;BL0111;BUILDING template;;Arme-Clarenstraat;10;
MECHELEN - FH01;3029542;4;BL0112;3029542;BL0112;BUILDING template;;Arme-Clarenstraat;11;
MECHELEN - FH01;4038372;1;BL0111;4038372;BL0111;BUILDING template;;Arme-Clarenstraat;12;
MECHELEN - FH01;3029543;4;BL0112;3029543;BL0112;BUILDING template;;Arme-Clarenstraat;13;
MECHELEN - FH01;4733024;1;BL0111;4733024;BL0111;BUILDING template;;Arme-Clarenstraat;14;
MECHELEN - FH01;3029544;4;BL0112;3029544;BL0112;BUILDING template;;Arme-Clarenstraat;15;
MECHELEN - FH01;3029547;4;BL0112;3029547;BL0112;BUILDING template;;Arme-Clarenstraat;23;
MECHELEN - FH01;4091142;4;BL0112;4091142;BL0112;BUILDING template;;Arme-Clarenstraat;25;
MECHELEN - FH01;4736819;4;BL0112;4736819;BL0112;BUILDING template;;Arme-Clarenstraat;31;
MECHELEN - FH01;905709;4;BL0112;905709;BL0112;BUILDING template;;Arme-Clarenstraat;33;
MECHELEN - FH01;901199;2;BL0105;901199;BL0105;BUILDING template;;Befferstraat;1;
MECHELEN - FH01;3030756;2;BL0105;3030756;BL0105;BUILDING template;;Befferstraat;3;
MECHELEN - FH01;3030757;2;BL0105;3030757;BL0105;BUILDING template;;Befferstraat;5;
MECHELEN - FH01;3030758;2;BL0105;3030758;BL0105;BUILDING template;;Befferstraat;7;
MECHELEN - FH01;3030759;2;BL0105;3030759;BL0105;BUILDING template;;Befferstraat;9;
MECHELEN - FH01;3030761;3;BL0120;3030761;BL0120;BUILDING template;;Befferstraat;10;
MECHELEN - FH01;4751991;2;BL0105;4751991;BL0105;BUILDING template;;Befferstraat;11;
MECHELEN - FH01;3030762;3;BL0120;3030762;BL0120;BUILDING template;;Befferstraat;12;
MECHELEN - FH01;901426;2;BL0105;901426;BL0105;BUILDING template;;Befferstraat;13;
MECHELEN - FH01;3030763;3;BL0120;3030763;BL0120;BUILDING template;;Befferstraat;14;
MECHELEN - FH01;3030765;2;BL0105;3030765;BL0105;BUILDING template;;Befferstraat;15;
MECHELEN - FH01;3030766;3;BL0120;3030766;BL0120;BUILDING template;;Befferstraat;16;
MECHELEN - FH01;901200;2;BL0105;901200;BL0105;BUILDING template;;Befferstraat;17;
MECHELEN - FH01;3030771;2;BL0105;3030771;BL0105;BUILDING template;Befferstraat 19-23;Befferstraat;19;
MECHELEN - FH01;3030770;3;BL0120;3030770;BL0120;BUILDING template;;Befferstraat;20;
MECHELEN - FH01;901423;3;BL0120;901423;BL0120;BUILDING template;;Befferstraat;22;
MECHELEN - FH01;901428;2;BL0105;901428;BL0105;BUILDING template;Befferstraat 19-23;Befferstraat;23;
MECHELEN - FH01;3030777;3;BL0120;3030777;BL0120;BUILDING template;;Befferstraat;24;
MECHELEN - FH01;901429;2;BL0105;901429;BL0105;BUILDING template;;Befferstraat;25;
MECHELEN - FH01;3030779;3;BL0120;3030779;BL0120;BUILDING template;;Befferstraat;26;
MECHELEN - FH01;3030780;3;BL0120;3030780;BL0120;BUILDING template;;Befferstraat;28;
MECHELEN - FH01;3030782;2;BL0105;3030782;BL0105;BUILDING template;;Befferstraat;29;
MECHELEN - FH01;3030783;3;BL0120;3030783;BL0120;BUILDING template;;Befferstraat;30;
MECHELEN - FH01;901425;2;BL0105;901425;BL0105;BUILDING template;;Befferstraat;31;
MECHELEN - FH01;3030785;3;BL0120;3030785;BL0120;BUILDING template;;Befferstraat;32;
MECHELEN - FH01;3030786;2;BL0105;3030786;BL0105;BUILDING template;;Befferstraat;33;
MECHELEN - FH01;3030788;3;BL0120;3030788;BL0120;BUILDING template;;Befferstraat;34;
MECHELEN - FH01;3030789;2;BL0105;3030789;BL0105;BUILDING template;;Befferstraat;35;
MECHELEN - FH01;3030790;2;BL0105;3030790;BL0105;BUILDING template;Befferstraat 37-39;Befferstraat;37;
MECHELEN - FH01;901424;3;BL0120;901424;BL0120;BUILDING template;;Befferstraat;38;
MECHELEN - FH01;3976050;5;BL0116;3976050;BL0116;BUILDING template;;Begijnenstraat;3;
MECHELEN - FH01;3030820;4;BL0110;3030820;BL0110;BUILDING template;;Begijnenstraat;4;
MECHELEN - FH01;3030822;5;BL0116;3030822;BL0116;BUILDING template;;Begijnenstraat;9;
MECHELEN - FH01;3030824;4;BL0110;3030824;BL0110;BUILDING template;;Begijnenstraat;10;
MECHELEN - FH01;3030826;4;BL0110;3030826;BL0110;BUILDING template;;Begijnenstraat;12;
MECHELEN - FH01;4238219;4;BL0110;4238219;BL0110;BUILDING template;;Begijnenstraat;14;
MECHELEN - FH01;905283;4;BL0110;905283;BL0110;BUILDING template;;Begijnenstraat;16;
MECHELEN - FH01;4731179;5;BL0116;4731179;BL0116;BUILDING template;;Begijnenstraat;17;
MECHELEN - FH01;905287;4;BL0110;905287;BL0110;BUILDING template;;Begijnenstraat;18;
MECHELEN - FH01;3030828;5;BL0116;3030828;BL0116;BUILDING template;;Begijnenstraat;19;
MECHELEN - FH01;3030829;4;BL0110;3030829;BL0110;BUILDING template;;Begijnenstraat;20;
MECHELEN - FH01;3030831;5;BL0116;3030831;BL0116;BUILDING template;;Begijnenstraat;21;
MECHELEN - FH01;905288;4;BL0110;905288;BL0110;BUILDING template;;Begijnenstraat;22;
MECHELEN - FH01;4082899;5;BL0116;4082899;BL0116;BUILDING template;;Begijnenstraat;23;
MECHELEN - FH01;3030832;5;BL0116;3030832;BL0116;BUILDING template;;Begijnenstraat;25;
MECHELEN - FH01;905647;4;BL0110;905647;BL0110;BUILDING template;;Begijnenstraat;28;
MECHELEN - FH01;3030835;5;BL0116;3030835;BL0116;BUILDING template;;Begijnenstraat;29;
MECHELEN - FH01;905644;5;BL0116;905644;BL0116;BUILDING template;;Begijnenstraat;31;
MECHELEN - FH01;4748706;4;BL0110;4748706;BL0110;BUILDING template;;Begijnenstraat;32;
MECHELEN - FH01;4205021;5;BL0116;4205021;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;33;
MECHELEN - FH01;3030836;4;BL0110;3030836;BL0110;BUILDING template;;Begijnenstraat;34;
MECHELEN - FH01;1459413;5;BL0116;1459413;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;35;
MECHELEN - FH01;3030840;4;BL0110;3030840;BL0110;BUILDING template;;Begijnenstraat;36;
MECHELEN - FH01;1461368;5;BL0116;1461368;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;37;
MECHELEN - FH01;1350667;4;BL0110;1350667;BL0110;BUILDING template;;Begijnenstraat;38;
MECHELEN - FH01;3030841;5;BL0116;3030841;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;39;
MECHELEN - FH01;3030842;4;BL0110;3030842;BL0110;BUILDING template;;Begijnenstraat;40;
MECHELEN - FH01;3943977;5;BL0116;3943977;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;41;
MECHELEN - FH01;4748711;4;BL0110;4748711;BL0110;BUILDING template;;Begijnenstraat;42;
MECHELEN - FH01;1351370;5;BL0116;1351370;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;43;
MECHELEN - FH01;4748712;4;BL0110;4748712;BL0110;BUILDING template;;Begijnenstraat;44;
MECHELEN - FH01;4748677;5;BL0116;4748677;BL0116;BUILDING template;;Begijnenstraat;45;
MECHELEN - FH01;905648;4;BL0110;905648;BL0110;BUILDING template;;Begijnenstraat;48;
MECHELEN - FH01;905645;4;BL0110;905645;BL0110;BUILDING template;Begijnenstraat 50-50A;Begijnenstraat;50;
MECHELEN - FH01;905643;4;BL0110;905643;BL0110;BUILDING template;;Begijnenstraat;52;
MECHELEN - FH01;3030844;4;BL0110;3030844;BL0110;BUILDING template;;Begijnenstraat;56;
MECHELEN - FH01;905642;4;BL0110;905642;BL0110;BUILDING template;;Begijnenstraat;58;
MECHELEN - FH01;905285;5;BL0116;905285;BL0116;BUILDING template;;Begijnenstraat;27;A
MECHELEN - FH01;3943978;5;BL0116;3943978;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;43;A
MECHELEN - FH01;901609;2;BL0104;901609;BL0104;BUILDING template;;Biest;2;
MECHELEN - FH01;3031078;2;BL0104;3031078;BL0104;BUILDING template;;Biest;4;
MECHELEN - FH01;4731741;2;BL0104;4731741;BL0104;BUILDING template;;Biest;6;
MECHELEN - FH01;901612;2;BL0104;901612;BL0104;BUILDING template;;Biest;10;
MECHELEN - FH01;904912;3;BL0123;904912;BL0123;BUILDING template;;Blauwhondstraat;1;
MECHELEN - FH01;3031270;3;BL0123;3031270;BL0123;BUILDING template;;Blauwhondstraat;3;
MECHELEN - FH01;3031272;3;BL0123;3031272;BL0123;BUILDING template;;Blauwhondstraat;5;
MECHELEN - FH01;3031273;3;BL0123;3031273;BL0123;BUILDING template;Blauwhondstraat 7-9;Blauwhondstraat;7;
MECHELEN - FH01;3031275;3;BL0123;3031275;BL0123;BUILDING template;;Blauwhondstraat;11;
MECHELEN - FH01;3031278;3;BL0123;3031278;BL0123;BUILDING template;;Blauwhondstraat;15;
MECHELEN - FH01;904913;3;BL0123;904913;BL0123;BUILDING template;;Blauwhondstraat;21;
MECHELEN - FH01;904914;3;BL0123;904914;BL0123;BUILDING template;;Blauwhondstraat;25;
MECHELEN - FH01;5403850;3;BL0123;5403850;BL0123;BUILDING template;;Blauwhondstraat;27;
MECHELEN - FH01;3031540;3;BL0124;3031540;BL0124;BUILDING template;;Borzestraat;1;
MECHELEN - FH01;4101347;3;BL0125;4101347;BL0125;BUILDING template;Borzestraat 2_Ijzerenleen 25;Borzestraat;2;
MECHELEN - FH01;3031543;3;BL0125;3031543;BL0125;BUILDING template;;Borzestraat;4;
MECHELEN - FH01;3031545;3;BL0125;3031545;BL0125;BUILDING template;;Borzestraat;6;
MECHELEN - FH01;3031546;3;BL0125;3031546;BL0125;BUILDING template;;Borzestraat;8;
MECHELEN - FH01;3031548;3;BL0125;3031548;BL0125;BUILDING template;;Borzestraat;10;
MECHELEN - FH01;4741917;3;BL0125;4741917;BL0125;BUILDING template;;Borzestraat;12;
