Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MONS - FH01;3124037;;BL0119;3124037;BL0119;BUILDING template;;Cour de l'Ane Barré;3;
MONS - FH01;4586265;;BL0102;4586265;BL0102;BUILDING template;;Cour du Noir Lévrier;3;
MONS - FH01;4586266;;BL0102;4586266;BL0102;BUILDING template;;Cour du Noir Lévrier;9;
MONS - FH01;4051941;;BL0119;4051941;BL0119;BUILDING template;;Esplanade du Dragon;252;
MONS - FH01;3162656;;BL0119;3162656;BL0119;BUILDING template;;Esplanade du Dragon;311;
MONS - FH01;3156122;;BL0119;3156122;BL0119;BUILDING template;;Grand-Place;7;
MONS - FH01;3156126;;BL0119;3156126;BL0119;BUILDING template;Grand-Place -9-10;Grand-Place;10;
MONS - FH01;4591033;;BL0117;4591033;BL0117;BUILDING template;;Marché aux Herbes;4;
MONS - FH01;3153438;;BL0117;3153438;BL0117;BUILDING template;;Marché aux Herbes;14;
MONS - FH01;3153448;;BL0116;3153448;BL0116;BUILDING template;;Marché aux Herbes;21;
MONS - FH01;3153455;;BL0116;3153455;BL0116;BUILDING template;;Marché aux Herbes;30;
MONS - FH01;204691;;BL0107;204691;BL0107;BUILDING template;Rampe Sainte Waudru  -4-6 appartements;Rampe Sainte Waudru;6;
MONS - FH01;4586203;;BL0105;4586203;BL0105;BUILDING template;;Rue Cronque;4;
MONS - FH01;6056432;;BL0106;6056432;BL0106;BUILDING template;;Rue Cronque;13;
MONS - FH01;246905;;BL0106;246905;BL0106;BUILDING template;-Rue d'Enghien 01 - 28 Grand-Place;Rue d'Enghien;1;
MONS - FH01;209803;;BL0106;209803;BL0106;BUILDING template;;Rue d'Enghien;15;
MONS - FH01;3958328;;BL0106;3958328;BL0106;BUILDING template;;Rue d'Enghien;17;
MONS - FH01;6449643;;BL0105;6449643;BL0105;BUILDING template;Rue d' Enghien 19-19A;Rue d'Enghien;19;B
MONS - FH01;3145398;;BL0105;3145398;BL0105;BUILDING template;;Rue d'Enghien;21;
MONS - FH01;4586200;;BL0105;4586200;BL0105;BUILDING template;Rue d'Enghien 21-25;Rue d'Enghien;25;
MONS - FH01;3945006;;BL0105;3945006;BL0105;BUILDING template;Hôtel de GRATY 51- 51A- 51B-51C- 51E-51G Rue d'Enghien;Rue d'Enghien;51;B
MONS - FH01;3145424;;BL0105;3145424;BL0105;BUILDING template;Rue d'Enghien -51-A-B-EG;Rue d'Enghien;51;E
MONS - FH01;3945007;;BL0105;3945007;BL0105;BUILDING template;Rue d'Enghien 51-A-B-C-G;Rue d'Enghien;51;G
MONS - FH01;6040565;;BL0118;6040565;BL0118;BUILDING template;Rue d'Havré  -2- 2A;Rue d'Havré;2;A
