Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;1287403;2;BL0209;1287403;BL0209;BUILDING template;Ankerstraat;1;
SINT-NIKLAAS - FH02;2094254;2;BL0209;1287403;BL0209;(L/B/S)U template;Ankerstraat;1;
SINT-NIKLAAS - FH02;3484793;2;BL0209;3484793;BL0209;BUILDING template;Ankerstraat;3;
SINT-NIKLAAS - FH02;2110818;2;BL0209;3484793;BL0209;(L/B/S)U template;Ankerstraat;3;
SINT-NIKLAAS - FH02;11095068;2;BL0209;3484793;BL0209;(L/B/S)U template;Ankerstraat;3;
SINT-NIKLAAS - FH02;3484795;2;BL0209;3484795;BL0209;BUILDING template;Ankerstraat;5;
SINT-NIKLAAS - FH02;2117328;2;BL0209;3484795;BL0209;(L/B/S)U template;Ankerstraat;5;
SINT-NIKLAAS - FH02;2117329;2;BL0209;3484795;BL0209;(L/B/S)U template;Ankerstraat;5;
SINT-NIKLAAS - FH02;3925931;2;BL0209;3925931;BL0209;BUILDING template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642699;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642700;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642701;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642702;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642703;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642704;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642705;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;10642706;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;11095041;2;BL0209;3925931;BL0209;(L/B/S)U template;Ankerstraat;7;
SINT-NIKLAAS - FH02;76381;2;BL0209;76381;BL0209;BUILDING template;Ankerstraat;11;
SINT-NIKLAAS - FH02;2096527;2;BL0209;76381;BL0209;(L/B/S)U template;Ankerstraat;11;
SINT-NIKLAAS - FH02;76246;2;BL0209;76246;BL0209;BUILDING template;Ankerstraat;13;
SINT-NIKLAAS - FH02;2099153;2;BL0209;76246;BL0209;(L/B/S)U template;Ankerstraat;13;
SINT-NIKLAAS - FH02;11095042;2;BL0209;76246;BL0209;(L/B/S)U template;Ankerstraat;13;
SINT-NIKLAAS - FH02;3948541;2;BL0209;3948541;BL0209;BUILDING template;Ankerstraat;15;
SINT-NIKLAAS - FH02;2101408;2;BL0209;3948541;BL0209;(L/B/S)U template;Ankerstraat;15;
SINT-NIKLAAS - FH02;2101409;2;BL0209;3948541;BL0209;(L/B/S)U template;Ankerstraat;15;
