Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH04;182743;0;1;1;2;MDU;XA;N;IRREG;8;9;;;Y;_;BUILDING template;Meir;1;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;152549,75;212079,764
ANTWERPEN-WEST - FH04;2001378;0;1;0;1;MDU;XA;N;IRREG;8;9;;;Y;_;BUILDING template;Meir;5;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;152561,315;212076,475
ANTWERPEN-WEST - FH04;2001386;0;1;0;1;MDU;XA;N;IRREG;8;9;;;Y;_;BUILDING template;Meir;9;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;152574,541;212068,4
ANTWERPEN-WEST - FH04;182744;0;1;1;2;MDU;D;N;IRREG;7;9;;;Y;_;BUILDING template;Meir;11;;;152583,422;212065,336
ANTWERPEN-WEST - FH04;962181;0;1;1;2;MDU;D;N;IRREG;4;6;Beschermd Erfgoed;;Y;BE;BUILDING template;Lange Nieuwstraat;38;;;152754,824;212195,835
ANTWERPEN-WEST - FH04;60581;0;1;0;1;MDU;C;N;IRREG;5;9;;;Y;_;BUILDING template;Meir;13;;Twaalfmaandenstraat 15_Meir 13-15;152602,71;212057,623
ANTWERPEN-WEST - FH04;4507955;0;1;0;1;MDU;C;N;IRREG;5;9;;;Y;_;BUILDING template;Meir;15;;Twaalfmaandenstraat 15_Meir 13-15;152607,062;212056,92
ANTWERPEN-WEST - FH04;60588;0;1;1;2;MDU;D;N;IRREG;3;6;Beschermd Erfgoed;;Y;BE;BUILDING template;Meir;17;;;152611,136;212058,298
ANTWERPEN-WEST - FH04;1945624;0;1;1;2;MDU;D;N;IRREG;4;4;;;Y;_;BUILDING template;Huidevettersstraat;52;;;152533,522;211828,57
ANTWERPEN-WEST - FH04;60587;0;1;1;2;MDU;D;N;IRREG;5;9;Beschermd Erfgoed;;Y;BE;BUILDING template;Meir;19;;;152619,33;212057,565
ANTWERPEN-WEST - FH04;3928002;12;0;1;13;MDU;XA;N;IRREG;8;9;;;Y;_;BUILDING template;Meir;3;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;152556,199;212077,754
ANTWERPEN-WEST - FH04;2001382;12;0;0;12;MDU;XA;N;IRREG;8;9;;;Y;_;BUILDING template;Meir;7;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;152565,662;212072,693
ANTWERPEN-WEST - FH04;2001450;0;1;1;2;MDU;D;N;IRREG;4;3;Beschermd Erfgoed;;Y;BE;BUILDING template;Meir;43;;;152756,5;212034,853
ANTWERPEN-WEST - FH04;2001456;0;1;1;2;MDU;D;N;IRREG;4;3;Beschermd Erfgoed;;Y;BE;BUILDING template;Meir;45;;;152761,147;212033,934
ANTWERPEN-WEST - FH04;1482833;11;0;0;11;MDU;XC;N;IRREG;3;5;;;Y;_;BUILDING template;Korte Klarenstraat;13;;;152735,262;212134,338
ANTWERPEN-WEST - FH04;2001464;2;1;1;4;MDU;D;N;IRREG;4;4;;;Y;_;BUILDING template;Meir;49;;;152776,278;212036,041
ANTWERPEN-WEST - FH04;4509033;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Korte Sint-Annastraat;3;;;153085,597;212371,488
ANTWERPEN-WEST - FH04;110177;0;1;1;2;MDU;D;N;IRREG;4;6;;;Y;_;BUILDING template;Meir;52;;;152828,75;212000,024
ANTWERPEN-WEST - FH04;1953179;0;1;1;2;MDU;D;N;IRREG;3;4;;;Y;_;BUILDING template;Sint-Jacobsmarkt;3;;;152892,397;212313,053
ANTWERPEN-WEST - FH04;1735169;4;0;0;4;MDU;C;N;IRREG;3;4;;;Y;_;BUILDING template;Korte Sint-Annastraat;8;;;153131,354;212338,245
ANTWERPEN-WEST - FH04;2001470;0;1;1;2;MDU;D;N;IRREG;3;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Meir;55;;Meir 55-57;152795,029;212035,015
ANTWERPEN-WEST - FH04;1735170;1;0;0;1;SDU;;N;IRREG;3;4;Beschermd Erfgoed;;Y;BE;BUILDING template;Korte Sint-Annastraat;9;;;153112,373;212363,278
ANTWERPEN-WEST - FH04;110182;0;1;1;2;MDU;D;N;IRREG;4;6;;;Y;_;BUILDING template;Meir;56;;;152856,418;211999,916
ANTWERPEN-WEST - FH04;1953192;2;1;0;3;MDU;D;N;IRREG;3;3;;;Y;_;BUILDING template;Sint-Jacobsmarkt;5;;;152896,733;212313,704
ANTWERPEN-WEST - FH04;109194;0;1;0;1;SDU;;N;IRREG;5;4;;;Y;_;BUILDING template;Korte Sint-Annastraat;10;;;153136,141;212336,866
ANTWERPEN-WEST - FH04;2001472;0;1;1;2;MDU;D;N;IRREG;3;4;;;Y;_;BUILDING template;Meir;57;;Meir 55-57;152801,892;212033,502
ANTWERPEN-WEST - FH04;1735171;1;1;0;2;MDU;C;N;IRREG;2;4;;;Y;_;BUILDING template;Korte Sint-Annastraat;11;;;153117,959;212361,289
ANTWERPEN-WEST - FH04;2001476;0;1;1;2;MDU;D;N;IRREG;6;5;;;Y;_;BUILDING template;Meir;59;;;152808,377;212033,177
