Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH06;2052146;0;1;0;1;SDU;;N;MON;4;4;Monument;;Y;Review Required MON;BUILDING template;Schrijnwerkersstraat;10;;
ANTWERPEN-WEST - FH06;1739684;1;0;0;1;SDU;;Y;NA;3;8;;;Y;;BUILDING template;Begijnenstraat;89;;
ANTWERPEN-WEST - FH06;2052147;0;1;0;1;SDU;;N;MON;2;4;Monument;;Y;Review Required MON;BUILDING template;Schrijnwerkersstraat;11;;
ANTWERPEN-WEST - FH06;1741131;0;1;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Bervoetstraat;4;;
ANTWERPEN-WEST - FH06;2052148;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Schrijnwerkersstraat;12;;
ANTWERPEN-WEST - FH06;2052149;0;1;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;Schrijnwerkersstraat;13;;
ANTWERPEN-WEST - FH06;2052151;0;1;0;1;SDU;;N;MON;4;5;Monument;;Y;_ MON;BUILDING template;Schrijnwerkersstraat;15;;
ANTWERPEN-WEST - FH06;2052153;0;1;0;1;SDU;;Y;NA;4;5;;;Y;_;BUILDING template;Schrijnwerkersstraat;19;;
ANTWERPEN-WEST - FH06;2052154;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Schrijnwerkersstraat;20;;
ANTWERPEN-WEST - FH06;1741137;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Bervoetstraat;12;;
ANTWERPEN-WEST - FH06;2052155;0;1;0;1;SDU;;Y;NA;5;5;;;Y;_;BUILDING template;Schrijnwerkersstraat;21;;
ANTWERPEN-WEST - FH06;1741139;0;1;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Bervoetstraat;16;;
ANTWERPEN-WEST - FH06;1741140;1;0;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Bervoetstraat;22;;
ANTWERPEN-WEST - FH06;1741141;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Bervoetstraat;24;;
ANTWERPEN-WEST - FH06;1741143;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Bervoetstraat;31;;
ANTWERPEN-WEST - FH06;1741144;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Bervoetstraat;33;;
ANTWERPEN-WEST - FH06;2056538;0;1;0;1;SDU;;Y;NA;2;3;;;Y;_;BUILDING template;Terninckstraat;5;;
