Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Kolom1;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH05;1015480;32;3;0;35;MDU;Plantinkaai1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Plantinkaai;1;;;151870,376;212053,847
ANTWERPEN-WEST - FH05;1056833;9;0;0;9;MDU;Hoogstraat11;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;11;;;152113,265;212250,821
ANTWERPEN-WEST - FH05;1059317;0;2;0;2;MDU;Blauwmoezelstraat1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;1;;;152221,155;212307,52
ANTWERPEN-WEST - FH05;1059319;0;2;0;2;MDU;Blauwmoezelstraat2;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;2;;;152230,027;212323,278
ANTWERPEN-WEST - FH05;1059324;0;1;0;1;SDU;Oude Beurs50;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Oude Beurs;50;;;152304,942;212393,159
ANTWERPEN-WEST - FH05;1059326;5;1;0;6;MDU;Oude Beurs24;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Oude Beurs;24;;;152238;212431
ANTWERPEN-WEST - FH05;1059331;0;1;0;1;SDU;Grote Markt28;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;28;;;152211,282;212334,435
ANTWERPEN-WEST - FH05;1059332;0;3;0;3;MDU;Grote Markt32;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;32;;;152205,544;212349,072
ANTWERPEN-WEST - FH05;1059336;0;1;0;1;SDU;Grote Markt25;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;25;;;152249,703;212386,215
ANTWERPEN-WEST - FH05;1059341;0;1;0;1;SDU;Grote Markt2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;2;;;152141,219;212297,575
ANTWERPEN-WEST - FH05;1059344;0;2;0;2;MDU;Korte Koepoortstraat10;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Korte Koepoortstraat;10;;;152350,187;212363,504
ANTWERPEN-WEST - FH05;1059350;1;0;0;1;SDU;Schoenmakersstraat2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Schoenmakersstraat;2;;;152295,106;212387,087
ANTWERPEN-WEST - FH05;1059356;0;3;0;3;MDU;Lijnwaadmarkt11;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Lijnwaadmarkt;11;;;152339,971;212306,429
ANTWERPEN-WEST - FH05;1059358;0;8;0;8;MDU;Kaasrui1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kaasrui;1;;;152299,442;212366,29
ANTWERPEN-WEST - FH05;1059361;0;3;0;3;MDU;Maalderijstraat7;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Maalderijstraat;7;;;152214,184;212306,297
ANTWERPEN-WEST - FH05;1059363;0;6;0;6;MDU;Torfbrug10;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Torfbrug;10;;;152280,219;212312,39
ANTWERPEN-WEST - FH05;1059370;0;1;0;1;SDU;Melkmarkt2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Melkmarkt;2;;;152356,233;212333,393
ANTWERPEN-WEST - FH05;1091098;0;1;0;1;SDU;Korte Nieuwstraat11;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Korte Nieuwstraat;11;;;152416,203;212296,698
ANTWERPEN-WEST - FH05;1091133;0;1;0;1;SDU;Hoogstraat35;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hoogstraat;35;;;152089,398;212179,176
ANTWERPEN-WEST - FH05;1091146;23;0;0;23;MDU;Orteliuskaai2;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Orteliuskaai;2;;;152196,156;212856,505
ANTWERPEN-WEST - FH05;1101822;3;1;0;4;MDU;Riemstraat51;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Riemstraat;51;;;151693,857;211425,884
ANTWERPEN-WEST - FH05;1111484;2;0;0;2;MDU;Grote Markt13;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Grote Markt;13;;;152194,842;212406,724
ANTWERPEN-WEST - FH05;12619;1;0;0;1;SDU;Lange Koepoortstraat2;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lange Koepoortstraat;2;;;152383,672;212630,797
ANTWERPEN-WEST - FH05;12639;5;0;0;5;MDU;Plantinkaai16;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Plantinkaai;16;;;151813,38;211941,827
ANTWERPEN-WEST - FH05;12653;4;1;0;5;MDU;Wolstraat1;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Wolstraat;1;;;152362;212422
ANTWERPEN-WEST - FH05;1268534;4;0;0;4;MDU;Sint-Michielskaai26;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Sint-Michielskaai;26;;;151664,502;211614,617
ANTWERPEN-WEST - FH05;1469526;4;2;0;6;MDU;Plantinkaai22;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Plantinkaai;22;;;151795,006;211897,264
ANTWERPEN-WEST - FH05;1492129;0;1;0;1;SDU;Lijnwaadmarkt3;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Lijnwaadmarkt;3;;;152309,714;212316,259
ANTWERPEN-WEST - FH05;1737790;4;1;0;5;MDU;Kloosterstraat20;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;20;;;151852,01;211915,062
ANTWERPEN-WEST - FH05;1737791;1;0;0;1;SDU;Kloosterstraat22;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;22;;;151858;211904
ANTWERPEN-WEST - FH05;1737798;3;0;0;3;MDU;Kloosterstraat36;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;36;;;151834;211841
ANTWERPEN-WEST - FH05;1737799;4;0;0;4;MDU;Kloosterstraat38;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;38;;;151833;211835
ANTWERPEN-WEST - FH05;1737804;4;2;0;6;MDU;Kloosterstraat52;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;52;;;151814;211774
ANTWERPEN-WEST - FH05;1737818;12;0;0;12;MDU;Kloosterstraat80;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;80;;;151774;211662
ANTWERPEN-WEST - FH05;1737820;1;1;0;2;MDU;Kloosterstraat82;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;82;;;151769,783;211660,083
ANTWERPEN-WEST - FH05;1737827;3;0;0;3;MDU;Kloosterstraat106;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Kloosterstraat;106;;;151730,756;211588,865
ANTWERPEN-WEST - FH05;1749317;0;2;0;2;MDU;Blauwmoezelstraat7;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;7;;;152253,217;212320,753
ANTWERPEN-WEST - FH05;1749321;10;0;0;10;MDU;Blauwmoezelstraat9;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;9;;;152262,027;212313,267
ANTWERPEN-WEST - FH05;1749322;1;0;0;1;SDU;Blauwmoezelstraat10;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Blauwmoezelstraat;10;;;152269,852;212316,19
ANTWERPEN-WEST - FH05;1774557;1;0;0;1;SDU;Braderijstraat8;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Braderijstraat;8;;;152151,237;212453,355
ANTWERPEN-WEST - FH05;1804784;1;1;0;2;MDU;Hendrik Conscienceplein3;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hendrik Conscienceplein;3;;;152467,54;212363,906
ANTWERPEN-WEST - FH05;1804802;0;4;0;4;MDU;Hendrik Conscienceplein9;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Hendrik Conscienceplein;9;;;152484,382;212363,504
ANTWERPEN-WEST - FH05;1804811;0;1;0;1;SDU;Hendrik Conscienceplein11;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Hendrik Conscienceplein;11;;;152489,789;212364,879
ANTWERPEN-WEST - FH05;1808601;1;0;0;1;SDU;Coppenolstraat10;;Y;NA;2;4;Beschermd Erfgoed;;;;BUILDING template;Coppenolstraat;10;;;152432;212435
ANTWERPEN-WEST - FH05;1830347;4;1;0;5;MDU;Ernest Van Dijckkaai19;;Y;NA;4;4;Beschermd Erfgoed;;;;BUILDING template;Ernest Van Dijckkaai;19;;;151958,949;212269,272
