Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
EVERE - FH03;1162230;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;193;;
EVERE - FH03;1621485;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;369;;
EVERE - FH03;1622129;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth;77;;
EVERE - FH03;1622955;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;10;;
EVERE - FH03;1621486;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;373;;
EVERE - FH03;1622130;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth;82;;
EVERE - FH03;1624325;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;16;;
EVERE - FH03;1621487;3;1;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;375;;
EVERE - FH03;1622131;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Godfroid Kurthstraat - Rue Godfroid Kurth;84;;
EVERE - FH03;1622957;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;12;;
EVERE - FH03;1265156;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;32;;
EVERE - FH03;1621488;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;377;;
EVERE - FH03;1622958;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;13;;
