Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH05;6590590;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;159;;
HASSELT - FH05;6590591;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;157;;
HASSELT - FH05;6590592;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Herfststraat;12;;
HASSELT - FH05;6590593;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Herfststraat;10;;
HASSELT - FH05;6590594;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Herfststraat;4;;
HASSELT - FH05;6590595;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Herfststraat;33;;
HASSELT - FH05;328559;1;0;0;1;SDU;;N;ORN;3;0;;;Y;;BUILDING template;Luikersteenweg;218;;
HASSELT - FH05;21906;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Lentestraat;2;;
HASSELT - FH05;4896825;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;47;;
HASSELT - FH05;2412558;0;1;0;1;SDU;;N;IRREG;2;0;;;;;BUILDING template;Danielsstraat;2;A;
HASSELT - FH05;4896927;1;0;0;1;SDU;;N;HEIGHT;1;0;;;;;BUILDING template;Luikersteenweg;148;;
HASSELT - FH05;5927168;0;1;0;1;SDU;;N;IRREG;3;0;;;;;BUILDING template;Kroonwinningstraat;27;A;
HASSELT - FH05;5934865;1;0;0;1;SDU;;N;ORN;3;0;;;;;BUILDING template;Oude Luikerbaan;94;;
HASSELT - FH05;6353281;1;0;0;1;SDU;;N;GLASS;3;0;;;;;BUILDING template;Zomerstraat;9;;
HASSELT - FH05;2448983;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;49;;
HASSELT - FH05;6536978;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Herfststraat;5;;
HASSELT - FH05;6550136;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Herfststraat;11;;
HASSELT - FH05;2448985;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;51;;
HASSELT - FH05;6556554;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Kroonwinningstraat;68;;
HASSELT - FH05;6556771;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Winterstraat;6;;
HASSELT - FH05;6590585;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;129;;
HASSELT - FH05;6590586;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;127;;
HASSELT - FH05;6590587;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;;BUILDING template;Gouverneur Roppesingel;125;;
