Projectnummer;LAM MK;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Kolom1;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;NB-35001025412;1;0;0;1;SDU;;Kerkhofstraat10;Y;NA;2;4;;1Unit in CRAB, niet in GM.;Y;;BUILDING template;Kerkhofstraat;10;;;217841;179773
HASSELT - FH09;NB-35001042825;1;0;0;1;SDU;;Walter Thijsstraat10;Y;NA;2;4;;18 Units in CRAB, lijken nieuwbouwblokken in GM.;Y;;BUILDING template;Walter Thijsstraat;10;;;218259;179388
HASSELT - FH09;NB-35001060952;1;0;0;1;SDU;;Pater Valentinuslaan10;Y;NA;2;4;;1 Unit in CRAB, Onduidelijk in GM.;Y;;BUILDING template;Pater Valentinuslaan;10;;;218460;178849
HASSELT - FH09;NB-35001111108;1;0;0;1;SDU;;Bloemenstraat11;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Bloemenstraat;11;;;217891;179773
HASSELT - FH09;NB-350011A09428;1;0;0;1;SDU;;Volderslaan11A;Y;NA;2;4;;verdeeld in 1 Unit 11 en 1 Unit 11A in CRAB en GM.;Y;;BUILDING template;Volderslaan;11;A;;217117;179666
HASSELT - FH09;NB-35001240290;1;0;0;1;SDU;;Roode Roosstraat12;Y;NA;2;4;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;12;;;218180;179518
HASSELT - FH09;NB-350012714763;1;0;0;1;SDU;;Luikersteenweg127;N;HEIGHT;2;4;Bouwgrond;leegstaand perceel;Y;;BUILDING template;Luikersteenweg;127;;;218384;179492
HASSELT - FH09;NB-3500128030;1;0;0;1;SDU;;Van Heinsberglaan1;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Van Heinsberglaan;1;;;218595;178828
HASSELT - FH09;NB-35001394690;1;0;0;1;SDU;;Bloemenstraat13;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Bloemenstraat;13;;;217896;179767
HASSELT - FH09;NB-350014336099;1;0;0;1;SDU;;Sint-Truidersteenweg143;Y;NA;2;4;;1 Unit in CRAB, Onduidelijk in GM.;Y;;BUILDING template;Sint-Truidersteenweg;143;;;217677;179575
